NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1.005	73.807	0.623	47.431	0.649	0.732	30000.0
2	0.804	61.777	0.503	41.971	0.482	0.804	30000.0
3	0.86	62.586	0.533	42.654	0.486	0.8	30000.0
4	1.089	87.536	0.669	58.084	0.705	0.728	40000.0
5	1.383	105.412	0.879	68.622	0.81	0.67	20000.0
6	1.323	97.114	0.884	69.741	0.713	0.691	20000.0
7	1.198	87.323	0.724	58.994	0.771	0.713	20000.0
8	1.068	91.454	0.667	60.157	0.736	0.738	20000.0
9	0.934	83.447	0.589	54.745	0.684	0.758	30000.0
10	0.914	64.16	0.55	43.512	0.57	0.778	40000.0
11	1.244	93.036	0.762	63.313	0.766	0.696	30000.0
12	1.121	76.552	0.792	54.44	0.581	0.772	20000.0
13	0.846	62.614	0.516	40.559	0.568	0.78	20000.0
14	1.1	76.51	0.718	51.69	0.653	0.755	20000.0
15	1.163	89.576	0.692	58.098	0.675	0.758	20000.0
16	0.934	71.812	0.626	51.073	0.605	0.76	20000.0
17	0.961	77.324	0.625	53.442	0.639	0.761	70000.0
18	1.104	82.936	0.698	59.326	0.599	0.768	40000.0
19	1.175	90.989	0.693	58.102	0.781	0.731	20000.0
20	0.946	71.092	0.549	45.154	0.611	0.76	20000.0
21	1.109	87.549	0.757	63.076	0.588	0.758	20000.0
22	0.949	78.35	0.578	52.239	0.593	0.777	20000.0
23	0.788	63.655	0.467	37.965	0.588	0.782	30000.0
24	0.934	83.467	0.589	54.745	0.684	0.758	30000.0
25	1.13	89.543	0.723	61.777	0.618	0.769	30000.0
26	1.001	87.46	0.649	57.349	0.706	0.748	30000.0
27	0.905	64.846	0.562	43.741	0.592	0.758	20000.0
28	0.966	74.908	0.614	50.646	0.7	0.738	50000.0
29	0.922	74.061	0.636	54.624	0.565	0.776	20000.0
30	0.947	72.408	0.609	51.438	0.61	0.757	30000.0
31	1.27	95.55	0.896	68.779	0.65	0.71	20000.0
32	0.993	73.143	0.679	52.6	0.536	0.785	20000.0
33	1.001	87.461	0.624	57.134	0.706	0.754	40000.0
34	1.43	103.492	0.984	73.34	0.752	0.664	30000.0
35	0.929	63.812	0.565	43.88	0.54	0.783	20000.0
36	1.136	88.119	0.721	60.594	0.672	0.754	30000.0
37	0.937	73.017	0.614	51.627	0.613	0.763	30000.0
38	1.258	95.342	0.766	64.446	0.763	0.709	20000.0
39	1.275	92.75	0.811	63.7	0.709	0.705	20000.0
40	0.837	70.402	0.509	46.206	0.597	0.778	40000.0
41	0.934	71.812	0.626	51.073	0.605	0.76	20000.0
42	0.974	75.801	0.601	52.043	0.634	0.763	50000.0
43	0.95	81.123	0.592	54.794	0.632	0.753	20000.0
44	0.866	63.535	0.531	42.412	0.558	0.769	20000.0
45	1.071	78.979	0.65	54.242	0.687	0.738	30000.0
46	1.048	84.076	0.651	54.741	0.788	0.712	20000.0
47	0.847	69.487	0.553	46.197	0.604	0.77	30000.0
48	0.945	82.35	0.622	54.088	0.74	0.734	20000.0
49	1.079	68.3	0.647	44.458	0.589	0.775	20000.0
50	0.914	70.279	0.585	50.445	0.561	0.784	30000.0
51	1.03	85.988	0.628	57.412	0.663	0.759	30000.0
52	0.937	73.017	0.614	51.627	0.613	0.763	30000.0
53	0.947	73.401	0.588	49.452	0.68	0.744	20000.0
54	1.135	93.166	0.741	61.448	0.718	0.741	30000.0
55	1.001	87.461	0.624	57.134	0.706	0.754	30000.0
56	0.86	62.586	0.533	42.654	0.486	0.8	20000.0
57	1.213	90.708	0.707	59.427	0.797	0.716	20000.0
58	0.821	72.052	0.58	51.408	0.53	0.788	30000.0
59	0.966	74.908	0.614	50.646	0.7	0.738	20000.0
60	0.871	65.836	0.541	42.231	0.577	0.774	20000.0
61	0.972	75.714	0.626	51.719	0.637	0.76	30000.0
62	1.118	93.432	0.674	56.435	0.843	0.719	20000.0
63	1.211	78.288	0.795	52.579	0.696	0.743	40000.0
64	0.97	76.333	0.609	52.569	0.636	0.762	20000.0
65	0.929	67.277	0.565	43.632	0.618	0.762	40000.0
66	0.97	76.336	0.635	52.784	0.636	0.757	30000.0
67	0.986	79.44	0.599	53.658	0.65	0.748	30000.0
68	0.946	71.35	0.612	52.084	0.553	0.783	20000.0
69	0.99	80.172	0.643	55.161	0.662	0.754	20000.0
70	0.803	62.022	0.501	42.092	0.493	0.801	30000.0
71	0.938	75.732	0.617	51.048	0.7	0.748	40000.0
72	0.938	74.339	0.594	50.662	0.673	0.744	30000.0
73	0.936	82.177	0.615	54.364	0.726	0.736	20000.0
74	0.837	70.417	0.546	46.66	0.598	0.771	30000.0
75	0.965	74.576	0.634	54.026	0.585	0.767	20000.0
76	0.98	64.603	0.595	44.147	0.556	0.779	30000.0
77	1.061	74.357	0.67	50.186	0.642	0.758	50000.0
78	0.952	80.268	0.599	53.427	0.721	0.738	20000.0
79	0.974	79.027	0.6	52.455	0.733	0.736	20000.0
80	0.888	75.551	0.583	50.37	0.61	0.77	30000.0
81	0.98	64.603	0.595	44.147	0.556	0.779	70000.0
82	1.069	86.814	0.68	59.587	0.615	0.761	30000.0
83	0.934	83.457	0.614	54.96	0.684	0.753	20000.0
84	0.858	74.404	0.592	52.989	0.558	0.776	20000.0
85	1.069	86.814	0.68	59.587	0.615	0.761	20000.0
86	0.907	72.592	0.561	49.017	0.65	0.752	50000.0
87	0.873	63.927	0.569	43.324	0.569	0.767	30000.0
88	1.29	97.535	0.855	67.707	0.672	0.725	40000.0
89	1.003	85.299	0.6	55.42	0.677	0.76	20000.0
90	1.136	88.116	0.771	61.001	0.673	0.746	20000.0
91	0.723	59.781	0.421	35.13	0.57	0.785	20000.0
92	1.022	83.533	0.641	56.052	0.663	0.747	40000.0
93	1.068	89.173	0.646	58.255	0.695	0.758	20000.0
94	1.079	73.352	0.726	52.525	0.572	0.776	30000.0
95	0.974	64.298	0.595	43.777	0.512	0.789	20000.0
96	1.109	87.549	0.757	63.076	0.588	0.758	20000.0
97	0.726	59.994	0.38	34.71	0.57	0.792	20000.0
98	1.204	80.673	0.752	54.346	0.684	0.743	40000.0
99	0.96	71.71	0.6	45.758	0.638	0.746	20000.0
100	0.993	73.143	0.679	52.6	0.536	0.785	20000.0
