Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
TCGA_05_4402_01A	0.00E+00	1.89E-01	7.79E-02	2.34E-01	4.98E-02	6.11E-02	9.24E-02	1.19E-01	5.69E-02	5.17E-02
TCGA_05_5715_01A	0.00E+00	0.00E+00	1.28E-01	9.47E-02	3.81E-01	2.40E-01	2.23E-01	3.13E-01	1.81E-01	1.04E-01
TCGA_38_4628_01A	0.00E+00	2.15E-01	8.10E-02	2.04E-01	5.03E-02	1.70E-01	2.61E-02	5.57E-02	1.95E-01	1.07E-01
TCGA_38_6178_01A	0.00E+00	1.53E-01	2.00E-02	1.45E-01	4.73E-02	1.28E-01	6.82E-02	4.19E-02	0.00E+00	6.11E-02
TCGA_44_2661_01A	0.00E+00	1.24E-01	7.96E-02	7.53E-02	9.40E-02	4.64E-02	6.94E-02	1.07E-01	9.89E-02	1.15E-01
TCGA_44_2665_01A	0.00E+00	9.16E-02	0.00E+00	2.93E-02	2.23E-02	1.00E-02	2.61E-02	9.30E-02	0.00E+00	0.00E+00
TCGA_44_3919_01A	0.00E+00	1.15E-01	3.15E-02	1.37E-01	8.18E-02	1.34E-01	1.47E-01	1.24E-01	0.00E+00	2.23E-02
TCGA_49_4501_01A	0.00E+00	1.70E-01	1.77E-01	1.07E-01	2.00E-02	5.77E-02	8.94E-02	7.53E-02	6.40E-02	1.10E-01
TCGA_49_4512_01A	0.00E+00	1.71E-02	0.00E+00	6.09E-02	3.00E-02	1.40E-01	1.19E-01	1.19E-01	0.00E+00	0.00E+00
TCGA_49_AAQV_01A	0.00E+00	7.87E-02	2.43E-02	2.43E-02	4.65E-02	4.50E-02	5.61E-02	5.07E-02	3.79E-02	2.43E-02
TCGA_50_6591_01A	9.03E-02	1.63E-01	6.44E-02	5.92E-02	3.94E-02	1.41E-02	1.54E-01	5.95E-02	1.70E-01	8.42E-02
TCGA_55_6986_01A	0.00E+00	2.81E-02	6.52E-02	5.14E-02	1.50E-01	1.51E-01	8.24E-02	8.83E-02	1.41E-01	1.00E-02
TCGA_55_7816_01A	8.75E-02	0.00E+00	8.39E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.81E-02	0.00E+00	5.63E-02
TCGA_55_8087_01A	0.00E+00	4.38E-02	3.71E-02	5.57E-02	1.07E-01	3.94E-02	5.13E-02	1.20E-01	7.63E-02	5.74E-02
TCGA_55_8619_01A	0.00E+00	1.41E-02	0.00E+00	1.71E-02	1.41E-02	3.14E-02	1.00E-02	1.41E-02	0.00E+00	1.00E-02
TCGA_62_8394_01A	0.00E+00	6.67E-02	6.56E-02	1.25E-01	6.86E-02	4.19E-02	6.96E-02	8.23E-02	7.92E-02	5.44E-02
TCGA_62_8397_01A	0.00E+00	5.63E-02	7.39E-02	1.52E-01	1.98E-01	9.70E-02	7.23E-02	1.31E-01	8.13E-02	1.41E-02
TCGA_62_8402_01A	0.00E+00	8.49E-02	2.43E-02	2.61E-02	2.00E-02	2.97E-02	2.61E-02	2.81E-02	8.81E-02	1.00E-02
TCGA_62_A46U_01A	2.60E-01	1.00E-01	1.04E-01	1.00E-02	0.00E+00	1.41E-01	5.73E-02	6.42E-02	3.00E-02	2.68E-01
TCGA_62_A46Y_01A	0.00E+00	5.22E-02	1.41E-02	1.29E-01	6.40E-02	4.52E-02	2.93E-02	1.24E-01	3.86E-02	7.50E-02
TCGA_67_6215_01A	0.00E+00	2.19E-02	1.97E-02	2.39E-02	3.49E-02	1.00E-02	3.27E-02	4.02E-02	3.94E-02	3.94E-02
TCGA_67_6216_01A	0.00E+00	3.89E-02	5.87E-02	4.82E-02	7.16E-02	5.45E-02	1.24E-01	6.94E-02	7.05E-02	6.33E-02
TCGA_71_8520_01A	1.53E-01	1.67E-01	8.38E-02	1.75E-01	4.50E-02	4.85E-02	7.19E-02	1.68E-01	7.50E-02	1.21E-01
TCGA_78_7540_01A	0.00E+00	3.59E-02	2.39E-02	2.39E-02	3.14E-02	3.68E-02	3.27E-02	2.73E-02	4.02E-02	2.39E-02
TCGA_86_7953_01A	1.16E-01	1.44E-01	4.19E-02	4.11E-02	7.99E-02	1.88E-01	1.25E-01	8.54E-02	1.52E-01	1.39E-01
TCGA_86_8075_01A	8.98E-02	5.00E-02	3.00E-02	4.86E-02	1.64E-01	1.27E-01	1.00E-02	1.57E-01	4.73E-02	4.55E-02
