Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_05_4402_01A	7	0.768	7.376	105.371%	2.499	64.524%	0.94914	0.757
TCGA_05_5715_01A	9	0.629	9.779	108.656%	2.359	78.633%	1.11045	0.57
TCGA_38_4628_01A	9	0.895	8.27	91.889%	2.166	49.691%	0.7	0.893
TCGA_38_6178_01A	5	0.874	4.498	89.96%	1.347	50.912%	0.94224	0.869
TCGA_44_2661_01A	4	0.523	5.368	134.2%	1.721	86.05%	1.77925	0.489
TCGA_44_2665_01A	3	0.825	3.77	125.667%	1.442	64.488%	1.19307	0.826
TCGA_44_3919_01A	6	0.821	5.917	98.617%	1.485	60.625%	0.7578	0.812
TCGA_49_4501_01A	5	0.689	6.373	127.46%	1.921	72.607%	2.04502	0.671
TCGA_49_4512_01A	4	0.659	5.773	144.325%	1.944	79.363%	1.31392	0.657
TCGA_49_AAQV_01A	2	0.65	2.593	129.65%	1.086	76.792%	1.89266	0.64
TCGA_50_6591_01A	6	0.777	6.272	104.533%	1.79	63.286%	1.18334	0.763
TCGA_55_6986_01A	4	0.494	6.037	150.925%	1.739	86.95%	1.84618	0.454
TCGA_55_7816_01A	2	0.825	1.534	76.7%	0.8	56.569%	0.67537	0.82
TCGA_55_8087_01A	3	0.633	4.367	145.567%	1.387	80.078%	1.30845	0.623
TCGA_55_8619_01A	1	0.495	1.754	175.4%	0.903	90.3%	2.09694	0.5
TCGA_62_8394_01A	3	0.336	5.121	170.7%	1.641	94.743%	2.26765	0.286
TCGA_62_8397_01A	5	0.486	7.298	145.96%	1.96	87.654%	1.59209	0.435
TCGA_62_8402_01A	2	0.709	2.464	123.2%	1.025	72.478%	1.36037	0.702
TCGA_62_A46U_01A	9	0.936	6.562	72.911%	1.936	35.951%	0.74866	0.934
TCGA_62_A46Y_01A	4	0.592	5.962	149.05%	2.028	82.793%	1.39189	0.582
TCGA_67_6215_01A	1	0.311	1.845	184.5%	0.952	95.2%	2.56027	0.295
TCGA_67_6216_01A	3	0.341	5.119	170.633%	1.635	94.397%	2.09256	0.292
TCGA_71_8520_01A	9	0.859	8.394	93.267%	2.101	54.248%	0.75737	0.851
TCGA_78_7540_01A	1	0.044	1.978	197.8%	1.02	102.0%	4.516	-0.005
TCGA_86_7953_01A	6	0.633	6.846	114.1%	1.914	78.139%	1.53079	0.597
TCGA_86_8075_01A	5	0.712	6.275	125.5%	1.984	74.988%	1.09772	0.711
TCGA_86_8278_01A	2	0.176	3.753	187.65%	1.414	99.985%	3.2462	0.121
TCGA_86_8280_01A	2	0.667	2.555	127.75%	1.068	75.519%	1.67013	0.658
TCGA_86_8668_01A	2	0.198	3.722	186.1%	1.403	99.207%	2.81348	0.146
TCGA_86_8671_01A	2	0.825	1.534	76.7%	0.8	56.569%	0.67537	0.82
TCGA_86_A4P7_01A	6	0.444	8.758	145.967%	2.231	91.08%	1.5596	0.377
TCGA_91_8496_01A	7	0.768	7.492	107.029%	1.928	64.267%	1.07058	0.749
TCGA_97_8177_01A	4	0.667	4.593	114.825%	1.503	75.15%	1.41746	0.646
TCGA_97_8552_01A	98	0.999	11.987	12.232%	3.447	5.945%	0.04121	0.998
TCGA_97_A4M6_01A	3	0.803	3.883	129.433%	1.481	66.232%	1.43098	0.803
TCGA_99_8033_01A	8	0.407	12.445	155.562%	3.195	92.232%	1.93005	0.336
TCGA_J2_8192_01A	4	0.541	5.364	134.1%	1.741	87.05%	1.81796	0.512
