Samples	ID83A	ID83B	ID83C	ID83D
TCGA_05_4402_01A	0.00E+00	2.89E-01	1.40E-01	2.81E-01
TCGA_05_5715_01A	0.00E+00	2.76E-01	4.08E-01	3.68E-01
TCGA_38_4628_01A	0.00E+00	2.88E-01	2.38E-01	2.39E-01
TCGA_38_6178_01A	4.00E-02	1.77E-01	1.45E-01	1.32E-01
TCGA_44_2661_01A	0.00E+00	1.54E-01	1.07E-01	1.58E-01
TCGA_44_2665_01A	0.00E+00	9.21E-02	7.61E-02	7.72E-02
TCGA_44_3919_01A	0.00E+00	1.89E-01	1.74E-01	1.86E-01
TCGA_49_4501_01A	1.43E-01	1.88E-01	1.51E-01	1.31E-01
TCGA_49_4512_01A	5.63E-02	1.46E-01	1.64E-01	1.37E-01
TCGA_49_AAQV_01A	1.00E-02	7.98E-02	7.29E-02	5.26E-02
TCGA_50_6591_01A	1.17E-01	2.01E-01	1.40E-01	1.60E-01
TCGA_55_6986_01A	5.63E-02	1.34E-01	1.72E-01	1.38E-01
TCGA_55_7816_01A	5.75E-02	0.00E+00	3.94E-02	4.38E-02
TCGA_55_8087_01A	0.00E+00	7.90E-02	1.32E-01	1.36E-01
TCGA_55_8619_01A	1.41E-02	4.16E-02	4.76E-02	3.02E-02
TCGA_62_8394_01A	2.00E-02	1.28E-01	9.79E-02	1.38E-01
TCGA_62_8397_01A	7.00E-02	1.33E-01	2.14E-01	2.12E-01
TCGA_62_8402_01A	0.00E+00	9.07E-02	6.38E-02	7.96E-02
TCGA_62_A46U_01A	1.86E-01	1.50E-01	1.42E-01	9.48E-02
TCGA_62_A46Y_01A	0.00E+00	1.51E-01	9.15E-02	1.68E-01
TCGA_67_6215_01A	0.00E+00	4.09E-02	4.09E-02	4.96E-02
TCGA_67_6216_01A	5.44E-02	1.04E-01	1.27E-01	1.30E-01
TCGA_71_8520_01A	1.37E-01	2.47E-01	1.40E-01	2.28E-01
TCGA_78_7540_01A	1.97E-02	5.02E-02	4.23E-02	4.29E-02
TCGA_86_7953_01A	1.57E-01	1.99E-01	2.06E-01	1.28E-01
TCGA_86_8075_01A	9.74E-02	9.18E-02	2.00E-01	1.75E-01
TCGA_86_8278_01A	3.43E-02	8.46E-02	9.71E-02	9.34E-02
TCGA_86_8280_01A	2.81E-02	8.10E-02	7.71E-02	6.99E-02
TCGA_86_8668_01A	4.77E-02	8.05E-02	9.82E-02	9.28E-02
TCGA_86_8671_01A	4.47E-02	2.00E-02	2.81E-02	2.97E-02
TCGA_86_A4P7_01A	9.50E-02	2.23E-01	2.68E-01	2.27E-01
TCGA_91_8496_01A	1.62E-01	1.37E-01	1.67E-01	2.16E-01
TCGA_97_8177_01A	6.86E-02	1.67E-01	1.23E-01	1.58E-01
TCGA_97_8552_01A	2.01E-01	1.49E-01	1.27E-01	4.00E-02
TCGA_97_A4M6_01A	2.00E-02	9.48E-02	7.40E-02	6.75E-02
TCGA_99_8033_01A	1.18E-01	2.96E-01	2.96E-01	3.63E-01
TCGA_J2_8192_01A	9.20E-02	1.76E-01	1.43E-01	1.57E-01
