MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	8.39E-08	3.74E-07	3.53E-07	4.65E-07
1:Del:C:1	9.36E-04	1.17E-02	5.50E-03	1.85E-02
1:Del:C:2	3.34E-04	2.18E-03	8.87E-03	7.74E-03
1:Del:C:3	4.11E-04	2.77E-03	4.99E-03	3.16E-03
1:Del:C:4	1.80E-04	1.06E-03	2.01E-03	2.91E-03
1:Del:C:5	1.80E-04	1.31E-03	1.86E-03	1.62E-03
1:Del:T:0	8.39E-08	3.74E-07	3.53E-07	4.65E-07
1:Del:T:1	1.45E-03	5.26E-03	1.08E-02	8.75E-03
1:Del:T:2	2.93E-04	1.98E-03	3.04E-03	2.47E-03
1:Del:T:3	5.19E-04	3.37E-03	4.94E-03	4.06E-03
1:Del:T:4	6.60E-04	1.98E-03	2.83E-03	3.12E-03
1:Del:T:5	1.19E-07	8.27E-04	2.47E-03	1.59E-03
1:Ins:C:0	1.23E-03	4.23E-07	4.24E-07	4.70E-07
1:Ins:C:1	8.95E-04	5.29E-03	5.40E-03	6.98E-03
1:Ins:C:2	8.31E-04	9.16E-04	2.04E-03	1.25E-03
1:Ins:C:3	3.57E-04	1.10E-03	1.83E-03	1.45E-03
1:Ins:C:4	2.84E-04	2.10E-03	2.68E-03	2.36E-03
1:Ins:C:5	1.73E-04	4.79E-04	1.60E-03	2.07E-03
1:Ins:T:0	1.73E-03	2.72E-03	4.32E-03	4.16E-03
1:Ins:T:1	8.00E-04	5.80E-03	9.94E-03	9.92E-03
1:Ins:T:2	2.71E-04	2.63E-03	4.33E-03	3.80E-03
1:Ins:T:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
1:Ins:T:4	3.37E-04	1.12E-03	1.75E-03	9.81E-04
1:Ins:T:5	4.93E-08	5.08E-03	6.70E-03	1.06E-02
2:Del:R:0	8.62E-04	1.94E-03	3.02E-03	3.42E-03
2:Del:R:1	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Del:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Del:R:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Del:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Del:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Del:R:0	2.57E-04	1.40E-03	3.46E-03	2.77E-03
3:Del:R:1	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Del:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Del:R:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Del:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Del:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Del:R:0	1.69E-04	1.24E-03	1.46E-03	1.21E-03
4:Del:R:1	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Del:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Del:R:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Del:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Del:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Del:R:0	2.29E-03	1.13E-02	5.59E-03	5.15E-03
5:Del:R:1	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Del:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Del:R:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Del:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Del:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Ins:R:0	3.18E-03	1.81E-03	4.37E-03	4.80E-03
2:Ins:R:1	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Ins:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Ins:R:3	1.83E-04	1.43E-03	1.58E-03	1.66E-03
2:Ins:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Ins:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Ins:R:0	2.15E-03	3.98E-07	4.37E-07	4.47E-07
3:Ins:R:1	4.02E-04	1.79E-03	1.94E-03	1.34E-03
3:Ins:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Ins:R:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Ins:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
3:Ins:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Ins:R:0	1.75E-03	4.12E-07	4.14E-07	4.36E-07
4:Ins:R:1	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Ins:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Ins:R:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Ins:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Ins:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Ins:R:0	5.19E-03	6.73E-07	6.71E-07	8.92E-07
5:Ins:R:1	7.64E-04	2.96E-03	8.26E-03	6.69E-03
5:Ins:R:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Ins:R:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Ins:R:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Ins:R:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
2:Del:M:1	1.20E-03	3.30E-03	4.91E-03	4.02E-03
3:Del:M:1	2.65E-04	1.95E-03	1.52E-03	9.77E-04
3:Del:M:2	8.39E-08	3.74E-07	3.53E-07	4.65E-07
4:Del:M:1	4.20E-04	1.80E-03	2.90E-03	3.03E-03
4:Del:M:2	4.29E-04	1.25E-03	1.34E-03	1.64E-03
4:Del:M:3	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Del:M:1	1.62E-03	7.83E-03	1.41E-02	6.28E-03
5:Del:M:2	7.78E-08	2.88E-03	3.13E-03	4.21E-03
5:Del:M:3	6.76E-04	8.95E-04	1.16E-03	1.45E-03
5:Del:M:4	8.39E-08	3.74E-07	3.53E-07	4.65E-07
5:Del:M:5	8.39E-08	3.74E-07	3.53E-07	4.65E-07
