Samples	ID83A	ID83B	ID83C	ID83D	ID83E
TCGA_05_4402_01A	0.00E+00	2.75E-01	2.78E-01	1.03E-01	1.33E-01
TCGA_05_5715_01A	0.00E+00	2.51E-01	2.93E-01	3.87E-01	3.64E-01
TCGA_38_4628_01A	0.00E+00	3.02E-01	3.04E-01	1.02E-01	2.44E-01
TCGA_38_6178_01A	0.00E+00	1.88E-01	1.83E-01	3.59E-02	1.52E-01
TCGA_44_2661_01A	0.00E+00	1.60E-01	1.43E-01	1.31E-01	1.07E-01
TCGA_44_2665_01A	0.00E+00	1.01E-01	8.26E-02	6.01E-02	8.68E-02
TCGA_44_3919_01A	0.00E+00	1.54E-01	1.95E-01	1.25E-01	1.76E-01
TCGA_49_4501_01A	1.07E-01	1.88E-01	1.64E-01	1.17E-01	1.05E-01
TCGA_49_4512_01A	2.00E-02	1.01E-01	1.13E-01	1.02E-01	1.56E-01
TCGA_49_AAQV_01A	2.00E-02	8.41E-02	3.73E-02	7.27E-02	6.09E-02
TCGA_50_6591_01A	9.83E-02	2.12E-01	1.47E-01	1.49E-01	1.41E-01
TCGA_55_6986_01A	5.63E-02	1.08E-01	1.05E-01	1.78E-01	1.72E-01
TCGA_55_7816_01A	7.01E-02	2.00E-02	3.55E-02	3.94E-02	4.77E-02
TCGA_55_8087_01A	0.00E+00	8.51E-02	1.06E-01	1.30E-01	1.01E-01
TCGA_55_8619_01A	0.00E+00	3.14E-02	3.49E-02	1.97E-02	4.56E-02
TCGA_62_8394_01A	2.00E-02	1.13E-01	1.37E-01	1.01E-01	8.35E-02
TCGA_62_8397_01A	0.00E+00	1.15E-01	1.86E-01	2.08E-01	1.70E-01
TCGA_62_8402_01A	0.00E+00	9.18E-02	6.33E-02	7.02E-02	6.30E-02
TCGA_62_A46U_01A	2.19E-01	1.64E-01	9.61E-02	1.40E-01	1.81E-01
TCGA_62_A46Y_01A	0.00E+00	9.69E-02	1.53E-01	1.09E-01	9.21E-02
TCGA_67_6215_01A	0.00E+00	3.78E-02	4.46E-02	4.94E-02	3.59E-02
TCGA_67_6216_01A	2.81E-02	1.05E-01	9.59E-02	1.32E-01	1.19E-01
TCGA_71_8520_01A	1.34E-01	2.26E-01	2.36E-01	1.46E-01	1.52E-01
TCGA_78_7540_01A	2.19E-02	4.92E-02	4.29E-02	4.02E-02	3.14E-02
TCGA_86_7953_01A	1.32E-01	1.77E-01	1.37E-01	1.75E-01	1.81E-01
TCGA_86_8075_01A	8.69E-02	6.87E-02	1.33E-01	1.80E-01	1.73E-01
TCGA_86_8278_01A	2.00E-02	6.53E-02	8.46E-02	9.57E-02	8.70E-02
TCGA_86_8280_01A	0.00E+00	8.10E-02	5.57E-02	7.11E-02	7.22E-02
TCGA_86_8668_01A	2.97E-02	7.09E-02	6.86E-02	9.01E-02	9.55E-02
TCGA_86_8671_01A	6.22E-02	1.00E-02	3.67E-02	3.94E-02	3.55E-02
TCGA_86_A4P7_01A	0.00E+00	1.46E-01	1.83E-01	2.29E-01	2.67E-01
TCGA_91_8496_01A	1.64E-01	1.08E-01	1.69E-01	2.06E-01	1.53E-01
TCGA_97_8177_01A	0.00E+00	1.57E-01	1.55E-01	1.02E-01	1.19E-01
TCGA_97_8552_01A	3.88E-01	2.06E-01	1.06E-01	0.00E+00	3.26E-01
TCGA_97_A4M6_01A	2.00E-02	1.00E-01	7.85E-02	6.29E-02	3.83E-02
TCGA_99_8033_01A	7.02E-02	2.23E-01	3.47E-01	2.19E-01	2.61E-01
TCGA_J2_8192_01A	4.00E-02	1.69E-01	1.15E-01	1.44E-01	1.32E-01
