MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
1:Del:C:1	9.62E-04	1.08E-02	1.80E-02	4.23E-03	6.37E-03
1:Del:C:2	4.78E-08	2.40E-03	5.11E-03	1.37E-02	6.90E-03
1:Del:C:3	3.92E-04	2.68E-03	3.24E-03	6.27E-03	4.82E-03
1:Del:C:4	1.15E-07	9.85E-04	2.98E-03	2.52E-03	2.32E-03
1:Del:C:5	1.16E-07	8.38E-04	3.59E-03	1.93E-03	1.63E-03
1:Del:T:0	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
1:Del:T:1	1.49E-03	6.83E-03	5.28E-03	9.42E-03	1.31E-02
1:Del:T:2	6.23E-08	1.66E-03	2.02E-03	3.93E-03	3.29E-03
1:Del:T:3	1.08E-04	3.53E-03	5.16E-03	5.52E-03	5.86E-03
1:Del:T:4	3.83E-04	4.60E-03	3.86E-03	5.04E-03	3.88E-03
1:Del:T:5	1.06E-07	1.21E-03	1.48E-03	2.97E-03	1.84E-03
1:Ins:C:0	1.30E-03	4.68E-07	4.87E-07	6.15E-07	2.90E-04
1:Ins:C:1	9.50E-04	5.96E-03	6.77E-03	8.05E-03	7.36E-03
1:Ins:C:2	8.63E-04	1.11E-03	2.04E-03	2.05E-03	2.13E-03
1:Ins:C:3	3.55E-04	1.33E-03	1.94E-03	2.40E-03	1.87E-03
1:Ins:C:4	3.23E-04	2.49E-03	2.87E-03	3.39E-03	1.94E-03
1:Ins:C:5	1.15E-07	9.45E-04	1.56E-03	2.39E-03	2.15E-03
1:Ins:T:0	1.60E-03	4.66E-03	6.95E-03	6.31E-03	5.90E-03
1:Ins:T:1	8.19E-04	3.55E-03	1.23E-02	1.26E-02	1.22E-02
1:Ins:T:2	6.43E-08	2.92E-03	3.60E-03	4.43E-03	4.71E-03
1:Ins:T:3	7.95E-08	4.51E-07	4.63E-07	5.79E-07	4.83E-07
1:Ins:T:4	1.25E-04	1.26E-03	1.31E-03	2.50E-03	1.82E-03
