Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
TCGA_05_4402_01A	0.00E+00	2.27E-01	2.43E-01	1.04E-01	4.45E-02	6.72E-02	9.91E-02
TCGA_05_5715_01A	0.00E+00	1.36E-01	2.23E-01	3.52E-01	3.06E-01	3.26E-01	2.88E-01
TCGA_38_4628_01A	0.00E+00	2.55E-01	2.34E-01	8.24E-02	2.15E-01	1.26E-01	4.19E-02
TCGA_38_6178_01A	0.00E+00	1.68E-01	1.57E-01	2.43E-02	1.56E-01	5.67E-02	0.00E+00
TCGA_44_2661_01A	0.00E+00	1.27E-01	1.05E-01	9.76E-02	6.90E-02	1.52E-01	5.25E-02
TCGA_44_2665_01A	0.00E+00	9.90E-02	5.14E-02	6.57E-02	6.87E-02	6.33E-02	5.07E-02
TCGA_44_3919_01A	0.00E+00	1.52E-01	1.54E-01	1.42E-01	1.66E-01	6.44E-02	5.45E-02
TCGA_49_4501_01A	7.57E-02	1.76E-01	1.16E-01	9.06E-02	6.08E-02	6.91E-02	1.81E-01
TCGA_49_4512_01A	0.00E+00	3.71E-02	9.68E-02	1.29E-01	1.50E-01	8.44E-02	3.07E-02
TCGA_49_AAQV_01A	1.00E-02	8.03E-02	4.79E-02	6.21E-02	4.50E-02	4.18E-02	4.58E-02
TCGA_50_6591_01A	9.90E-02	2.12E-01	8.74E-02	1.88E-01	7.06E-02	9.27E-02	8.89E-02
TCGA_55_6986_01A	0.00E+00	4.29E-02	8.57E-02	1.11E-01	1.63E-01	1.39E-01	1.17E-01
TCGA_55_7816_01A	8.20E-02	0.00E+00	2.81E-02	1.00E-02	0.00E+00	2.23E-02	7.85E-02
TCGA_55_8087_01A	0.00E+00	5.81E-02	8.33E-02	5.63E-02	8.91E-02	1.24E-01	7.01E-02
TCGA_55_8619_01A	0.00E+00	1.00E-02	2.39E-02	1.41E-02	2.88E-02	0.00E+00	0.00E+00
TCGA_62_8394_01A	3.00E-02	8.55E-02	1.27E-01	9.34E-02	6.92E-02	8.92E-02	6.71E-02
TCGA_62_8397_01A	0.00E+00	7.77E-02	1.75E-01	1.80E-01	1.60E-01	1.54E-01	1.35E-01
TCGA_62_8402_01A	0.00E+00	9.10E-02	5.51E-02	5.96E-02	4.14E-02	6.22E-02	4.42E-02
TCGA_62_A46U_01A	2.66E-01	1.55E-01	1.08E-01	1.24E-01	1.57E-01	1.46E-01	1.84E-01
TCGA_62_A46Y_01A	0.00E+00	9.18E-02	1.50E-01	5.39E-02	6.83E-02	1.23E-01	7.01E-02
TCGA_67_6215_01A	0.00E+00	2.39E-02	3.68E-02	1.41E-02	2.73E-02	4.73E-02	1.00E-02
TCGA_67_6216_01A	0.00E+00	5.87E-02	6.61E-02	1.22E-01	9.78E-02	1.21E-01	1.00E-02
TCGA_71_8520_01A	1.36E-01	2.11E-01	2.20E-01	9.13E-02	6.77E-02	1.77E-01	8.92E-02
TCGA_78_7540_01A	1.71E-02	3.86E-02	3.38E-02	3.49E-02	3.68E-02	4.29E-02	3.27E-02
TCGA_86_7953_01A	1.23E-01	1.56E-01	1.07E-01	1.48E-01	2.03E-01	6.77E-02	1.56E-01
TCGA_86_8075_01A	8.89E-02	6.18E-02	7.60E-02	1.04E-01	1.66E-01	1.67E-01	1.19E-01
TCGA_86_8278_01A	2.00E-02	6.08E-02	6.38E-02	8.80E-02	7.57E-02	7.37E-02	7.20E-02
TCGA_86_8280_01A	0.00E+00	7.52E-02	4.27E-02	5.91E-02	4.79E-02	5.45E-02	5.79E-02
TCGA_86_8668_01A	2.81E-02	5.39E-02	5.13E-02	9.74E-02	7.04E-02	6.64E-02	3.55E-02
TCGA_86_8671_01A	8.30E-02	0.00E+00	0.00E+00	2.00E-02	0.00E+00	3.55E-02	7.85E-02
TCGA_86_A4P7_01A	0.00E+00	8.13E-02	1.77E-01	2.61E-01	2.13E-01	1.79E-01	1.22E-01
TCGA_91_8496_01A	1.57E-01	1.04E-01	8.03E-02	7.77E-02	1.21E-01	2.09E-01	1.76E-01
TCGA_97_8177_01A	0.00E+00	1.42E-01	1.53E-01	1.09E-01	6.67E-02	8.80E-02	8.33E-02
TCGA_97_8552_01A	2.16E+00	3.25E-01	8.60E-02	9.85E-01	1.92E-01	2.00E-02	2.00E+00
TCGA_97_A4M6_01A	0.00E+00	1.00E-01	5.75E-02	6.60E-02	6.40E-02	4.51E-02	4.24E-02
TCGA_99_8033_01A	0.00E+00	1.49E-01	3.37E-01	1.69E-01	1.32E-01	1.61E-01	3.30E-01
TCGA_J2_8192_01A	2.00E-02	1.51E-01	9.22E-02	1.30E-01	1.03E-01	1.01E-01	1.33E-01
