MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
1:Del:C:1	9.30E-04	1.07E-02	2.23E-02	4.04E-03	6.90E-03	4.81E-03	6.16E-03
1:Del:C:2	2.84E-07	3.55E-03	6.64E-03	7.49E-03	1.34E-02	1.67E-02	1.23E-02
1:Del:C:3	1.12E-03	2.80E-03	3.84E-03	7.45E-03	4.75E-03	3.77E-03	1.01E-02
1:Del:C:4	4.22E-07	3.70E-04	3.56E-03	2.34E-03	8.18E-04	4.12E-03	5.42E-03
1:Del:C:5	3.83E-07	6.49E-04	2.55E-03	2.70E-03	7.65E-04	2.30E-03	3.61E-03
1:Del:T:0	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
1:Del:T:1	1.58E-03	3.44E-03	4.05E-03	2.00E-02	8.28E-03	5.06E-03	2.73E-03
1:Del:T:2	3.54E-07	1.74E-03	2.80E-03	6.36E-03	3.84E-03	2.86E-03	2.84E-03
1:Del:T:3	5.45E-04	4.39E-03	7.07E-03	5.41E-03	5.45E-03	7.84E-03	3.95E-03
1:Del:T:4	2.49E-04	1.97E-03	2.22E-03	6.73E-03	3.43E-03	7.05E-03	1.47E-03
1:Del:T:5	3.79E-07	1.53E-03	2.34E-03	2.39E-03	1.81E-03	2.82E-03	2.94E-03
1:Ins:C:0	1.31E-03	5.34E-07	5.84E-07	3.06E-04	5.74E-07	9.37E-07	2.17E-03
1:Ins:C:1	8.88E-04	8.46E-03	5.78E-03	1.26E-02	7.13E-03	1.05E-02	9.92E-03
1:Ins:C:2	9.47E-04	7.10E-04	1.37E-03	2.96E-03	2.30E-03	1.96E-03	3.42E-03
1:Ins:C:3	4.00E-07	2.86E-04	2.69E-03	2.32E-03	4.14E-03	2.54E-03	2.02E-03
1:Ins:C:4	1.85E-04	2.26E-03	3.11E-03	5.18E-03	3.26E-03	4.98E-03	4.33E-03
1:Ins:C:5	3.60E-07	8.14E-04	2.19E-03	3.01E-03	1.57E-03	2.48E-03	2.42E-03
1:Ins:T:0	2.22E-03	3.05E-03	4.45E-03	4.00E-03	3.68E-03	3.20E-03	1.22E-02
1:Ins:T:1	8.16E-04	6.51E-03	1.20E-02	1.47E-02	1.14E-02	1.81E-02	1.50E-02
1:Ins:T:2	3.52E-07	2.34E-03	6.54E-03	9.26E-03	1.94E-03	4.44E-03	9.72E-03
1:Ins:T:3	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
1:Ins:T:4	7.17E-04	1.49E-03	1.84E-03	2.51E-03	4.61E-03	4.82E-04	2.99E-03
1:Ins:T:5	3.47E-07	4.62E-03	8.37E-03	2.20E-03	7.16E-03	2.04E-02	2.88E-03
2:Del:R:0	9.01E-04	1.77E-03	4.06E-03	6.05E-03	2.41E-03	5.64E-03	6.11E-03
2:Del:R:1	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
2:Del:R:2	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
2:Del:R:3	4.14E-07	4.83E-07	5.57E-07	6.51E-07	5.23E-07	8.83E-07	9.26E-07
