Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_05_4402_01A	0.00E+00	2.20E-01	2.51E-01	3.59E-02	1.14E-01	9.49E-02	9.07E-02	3.43E-02
TCGA_05_5715_01A	0.00E+00	1.20E-01	1.33E-01	3.05E-01	1.07E-01	3.84E-01	1.91E-01	3.55E-01
TCGA_38_4628_01A	0.00E+00	2.52E-01	2.47E-01	2.16E-01	8.23E-02	4.73E-02	1.19E-01	7.99E-02
TCGA_38_6178_01A	0.00E+00	1.64E-01	1.56E-01	1.38E-01	2.00E-02	3.15E-02	5.44E-02	4.98E-02
TCGA_44_2661_01A	0.00E+00	1.30E-01	1.16E-01	6.47E-02	1.08E-01	9.57E-02	7.33E-02	1.18E-01
TCGA_44_2665_01A	0.00E+00	9.75E-02	6.08E-02	4.04E-02	1.41E-02	1.71E-02	3.43E-02	9.20E-02
TCGA_44_3919_01A	1.00E-02	1.17E-01	1.51E-01	1.65E-01	4.45E-02	8.59E-02	1.04E-01	1.50E-01
TCGA_49_4501_01A	4.11E-02	1.86E-01	8.60E-02	6.24E-02	1.83E-01	6.77E-02	7.21E-02	7.11E-02
TCGA_49_4512_01A	1.00E-02	6.67E-02	5.81E-02	1.49E-01	2.23E-02	6.67E-02	9.90E-02	1.15E-01
TCGA_49_AAQV_01A	0.00E+00	8.21E-02	5.45E-02	5.26E-02	3.12E-02	5.37E-02	4.79E-02	4.58E-02
TCGA_50_6591_01A	9.29E-02	1.90E-01	4.98E-02	8.44E-02	8.68E-02	9.82E-02	2.02E-01	5.41E-02
TCGA_55_6986_01A	0.00E+00	3.15E-02	8.63E-02	1.57E-01	8.24E-02	1.60E-01	8.95E-02	1.11E-01
TCGA_55_7816_01A	8.84E-02	0.00E+00	2.23E-02	2.00E-02	8.16E-02	2.23E-02	4.04E-02	2.81E-02
TCGA_55_8087_01A	0.00E+00	4.61E-02	7.87E-02	8.00E-02	4.38E-02	1.00E-01	3.99E-02	1.21E-01
TCGA_55_8619_01A	0.00E+00	1.71E-02	2.19E-02	3.27E-02	0.00E+00	0.00E+00	1.00E-02	1.71E-02
TCGA_62_8394_01A	0.00E+00	7.50E-02	1.33E-01	6.82E-02	8.82E-02	7.72E-02	8.20E-02	5.20E-02
TCGA_62_8397_01A	0.00E+00	3.67E-02	1.48E-01	9.99E-02	9.25E-02	2.04E-01	1.41E-01	1.22E-01
TCGA_62_8402_01A	0.00E+00	8.93E-02	4.64E-02	2.81E-02	3.12E-02	4.33E-02	8.46E-02	3.89E-02
TCGA_62_A46U_01A	2.89E-01	1.45E-01	9.57E-02	1.78E-01	1.97E-01	9.57E-02	2.14E-01	1.07E-01
TCGA_62_A46Y_01A	0.00E+00	6.82E-02	1.45E-01	5.92E-02	3.83E-02	2.56E-02	4.82E-02	1.29E-01
TCGA_67_6215_01A	0.00E+00	2.56E-02	3.78E-02	1.71E-02	2.56E-02	3.02E-02	3.14E-02	5.00E-02
TCGA_67_6216_01A	2.00E-02	5.32E-02	7.30E-02	7.53E-02	6.75E-02	5.98E-02	1.23E-01	1.18E-01
TCGA_71_8520_01A	1.34E-01	1.94E-01	2.12E-01	8.20E-02	7.57E-02	5.49E-02	7.50E-02	1.74E-01
TCGA_78_7540_01A	0.00E+00	4.73E-02	2.73E-02	3.38E-02	2.88E-02	3.68E-02	3.14E-02	3.02E-02
TCGA_86_7953_01A	1.17E-01	1.36E-01	1.04E-01	1.95E-01	1.00E-01	1.26E-01	1.20E-01	9.78E-02
TCGA_86_8075_01A	8.82E-02	2.43E-02	7.75E-02	1.56E-01	2.97E-02	1.64E-01	4.55E-02	1.60E-01
TCGA_86_8278_01A	0.00E+00	4.38E-02	4.38E-02	7.04E-02	4.38E-02	9.42E-02	7.55E-02	7.76E-02
TCGA_86_8280_01A	0.00E+00	7.42E-02	3.99E-02	3.83E-02	2.00E-02	7.31E-02	5.32E-02	5.37E-02
TCGA_86_8668_01A	0.00E+00	4.47E-02	3.94E-02	7.06E-02	4.47E-02	4.47E-02	9.84E-02	6.38E-02
TCGA_86_8671_01A	8.83E-02	0.00E+00	3.43E-02	0.00E+00	8.47E-02	2.00E-02	3.12E-02	0.00E+00
TCGA_86_A4P7_01A	0.00E+00	9.71E-02	9.62E-02	2.50E-01	1.25E-01	1.96E-01	2.21E-01	1.72E-01
TCGA_91_8496_01A	1.45E-01	7.77E-02	7.99E-02	8.59E-02	1.90E-01	1.46E-01	1.45E-01	1.81E-01
TCGA_97_8177_01A	0.00E+00	1.35E-01	1.42E-01	6.57E-02	8.69E-02	1.18E-01	8.15E-02	7.99E-02
TCGA_97_8552_01A	3.07E+00	2.75E-01	1.32E-01	9.82E-01	2.70E+00	2.00E-02	1.58E+00	4.22E-01
TCGA_97_A4M6_01A	0.00E+00	9.52E-02	4.61E-02	3.99E-02	5.06E-02	5.26E-02	5.39E-02	2.61E-02
TCGA_99_8033_01A	0.00E+00	1.21E-01	3.01E-01	1.70E-01	3.01E-01	1.79E-01	1.02E-01	2.21E-01
TCGA_J2_8192_01A	0.00E+00	1.55E-01	9.11E-02	8.77E-02	6.82E-02	1.09E-01	1.52E-01	1.09E-01
