NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	4.15	99.633	1.904	66.852	0.823	0.697	50000.0
2	4.21	103.012	1.909	68.13	0.886	0.688	20000.0
3	3.94	100.705	1.8	65.906	0.855	0.693	30000.0
4	4.155	95.31	1.787	63.382	0.833	0.736	20000.0
5	3.671	91.924	1.671	61.836	0.797	0.746	20000.0
6	3.565	83.848	1.583	56.937	0.727	0.755	20000.0
7	4.005	95.764	1.785	63.404	0.785	0.73	30000.0
8	3.774	92.392	1.689	63.531	0.846	0.717	20000.0
9	4.126	103.065	1.872	69.361	0.928	0.675	50000.0
10	4.273	97.453	1.81	63.738	0.863	0.693	20000.0
11	3.404	81.311	1.618	57.901	0.702	0.778	20000.0
12	4.119	90.696	1.874	62.36	0.78	0.717	30000.0
13	3.868	90.4	1.754	61.816	0.825	0.735	20000.0
14	3.453	88.853	1.538	59.771	0.758	0.747	40000.0
15	3.67	89.735	1.67	61.121	0.769	0.734	30000.0
16	3.859	92.401	1.655	61.76	0.798	0.76	30000.0
17	3.767	87.025	1.672	60.331	0.768	0.748	30000.0
18	4.512	106.224	2.019	69.404	0.978	0.663	30000.0
19	3.378	82.356	1.54	57.027	0.71	0.771	40000.0
20	4.197	99.035	1.84	66.127	0.848	0.71	40000.0
21	4.193	98.922	1.9	68.01	0.828	0.701	40000.0
22	3.967	93.721	1.817	63.771	0.787	0.732	30000.0
23	3.979	97.141	1.727	65.673	0.837	0.703	20000.0
24	3.724	84.737	1.61	58.355	0.722	0.78	60000.0
25	3.752	91.144	1.632	60.902	0.801	0.736	40000.0
26	3.405	84.87	1.665	60.031	0.691	0.75	50000.0
27	3.833	94.152	1.76	62.94	0.845	0.72	20000.0
28	3.959	93.609	1.762	63.051	0.79	0.737	20000.0
29	4.108	95.47	1.772	63.09	0.807	0.72	30000.0
30	3.676	92.451	1.605	62.735	0.809	0.734	30000.0
31	3.653	83.346	1.713	57.36	0.678	0.771	20000.0
32	3.643	86.712	1.601	59.621	0.757	0.752	20000.0
33	3.916	101.432	1.738	65.65	0.928	0.678	100000.0
34	3.688	85.772	1.636	58.406	0.693	0.787	50000.0
35	3.806	90.351	1.673	60.764	0.76	0.752	20000.0
36	4.022	89.608	1.728	59.787	0.791	0.747	20000.0
37	3.613	90.286	1.648	61.714	0.751	0.755	40000.0
38	4.128	100.752	1.841	66.245	0.907	0.696	30000.0
39	4.008	92.371	1.824	63.248	0.753	0.744	20000.0
40	3.963	100.645	1.714	65.673	0.891	0.689	30000.0
41	3.622	81.403	1.571	57.011	0.681	0.779	40000.0
42	3.813	88.668	1.725	60.372	0.775	0.744	20000.0
43	3.839	88.316	1.749	59.268	0.747	0.748	20000.0
44	3.698	87.779	1.704	59.381	0.717	0.76	20000.0
45	4.064	94.322	1.805	64.383	0.838	0.706	20000.0
46	3.363	86.126	1.505	58.927	0.742	0.749	100000.0
47	4.109	103.088	1.879	68.417	0.887	0.683	30000.0
48	4.385	99.326	1.953	66.349	0.798	0.712	50000.0
49	3.931	90.185	1.847	61.396	0.744	0.752	20000.0
50	3.845	95.826	1.788	65.232	0.791	0.715	40000.0
51	3.917	87.97	1.714	57.603	0.704	0.781	60000.0
52	3.416	84.477	1.632	57.04	0.695	0.775	20000.0
53	3.304	84.633	1.5	58.484	0.732	0.78	40000.0
54	3.821	89.546	1.726	62.416	0.752	0.734	30000.0
55	4.048	96.241	1.801	64.223	0.877	0.709	20000.0
56	4.016	94.822	1.79	64.228	0.768	0.747	20000.0
57	4.27	98.818	1.929	65.885	0.812	0.721	30000.0
58	4.106	102.157	1.759	66.727	0.943	0.67	40000.0
59	3.872	97.057	1.792	66.302	0.844	0.697	20000.0
60	3.313	78.886	1.476	54.185	0.648	0.795	30000.0
61	3.638	83.48	1.664	58.976	0.742	0.76	20000.0
62	3.866	96.648	1.814	66.254	0.811	0.702	20000.0
63	3.934	97.482	1.711	65.021	0.865	0.709	30000.0
64	3.942	99.369	1.84	66.204	0.862	0.701	20000.0
65	4.469	107.469	1.97	69.0	0.96	0.667	20000.0
66	3.418	83.605	1.524	58.003	0.699	0.771	30000.0
67	3.217	81.805	1.504	57.244	0.715	0.766	20000.0
68	3.686	87.618	1.544	60.259	0.811	0.734	30000.0
69	3.344	84.923	1.511	59.034	0.741	0.767	30000.0
70	4.026	99.193	1.834	66.335	0.872	0.692	20000.0
71	3.616	86.908	1.615	59.314	0.7	0.756	20000.0
