Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
TCGA_05_4402_01A	0	2	0	5	0	0	0	0	0
TCGA_05_5715_01A	0	0	0	0	0	5	1	0	3
TCGA_38_4628_01A	0	3	0	2	1	0	3	0	0
TCGA_38_6178_01A	0	3	0	1	0	0	1	0	0
TCGA_44_2661_01A	0	1	0	0	0	0	0	3	0
TCGA_44_2665_01A	0	2	0	0	0	0	0	1	0
TCGA_44_3919_01A	0	1	0	1	1	2	1	0	0
TCGA_49_4501_01A	0	2	3	0	0	0	0	0	0
TCGA_49_4512_01A	0	0	0	0	1	0	2	1	0
TCGA_49_AAQV_01A	0	1	0	0	0	1	0	0	0
TCGA_50_6591_01A	1	2	0	0	3	0	0	0	0
TCGA_55_6986_01A	0	0	0	0	0	0	2	0	2
TCGA_55_7816_01A	1	0	1	0	0	0	0	0	0
TCGA_55_8087_01A	0	0	0	0	0	0	0	2	1
TCGA_55_8619_01A	0	0	0	0	0	0	1	0	0
TCGA_62_8394_01A	0	0	0	2	0	0	0	1	0
TCGA_62_8397_01A	0	0	0	1	0	2	0	0	2
TCGA_62_8402_01A	0	1	0	0	1	0	0	0	0
TCGA_62_A46U_01A	7	1	0	0	0	0	1	0	0
TCGA_62_A46Y_01A	0	0	0	2	0	0	0	2	0
TCGA_67_6215_01A	0	0	0	0	0	0	0	1	0
TCGA_67_6216_01A	0	0	0	0	2	0	0	1	0
TCGA_71_8520_01A	2	2	0	3	0	0	0	2	0
TCGA_78_7540_01A	0	0	0	0	0	1	0	0	0
TCGA_86_7953_01A	1	1	0	0	0	2	2	0	0
TCGA_86_8075_01A	0	0	0	0	0	0	1	0	4
TCGA_86_8278_01A	0	0	0	0	0	2	0	0	0
TCGA_86_8280_01A	0	1	0	0	0	1	0	0	0
TCGA_86_8668_01A	0	0	0	0	2	0	0	0	0
TCGA_86_8671_01A	1	0	1	0	0	0	0	0	0
TCGA_86_A4P7_01A	0	0	0	0	3	1	2	0	0
TCGA_91_8496_01A	2	0	1	0	1	0	0	1	2
TCGA_97_8177_01A	0	1	0	2	0	1	0	0	0
TCGA_97_8552_01A	78	3	13	0	3	0	1	0	0
TCGA_97_A4M6_01A	0	3	0	0	0	0	0	0	0
TCGA_99_8033_01A	0	0	4	3	0	0	0	1	0
TCGA_J2_8192_01A	0	1	0	0	2	1	0	0	0
