Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_05_4402_01A	7	0.752	8.703	124.329%	2.702	69.765%	1.11285	0.746
TCGA_05_5715_01A	9	0.382	12.025	133.611%	3.135	104.5%	1.42153	0.294
TCGA_38_4628_01A	9	0.873	9.236	102.622%	2.441	56.0%	0.75833	0.873
TCGA_38_6178_01A	5	0.813	5.715	114.3%	1.692	63.952%	1.16889	0.811
TCGA_44_2661_01A	4	0.49	5.729	143.225%	1.753	87.65%	1.79923	0.45
TCGA_44_2665_01A	3	0.712	4.401	146.7%	1.728	77.279%	1.33237	0.717
TCGA_44_3919_01A	6	0.802	5.505	91.75%	1.479	60.38%	0.73839	0.786
TCGA_49_4501_01A	5	0.537	7.885	157.7%	2.233	84.399%	2.0149	0.507
TCGA_49_4512_01A	4	0.407	6.41	160.25%	2.243	91.57%	1.64699	0.373
TCGA_49_AAQV_01A	2	0.528	3.134	156.7%	1.212	85.701%	2.04264	0.514
TCGA_50_6591_01A	6	0.681	7.407	123.45%	2.088	73.822%	1.40529	0.66
TCGA_55_6986_01A	4	0.288	6.666	166.65%	2.002	100.1%	2.22884	0.227
TCGA_55_7816_01A	2	0.822	1.607	80.35%	0.816	57.7%	0.78225	0.817
TCGA_55_8087_01A	3	0.352	4.94	164.667%	1.642	94.801%	1.74425	0.308
TCGA_55_8619_01A	1	0.312	1.819	181.9%	0.95	95.0%	2.4046	0.294
TCGA_62_8394_01A	3	0.339	4.978	165.933%	1.653	95.436%	2.29599	0.294
TCGA_62_8397_01A	5	0.381	7.532	150.64%	2.152	96.24%	1.92486	0.321
TCGA_62_8402_01A	2	0.562	3.079	153.95%	1.189	84.075%	1.79548	0.55
TCGA_62_A46U_01A	9	0.937	7.432	82.578%	2.081	38.643%	0.78417	0.935
TCGA_62_A46Y_01A	4	0.558	5.916	147.9%	2.044	83.446%	1.35093	0.538
TCGA_67_6215_01A	1	0.185	1.893	189.3%	0.988	98.8%	2.92417	0.156
TCGA_67_6216_01A	3	0.201	5.395	179.833%	1.775	102.48%	2.50213	0.142
TCGA_71_8520_01A	9	0.869	8.618	95.756%	2.109	54.454%	0.72824	0.865
TCGA_78_7540_01A	1	0.041	1.976	197.6%	1.03	103.0%	4.42864	-0.0
TCGA_86_7953_01A	6	0.623	6.935	115.583%	1.921	78.424%	1.55711	0.584
TCGA_86_8075_01A	5	0.498	6.539	130.78%	2.298	86.856%	1.49262	0.463
TCGA_86_8278_01A	2	0.112	3.816	190.8%	1.467	103.733%	3.51814	0.059
TCGA_86_8280_01A	2	0.575	3.057	152.85%	1.18	83.439%	1.72588	0.565
TCGA_86_8668_01A	2	0.115	3.811	190.55%	1.465	103.591%	3.24589	0.062
TCGA_86_8671_01A	2	0.822	1.607	80.35%	0.816	57.7%	0.78225	0.817
TCGA_86_A4P7_01A	6	0.285	9.575	159.583%	2.569	104.879%	1.85046	0.205
TCGA_91_8496_01A	7	0.733	7.982	114.029%	2.248	74.933%	1.35045	0.715
TCGA_97_8177_01A	4	0.638	5.041	126.025%	1.544	77.2%	1.50337	0.615
TCGA_97_8552_01A	98	0.996	25.618	26.141%	8.831	15.23%	0.10142	0.997
TCGA_97_A4M6_01A	3	0.62	4.758	158.6%	1.829	81.795%	1.9295	0.617
TCGA_99_8033_01A	8	0.381	12.417	155.212%	3.312	95.609%	2.04131	0.315
TCGA_J2_8192_01A	4	0.441	5.957	148.925%	1.817	90.85%	2.12743	0.396
