Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA_05_4402_01A	70	0	0	0	0	0	0	62	0	0
TCGA_05_5715_01A	89	0	13	15	0	0	0	0	12	0
TCGA_38_4628_01A	6	0	0	0	132	0	0	0	0	0
TCGA_38_6178_01A	0	23	14	0	0	12	3	9	0	0
TCGA_44_2661_01A	3	21	0	13	0	0	0	0	0	8
TCGA_44_2665_01A	1	0	4	0	0	0	0	32	0	3
TCGA_44_3919_01A	14	6	0	13	5	0	0	0	10	0
TCGA_49_4501_01A	0	0	61	0	0	0	0	0	0	0
TCGA_49_4512_01A	2	0	0	0	0	21	0	19	0	3
TCGA_49_AAQV_01A	5	0	2	0	0	0	9	53	0	0
TCGA_50_6591_01A	2	9	0	35	0	2	0	2	0	7
TCGA_55_6986_01A	0	0	0	13	8	0	3	0	0	1
TCGA_55_7816_01A	0	0	0	0	0	2	0	0	0	0
TCGA_55_8087_01A	3	0	8	20	0	0	0	0	1	0
TCGA_55_8619_01A	0	0	0	0	0	25	0	0	0	0
TCGA_62_8394_01A	12	0	0	0	0	0	146	0	0	3
TCGA_62_8397_01A	0	1	20	0	0	7	0	0	1	1
TCGA_62_8402_01A	0	0	0	0	7	29	18	0	13	0
TCGA_62_A46U_01A	3	0	22	0	0	7	0	0	20	0
TCGA_62_A46Y_01A	0	5	0	0	4	24	0	0	0	6
TCGA_67_6215_01A	0	0	0	0	0	0	0	0	0	119
TCGA_67_6216_01A	9	0	0	0	21	0	0	0	4	0
TCGA_71_8520_01A	11	1	34	33	0	0	0	0	15	1
TCGA_78_7540_01A	0	0	9	16	0	8	0	0	0	0
TCGA_86_7953_01A	0	0	11	0	27	0	0	17	0	0
TCGA_86_8075_01A	0	0	0	1	0	28	19	0	0	0
TCGA_86_8278_01A	115	0	4	0	0	0	0	0	0	4
TCGA_86_8280_01A	0	0	0	0	2	0	0	0	47	0
TCGA_86_8668_01A	4	0	0	0	0	37	0	0	0	0
TCGA_86_8671_01A	0	0	12	9	11	0	2	0	2	0
TCGA_86_A4P7_01A	20	0	0	4	17	6	10	12	0	0
TCGA_91_8496_01A	0	1	0	5	0	21	6	5	0	0
TCGA_97_8177_01A	4	0	21	0	0	0	3	0	12	2
TCGA_97_8552_01A	0	0	0	0	0	0	0	0	51	0
TCGA_97_A4M6_01A	1	4	15	0	13	0	2	0	1	2
TCGA_99_8033_01A	0	187	0	0	3	0	0	0	0	0
TCGA_J2_8192_01A	0	0	0	73	0	0	0	5	1	0
