Samples	SBS96A
TCGA_05_4402_01A	132
TCGA_05_5715_01A	129
TCGA_38_4628_01A	138
TCGA_38_6178_01A	61
TCGA_44_2661_01A	45
TCGA_44_2665_01A	40
TCGA_44_3919_01A	48
TCGA_49_4501_01A	61
TCGA_49_4512_01A	45
TCGA_49_AAQV_01A	69
TCGA_50_6591_01A	57
TCGA_55_6986_01A	25
TCGA_55_7816_01A	2
TCGA_55_8087_01A	32
TCGA_55_8619_01A	25
TCGA_62_8394_01A	161
TCGA_62_8397_01A	30
TCGA_62_8402_01A	67
TCGA_62_A46U_01A	52
TCGA_62_A46Y_01A	39
TCGA_67_6215_01A	119
TCGA_67_6216_01A	34
TCGA_71_8520_01A	95
TCGA_78_7540_01A	33
TCGA_86_7953_01A	55
TCGA_86_8075_01A	48
TCGA_86_8278_01A	123
TCGA_86_8280_01A	49
TCGA_86_8668_01A	41
TCGA_86_8671_01A	36
TCGA_86_A4P7_01A	69
TCGA_91_8496_01A	38
TCGA_97_8177_01A	42
TCGA_97_8552_01A	51
TCGA_97_A4M6_01A	38
TCGA_99_8033_01A	190
TCGA_J2_8192_01A	79
