Samples	SBS96A	SBS96B	SBS96C
TCGA_05_4402_01A	0	132	0
TCGA_05_5715_01A	19	110	0
TCGA_38_4628_01A	69	22	47
TCGA_38_6178_01A	50	7	4
TCGA_44_2661_01A	0	5	40
TCGA_44_2665_01A	0	19	21
TCGA_44_3919_01A	23	22	3
TCGA_49_4501_01A	55	6	0
TCGA_49_4512_01A	17	13	15
TCGA_49_AAQV_01A	24	45	0
TCGA_50_6591_01A	20	5	32
TCGA_55_6986_01A	5	1	19
TCGA_55_7816_01A	1	0	1
TCGA_55_8087_01A	26	6	0
TCGA_55_8619_01A	25	0	0
TCGA_62_8394_01A	27	63	71
TCGA_62_8397_01A	30	0	0
TCGA_62_8402_01A	56	3	8
TCGA_62_A46U_01A	44	8	0
TCGA_62_A46Y_01A	10	0	29
TCGA_67_6215_01A	0	0	119
TCGA_67_6216_01A	17	15	2
TCGA_71_8520_01A	75	20	0
TCGA_78_7540_01A	33	0	0
TCGA_86_7953_01A	38	11	6
TCGA_86_8075_01A	35	0	13
TCGA_86_8278_01A	0	123	0
TCGA_86_8280_01A	49	0	0
TCGA_86_8668_01A	30	5	6
TCGA_86_8671_01A	34	2	0
TCGA_86_A4P7_01A	30	39	0
TCGA_91_8496_01A	20	2	16
TCGA_97_8177_01A	26	10	6
TCGA_97_8552_01A	48	3	0
TCGA_97_A4M6_01A	20	4	14
TCGA_99_8033_01A	74	8	108
TCGA_J2_8192_01A	75	4	0
