Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA_05_4402_01A	0	0	132	0
TCGA_05_5715_01A	25	0	104	0
TCGA_38_4628_01A	0	118	13	7
TCGA_38_6178_01A	14	43	4	0
TCGA_44_2661_01A	0	25	3	17
TCGA_44_2665_01A	0	10	16	14
TCGA_44_3919_01A	3	28	17	0
TCGA_49_4501_01A	55	0	6	0
TCGA_49_4512_01A	23	0	12	10
TCGA_49_AAQV_01A	13	17	39	0
TCGA_50_6591_01A	14	26	3	14
TCGA_55_6986_01A	3	13	0	9
TCGA_55_7816_01A	1	0	0	1
TCGA_55_8087_01A	26	0	6	0
TCGA_55_8619_01A	25	0	0	0
TCGA_62_8394_01A	10	70	52	29
TCGA_62_8397_01A	27	2	0	1
TCGA_62_8402_01A	53	3	3	8
TCGA_62_A46U_01A	44	0	8	0
TCGA_62_A46Y_01A	15	9	0	15
TCGA_67_6215_01A	0	0	0	119
TCGA_67_6216_01A	9	10	14	1
TCGA_71_8520_01A	66	9	20	0
TCGA_78_7540_01A	33	0	0	0
TCGA_86_7953_01A	12	35	8	0
TCGA_86_8075_01A	39	0	0	9
TCGA_86_8278_01A	0	0	123	0
TCGA_86_8280_01A	42	6	1	0
TCGA_86_8668_01A	32	0	5	4
TCGA_86_8671_01A	29	3	3	1
TCGA_86_A4P7_01A	10	27	32	0
TCGA_91_8496_01A	19	11	2	6
TCGA_97_8177_01A	25	1	9	7
TCGA_97_8552_01A	45	0	4	2
TCGA_97_A4M6_01A	11	17	3	7
TCGA_99_8033_01A	0	190	0	0
TCGA_J2_8192_01A	46	30	3	0
