Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA_05_4402_01A	3.30E-01	6.30E-01	8.87E-01	5.69E-01
TCGA_05_5715_01A	1.33E+00	8.73E-01	1.52E+00	0.00E+00
TCGA_38_4628_01A	3.14E+00	3.67E+00	9.83E-01	2.67E+00
TCGA_38_6178_01A	1.90E+00	1.94E+00	4.74E-01	8.21E-01
TCGA_44_2661_01A	1.22E+00	1.57E+00	5.81E-01	1.39E+00
TCGA_44_2665_01A	9.39E-01	9.66E-01	9.41E-01	1.25E+00
TCGA_44_3919_01A	1.13E+00	1.22E+00	7.28E-01	7.15E-01
TCGA_49_4501_01A	1.99E+00	1.85E+00	5.61E-01	9.14E-01
TCGA_49_4512_01A	1.32E+00	1.00E+00	1.08E+00	9.83E-01
TCGA_49_AAQV_01A	1.50E+00	1.51E+00	1.32E+00	6.00E-01
TCGA_50_6591_01A	1.43E+00	1.54E+00	7.66E-01	1.30E+00
TCGA_55_6986_01A	8.59E-01	7.99E-01	2.87E-01	8.61E-01
TCGA_55_7816_01A	9.94E-02	6.79E-02	0.00E+00	9.19E-02
TCGA_55_8087_01A	9.82E-01	8.57E-01	6.83E-01	4.05E-01
TCGA_55_8619_01A	7.61E-01	6.50E-01	2.28E-01	3.92E-01
TCGA_62_8394_01A	3.50E+00	4.05E+00	1.96E+00	3.02E+00
TCGA_62_8397_01A	9.93E-01	9.07E-01	9.32E-02	6.54E-01
TCGA_62_8402_01A	2.13E+00	2.00E+00	8.54E-01	1.29E+00
TCGA_62_A46U_01A	1.54E+00	1.59E+00	7.69E-01	1.09E+00
TCGA_62_A46Y_01A	1.20E+00	1.11E+00	1.90E-01	1.31E+00
TCGA_67_6215_01A	5.20E-01	3.80E-01	1.80E+00	2.19E+00
TCGA_67_6216_01A	9.42E-01	9.82E-01	5.62E-01	4.99E-01
TCGA_71_8520_01A	2.59E+00	2.32E+00	8.72E-01	1.06E+00
TCGA_78_7540_01A	1.23E+00	1.18E+00	8.76E-02	4.93E-01
TCGA_86_7953_01A	1.85E+00	1.98E+00	4.37E-01	1.13E+00
TCGA_86_8075_01A	1.66E+00	1.69E+00	5.24E-01	1.53E+00
TCGA_86_8278_01A	1.30E-01	9.81E-02	3.07E-01	2.76E-01
TCGA_86_8280_01A	1.92E+00	1.82E+00	2.35E-01	8.80E-01
TCGA_86_8668_01A	1.36E+00	1.19E+00	4.24E-01	1.20E+00
TCGA_86_8671_01A	1.17E+00	9.15E-01	4.40E-01	8.41E-01
TCGA_86_A4P7_01A	1.47E+00	1.59E+00	1.11E+00	8.96E-01
TCGA_91_8496_01A	1.44E+00	1.32E+00	4.10E-01	1.08E+00
TCGA_97_8177_01A	1.24E+00	1.37E+00	7.36E-01	1.13E+00
TCGA_97_8552_01A	1.77E+00	1.37E+00	5.70E-01	9.92E-01
TCGA_97_A4M6_01A	1.32E+00	1.26E+00	3.33E-01	1.11E+00
TCGA_99_8033_01A	4.35E+00	5.94E+00	5.46E-01	4.13E+00
TCGA_J2_8192_01A	2.52E+00	2.45E+00	7.62E-01	6.40E-01
