Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA_05_4402_01A	125	0	0	7	0
TCGA_05_5715_01A	101	28	0	0	0
TCGA_38_4628_01A	10	0	52	71	5
TCGA_38_6178_01A	4	20	0	37	0
TCGA_44_2661_01A	3	2	0	26	14
TCGA_44_2665_01A	16	0	2	12	10
TCGA_44_3919_01A	15	0	9	24	0
TCGA_49_4501_01A	4	37	20	0	0
TCGA_49_4512_01A	11	27	0	0	7
TCGA_49_AAQV_01A	31	0	38	0	0
TCGA_50_6591_01A	3	23	0	20	11
TCGA_55_6986_01A	0	4	10	6	5
TCGA_55_7816_01A	0	2	0	0	0
TCGA_55_8087_01A	6	26	0	0	0
TCGA_55_8619_01A	0	25	0	0	0
TCGA_62_8394_01A	46	0	58	38	19
TCGA_62_8397_01A	0	24	0	5	1
TCGA_62_8402_01A	0	30	34	0	3
TCGA_62_A46U_01A	6	30	16	0	0
TCGA_62_A46Y_01A	0	22	0	5	12
TCGA_67_6215_01A	0	0	0	0	119
TCGA_67_6216_01A	11	1	18	3	1
TCGA_71_8520_01A	14	28	45	8	0
TCGA_78_7540_01A	0	33	0	0	0
TCGA_86_7953_01A	4	0	40	11	0
TCGA_86_8075_01A	0	44	0	0	4
TCGA_86_8278_01A	121	0	0	0	2
TCGA_86_8280_01A	0	0	49	0	0
TCGA_86_8668_01A	5	34	0	0	2
TCGA_86_8671_01A	0	9	27	0	0
TCGA_86_A4P7_01A	31	13	10	15	0
TCGA_91_8496_01A	2	29	0	3	4
TCGA_97_8177_01A	5	0	33	0	4
TCGA_97_8552_01A	0	0	51	0	0
TCGA_97_A4M6_01A	1	0	29	4	4
TCGA_99_8033_01A	0	0	0	190	0
TCGA_J2_8192_01A	2	52	0	25	0
