Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA_05_4402_01A	2.35E+00	8.35E-01	2.11E+00	6.22E-01	5.07E-01
TCGA_05_5715_01A	1.67E+00	1.40E+00	1.21E+00	6.99E-01	3.94E-01
TCGA_38_4628_01A	9.25E-01	3.07E+00	4.36E+00	3.97E+00	1.77E+00
TCGA_38_6178_01A	3.94E-01	1.87E+00	1.78E+00	1.96E+00	6.53E-01
TCGA_44_2661_01A	2.89E-01	1.29E+00	1.10E+00	1.56E+00	1.26E+00
TCGA_44_2665_01A	8.23E-01	8.06E-01	1.08E+00	9.24E-01	1.25E+00
TCGA_44_3919_01A	7.02E-01	1.02E+00	1.12E+00	1.17E+00	6.04E-01
TCGA_49_4501_01A	3.75E-01	2.32E+00	2.16E+00	1.73E+00	6.52E-01
TCGA_49_4512_01A	7.88E-01	1.33E+00	8.48E-01	6.66E-01	8.45E-01
TCGA_49_AAQV_01A	1.28E+00	1.13E+00	1.49E+00	1.15E+00	2.13E-01
TCGA_50_6591_01A	7.29E-01	1.56E+00	1.45E+00	1.46E+00	1.07E+00
TCGA_55_6986_01A	2.89E-01	8.73E-01	8.26E-01	7.34E-01	7.59E-01
TCGA_55_7816_01A	0.00E+00	9.85E-02	8.70E-02	4.04E-02	7.59E-02
TCGA_55_8087_01A	5.49E-01	9.68E-01	9.29E-01	7.10E-01	3.15E-01
TCGA_55_8619_01A	1.75E-01	8.92E-01	8.09E-01	4.76E-01	1.00E-01
TCGA_62_8394_01A	1.94E+00	2.47E+00	4.86E+00	4.22E+00	2.57E+00
TCGA_62_8397_01A	8.65E-02	1.08E+00	9.28E-01	7.66E-01	5.21E-01
TCGA_62_8402_01A	6.49E-01	2.12E+00	2.11E+00	1.44E+00	7.23E-01
TCGA_62_A46U_01A	6.20E-01	1.52E+00	1.75E+00	1.45E+00	7.35E-01
TCGA_62_A46Y_01A	5.03E-02	1.22E+00	1.04E+00	8.03E-01	1.19E+00
TCGA_67_6215_01A	1.89E+00	4.45E-02	0.00E+00	2.30E-01	2.01E+00
TCGA_67_6216_01A	5.44E-01	9.12E-01	9.65E-01	8.49E-01	2.82E-01
TCGA_71_8520_01A	8.30E-01	2.77E+00	3.27E+00	2.34E+00	9.34E-01
TCGA_78_7540_01A	7.07E-02	1.25E+00	9.88E-01	9.38E-01	1.99E-01
TCGA_86_7953_01A	4.41E-01	1.48E+00	2.10E+00	1.97E+00	8.12E-01
TCGA_86_8075_01A	4.53E-01	1.74E+00	1.77E+00	1.07E+00	8.20E-01
TCGA_86_8278_01A	6.37E-01	5.00E-01	2.34E-01	2.62E-01	2.09E-01
TCGA_86_8280_01A	2.21E-01	1.75E+00	1.99E+00	1.29E+00	5.60E-01
TCGA_86_8668_01A	3.71E-01	1.51E+00	1.30E+00	7.19E-01	1.19E+00
TCGA_86_8671_01A	3.76E-01	1.17E+00	1.24E+00	6.36E-01	4.64E-01
TCGA_86_A4P7_01A	9.53E-01	1.45E+00	1.34E+00	1.25E+00	3.18E-01
TCGA_91_8496_01A	4.73E-01	1.35E+00	1.22E+00	9.28E-01	9.83E-01
TCGA_97_8177_01A	7.35E-01	1.28E+00	1.31E+00	9.36E-01	1.09E+00
TCGA_97_8552_01A	5.89E-01	1.75E+00	1.93E+00	1.29E+00	8.87E-01
TCGA_97_A4M6_01A	3.13E-01	1.22E+00	1.47E+00	9.13E-01	6.80E-01
TCGA_99_8033_01A	5.59E-01	2.22E+00	2.33E+00	5.15E+00	4.22E+00
TCGA_J2_8192_01A	7.06E-01	2.66E+00	2.46E+00	1.88E+00	5.83E-01
