Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA_05_4402_01A	120	0	0	8	4	0
TCGA_05_5715_01A	98	0	31	0	0	0
TCGA_38_4628_01A	4	92	0	32	9	1
TCGA_38_6178_01A	5	0	20	35	1	0
TCGA_44_2661_01A	3	6	2	23	0	11
TCGA_44_2665_01A	16	3	1	12	0	8
TCGA_44_3919_01A	14	0	0	16	18	0
TCGA_49_4501_01A	5	0	47	0	9	0
TCGA_49_4512_01A	8	17	15	0	0	5
TCGA_49_AAQV_01A	29	14	0	0	26	0
TCGA_50_6591_01A	3	4	18	22	1	9
TCGA_55_6986_01A	0	22	0	0	0	3
TCGA_55_7816_01A	0	0	2	0	0	0
TCGA_55_8087_01A	6	0	25	0	1	0
TCGA_55_8619_01A	0	0	25	0	0	0
TCGA_62_8394_01A	35	114	0	1	0	11
TCGA_62_8397_01A	0	0	22	3	4	1
TCGA_62_8402_01A	0	21	21	0	23	2
TCGA_62_A46U_01A	7	0	37	0	7	1
TCGA_62_A46Y_01A	0	11	12	7	0	9
TCGA_67_6215_01A	0	0	0	0	0	119
TCGA_67_6216_01A	10	3	0	0	21	0
TCGA_71_8520_01A	16	0	47	17	13	2
TCGA_78_7540_01A	0	0	33	0	0	0
TCGA_86_7953_01A	3	23	0	6	23	0
TCGA_86_8075_01A	0	35	13	0	0	0
TCGA_86_8278_01A	119	0	0	0	0	4
TCGA_86_8280_01A	0	0	0	0	49	0
TCGA_86_8668_01A	3	17	21	0	0	0
TCGA_86_8671_01A	1	0	13	0	22	0
TCGA_86_A4P7_01A	23	46	0	0	0	0
TCGA_91_8496_01A	0	35	3	0	0	0
TCGA_97_8177_01A	5	0	3	0	31	3
TCGA_97_8552_01A	0	0	0	0	51	0
TCGA_97_A4M6_01A	2	4	2	10	17	3
TCGA_99_8033_01A	0	0	0	190	0	0
TCGA_J2_8192_01A	0	17	42	20	0	0
