Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA_05_4402_01A	2.82E+00	1.75E+00	4.08E-01	1.97E+00	1.41E+00	5.70E-01	0.00E+00
TCGA_05_5715_01A	2.10E+00	1.23E+00	5.67E-01	1.40E+00	1.03E+00	1.30E+00	0.00E+00
TCGA_38_4628_01A	8.15E-01	4.18E+00	3.63E+00	3.80E+00	3.04E+00	2.20E+00	7.21E-01
TCGA_38_6178_01A	3.50E-01	1.37E+00	1.76E+00	1.96E+00	1.38E+00	1.63E+00	0.00E+00
TCGA_44_2661_01A	2.03E-01	1.20E+00	1.34E+00	1.31E+00	7.35E-01	1.19E+00	7.85E-01
TCGA_44_2665_01A	7.92E-01	1.32E+00	8.02E-01	1.22E+00	5.77E-01	5.74E-01	1.18E+00
TCGA_44_3919_01A	7.36E-01	9.55E-01	1.11E+00	1.42E+00	9.51E-01	6.48E-01	1.24E-01
TCGA_49_4501_01A	3.10E-01	1.38E+00	9.48E-01	1.94E+00	2.07E+00	2.19E+00	1.00E-01
TCGA_49_4512_01A	7.72E-01	6.54E-01	4.89E-01	1.30E+00	7.43E-01	1.40E+00	3.83E-01
TCGA_49_AAQV_01A	1.29E+00	1.84E+00	8.02E-01	1.44E+00	1.15E+00	8.69E-01	1.04E-01
TCGA_50_6591_01A	6.00E-01	9.46E-01	1.21E+00	1.68E+00	8.84E-01	1.45E+00	5.77E-01
TCGA_55_6986_01A	9.73E-02	8.51E-01	5.04E-01	8.74E-01	3.78E-01	7.15E-01	5.57E-01
TCGA_55_7816_01A	0.00E+00	5.39E-02	2.81E-02	7.76E-02	8.22E-02	9.30E-02	5.26E-02
TCGA_55_8087_01A	5.00E-01	5.18E-01	4.28E-01	9.70E-01	7.44E-01	1.01E+00	2.09E-01
TCGA_55_8619_01A	1.61E-01	3.54E-01	2.12E-01	5.41E-01	8.52E-01	9.41E-01	3.00E-02
TCGA_62_8394_01A	1.91E+00	6.05E+00	2.89E+00	2.69E+00	1.88E+00	1.71E+00	1.62E+00
TCGA_62_8397_01A	9.40E-02	5.13E-01	4.87E-01	9.02E-01	9.81E-01	1.02E+00	3.12E-01
TCGA_62_8402_01A	3.20E-01	2.00E+00	5.81E-01	1.55E+00	1.99E+00	2.16E+00	5.61E-01
TCGA_62_A46U_01A	6.23E-01	5.35E-01	1.13E+00	1.70E+00	1.77E+00	1.60E+00	1.42E-01
TCGA_62_A46Y_01A	1.05E-01	8.97E-01	7.70E-01	9.29E-01	8.55E-01	1.17E+00	1.10E+00
TCGA_67_6215_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_67_6216_01A	5.40E-01	8.73E-01	6.25E-01	7.71E-01	8.66E-01	7.28E-01	2.00E-02
TCGA_71_8520_01A	8.48E-01	1.44E+00	1.85E+00	3.09E+00	2.62E+00	2.65E+00	2.55E-01
TCGA_78_7540_01A	5.34E-02	5.46E-01	5.01E-01	1.25E+00	6.13E-01	1.34E+00	0.00E+00
TCGA_86_7953_01A	2.63E-01	2.02E+00	1.43E+00	1.68E+00	1.91E+00	1.09E+00	3.60E-01
TCGA_86_8075_01A	3.31E-01	1.62E+00	4.82E-01	1.38E+00	7.25E-01	1.67E+00	3.74E-01
TCGA_86_8278_01A	2.41E+00	2.11E+00	1.44E-01	1.29E+00	1.20E-01	3.96E-01	1.90E-01
TCGA_86_8280_01A	1.62E-01	8.08E-01	7.46E-01	1.14E+00	1.76E+00	1.10E+00	0.00E+00
TCGA_86_8668_01A	2.89E-01	1.01E+00	3.62E-01	1.05E+00	1.07E+00	1.52E+00	4.42E-01
TCGA_86_8671_01A	2.56E-01	1.05E+00	4.74E-01	1.12E+00	1.08E+00	9.73E-01	3.87E-01
TCGA_86_A4P7_01A	1.06E+00	1.53E+00	9.91E-01	1.55E+00	7.78E-01	1.13E+00	6.86E-02
TCGA_91_8496_01A	2.56E-01	9.50E-01	6.90E-01	1.24E+00	9.71E-01	1.41E+00	3.20E-01
TCGA_97_8177_01A	5.20E-01	1.29E+00	6.40E-01	1.22E+00	1.35E+00	8.94E-01	8.74E-01
TCGA_97_8552_01A	3.86E-01	7.02E-01	6.66E-01	1.10E+00	1.74E+00	9.64E-01	4.91E-01
TCGA_97_A4M6_01A	2.68E-01	1.08E+00	9.00E-01	9.22E-01	1.33E+00	1.15E+00	2.92E-01
TCGA_99_8033_01A	3.38E-01	2.60E+00	3.55E+00	1.69E+00	1.27E+00	1.26E+00	0.00E+00
TCGA_J2_8192_01A	4.39E-01	1.32E+00	1.06E+00	2.84E+00	1.22E+00	2.47E+00	0.00E+00
