Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_05_4402_01A	132	0.958	57.142	43.289%	10.491	30.645%	0.22506	0.951
TCGA_05_5715_01A	129	0.98	47.743	37.01%	7.369	21.176%	0.18594	0.977
TCGA_38_4628_01A	138	0.864	75.817	54.94%	11.33	50.368%	0.32253	0.763
TCGA_38_6178_01A	61	0.801	47.941	78.592%	6.583	59.845%	0.6106	0.688
TCGA_44_2661_01A	45	0.696	46.933	104.296%	6.541	71.797%	0.86823	0.556
TCGA_44_2665_01A	40	0.692	44.6	111.5%	6.771	72.179%	1.02396	0.598
TCGA_44_3919_01A	48	0.73	44.699	93.123%	6.476	69.034%	0.71047	0.605
TCGA_49_4501_01A	61	0.829	55.191	90.477%	8.287	57.599%	0.66954	0.793
TCGA_49_4512_01A	45	0.79	40.019	88.931%	5.989	61.446%	0.70234	0.719
TCGA_49_AAQV_01A	69	0.873	49.842	72.235%	7.907	49.516%	0.4984	0.842
TCGA_50_6591_01A	57	0.802	46.532	81.635%	6.593	59.936%	0.59185	0.714
TCGA_55_6986_01A	25	0.627	30.295	121.18%	5.128	78.201%	1.06872	0.539
TCGA_55_7816_01A	2	0.327	3.629	181.45%	1.338	94.611%	2.81131	0.298
TCGA_55_8087_01A	32	0.821	31.203	97.509%	4.869	59.933%	0.81181	0.799
TCGA_55_8619_01A	25	0.847	27.556	110.224%	4.963	58.9%	0.98716	0.844
TCGA_62_8394_01A	161	0.938	72.775	45.202%	9.484	34.7%	0.23572	0.901
TCGA_62_8397_01A	30	0.759	30.205	100.683%	4.323	65.172%	0.91542	0.679
TCGA_62_8402_01A	67	0.851	50.419	75.252%	7.017	52.743%	0.52759	0.793
TCGA_62_A46U_01A	52	0.832	45.765	88.01%	6.157	55.743%	0.68234	0.775
TCGA_62_A46Y_01A	39	0.72	39.16	100.41%	6.168	69.395%	0.92893	0.631
TCGA_67_6215_01A	119	0.995	20.451	17.186%	4.453	14.047%	0.04977	0.995
TCGA_67_6216_01A	34	0.763	33.1	97.353%	4.842	64.704%	0.86555	0.683
TCGA_71_8520_01A	95	0.866	66.826	70.343%	8.949	50.105%	0.4871	0.804
TCGA_78_7540_01A	33	0.844	32.481	98.427%	5.497	57.001%	0.77268	0.831
TCGA_86_7953_01A	55	0.748	48.182	87.604%	6.806	66.42%	0.74765	0.609
TCGA_86_8075_01A	48	0.853	41.495	86.448%	6.081	53.749%	0.641	0.822
TCGA_86_8278_01A	123	0.975	43.698	35.527%	9.799	23.872%	0.17631	0.973
TCGA_86_8280_01A	49	0.882	36.295	74.071%	5.256	48.592%	0.49482	0.853
TCGA_86_8668_01A	41	0.786	39.38	96.049%	5.784	62.011%	0.84039	0.724
TCGA_86_8671_01A	36	0.738	35.887	99.686%	4.963	67.538%	0.86106	0.627
TCGA_86_A4P7_01A	69	0.886	45.618	66.113%	6.985	46.775%	0.44582	0.853
TCGA_91_8496_01A	38	0.747	37.171	97.818%	5.877	66.544%	0.84603	0.673
TCGA_97_8177_01A	42	0.768	41.781	99.479%	6.048	64.472%	0.83117	0.697
TCGA_97_8552_01A	51	0.801	42.222	82.788%	6.042	60.12%	0.63286	0.716
TCGA_97_A4M6_01A	38	0.691	40.097	105.518%	6.25	72.655%	0.91442	0.594
TCGA_99_8033_01A	190	0.986	33.298	17.525%	5.029	16.914%	0.05552	0.978
TCGA_J2_8192_01A	79	0.901	46.733	59.156%	6.44	43.718%	0.3783	0.856
