Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA_05_4402_01A	4.41E+00	5.35E-01	2.99E-01	3.31E-01	4.63E+00	5.42E-01	4.71E-01	9.10E-01	0.00E+00
TCGA_05_5715_01A	2.36E+00	1.35E+00	7.51E-01	4.05E-01	2.04E+00	9.74E-01	9.37E-01	1.33E+00	0.00E+00
TCGA_38_4628_01A	6.41E-01	1.39E+00	5.23E+00	2.98E+00	3.13E+00	2.37E+00	1.88E+00	3.31E+00	8.11E-01
TCGA_38_6178_01A	3.56E-01	1.84E+00	1.49E+00	1.75E+00	1.21E+00	1.47E+00	1.19E+00	1.39E+00	0.00E+00
TCGA_44_2661_01A	1.46E-01	1.11E+00	1.06E+00	1.27E+00	1.26E+00	1.14E+00	3.75E-01	9.14E-01	8.27E-01
TCGA_44_2665_01A	6.72E-01	7.93E-01	9.73E-01	5.62E-01	1.33E+00	8.44E-01	6.17E-01	1.29E+00	9.78E-01
TCGA_44_3919_01A	7.67E-01	7.48E-01	1.45E+00	9.36E-01	1.36E+00	4.15E-01	9.26E-01	7.48E-01	2.00E-02
TCGA_49_4501_01A	2.24E-01	2.36E+00	8.07E-01	7.18E-01	9.99E-01	1.84E+00	1.56E+00	7.77E-01	0.00E+00
TCGA_49_4512_01A	6.93E-01	1.20E+00	7.38E-01	4.03E-01	1.53E+00	1.38E+00	4.54E-01	7.91E-01	2.89E-01
TCGA_49_AAQV_01A	1.45E+00	1.18E+00	1.09E+00	3.12E-01	2.26E+00	7.78E-01	1.13E+00	1.49E+00	2.00E-02
TCGA_50_6591_01A	4.71E-01	1.09E+00	1.71E+00	9.30E-01	1.41E+00	1.21E+00	8.24E-01	1.07E+00	5.92E-01
TCGA_55_6986_01A	4.94E-02	3.92E-01	9.08E-01	2.72E-01	5.62E-01	6.34E-01	3.78E-01	6.76E-01	4.96E-01
TCGA_55_7816_01A	0.00E+00	5.69E-02	5.33E-02	2.00E-02	5.57E-02	9.71E-02	6.68E-02	4.64E-02	4.14E-02
TCGA_55_8087_01A	4.34E-01	9.75E-01	7.51E-01	2.38E-01	7.09E-01	9.26E-01	7.94E-01	7.35E-01	1.12E-01
TCGA_55_8619_01A	1.29E-01	9.01E-01	4.88E-01	7.88E-02	2.16E-01	9.95E-01	6.48E-01	3.08E-01	0.00E+00
TCGA_62_8394_01A	1.81E+00	1.02E+00	5.53E-01	3.18E+00	1.83E+00	5.77E-01	1.66E+00	5.52E+00	8.44E-01
TCGA_62_8397_01A	1.41E-02	1.12E+00	5.61E-01	3.38E-01	3.54E-01	8.01E-01	8.24E-01	4.46E-01	2.00E-01
TCGA_62_8402_01A	3.29E-01	1.44E+00	1.62E+00	3.11E-01	1.55E+00	2.13E+00	2.04E+00	1.51E+00	1.56E-01
TCGA_62_A46U_01A	4.11E-01	1.81E+00	9.01E-01	8.76E-01	1.30E+00	1.28E+00	1.58E+00	2.64E-01	9.25E-02
TCGA_62_A46Y_01A	0.00E+00	6.21E-01	1.19E+00	5.71E-01	7.46E-01	1.34E+00	8.79E-01	5.17E-01	9.18E-01
TCGA_67_6215_01A	0.00E+00	0.00E+00	2.00E-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.00E-02
TCGA_67_6216_01A	5.07E-01	6.57E-01	1.04E+00	2.99E-01	6.67E-01	5.26E-01	8.14E-01	5.33E-01	0.00E+00
TCGA_71_8520_01A	7.70E-01	3.40E+00	2.55E+00	1.49E+00	2.68E+00	1.36E+00	2.68E+00	1.28E+00	1.90E-01
TCGA_78_7540_01A	2.43E-02	1.25E+00	9.13E-01	3.85E-01	1.84E-01	1.22E+00	5.35E-01	4.92E-01	0.00E+00
TCGA_86_7953_01A	1.39E-01	1.25E+00	1.90E+00	1.27E+00	1.69E+00	1.41E+00	1.82E+00	1.25E+00	1.38E-01
TCGA_86_8075_01A	2.23E-01	8.70E-01	1.12E+00	4.86E-01	1.31E+00	1.84E+00	4.46E-01	1.51E+00	2.04E-01
TCGA_86_8278_01A	2.41E+00	4.97E-01	4.10E-01	0.00E+00	2.07E+00	4.72E-01	6.00E-02	1.24E+00	1.80E-01
TCGA_86_8280_01A	3.71E-02	1.28E+00	1.11E+00	3.89E-01	8.94E-01	9.45E-01	1.78E+00	5.93E-01	0.00E+00
TCGA_86_8668_01A	2.66E-01	1.06E+00	8.44E-01	5.95E-01	1.05E+00	1.59E+00	8.66E-01	9.66E-01	3.10E-01
TCGA_86_8671_01A	1.99E-01	1.12E+00	1.07E+00	2.42E-01	7.50E-01	9.59E-01	9.68E-01	8.75E-01	2.48E-01
TCGA_86_A4P7_01A	1.14E+00	9.52E-01	1.63E+00	4.65E-01	1.44E+00	1.12E+00	5.26E-01	1.13E+00	2.00E-02
TCGA_91_8496_01A	1.68E-01	9.26E-01	1.05E+00	5.11E-01	1.14E+00	1.31E+00	8.37E-01	8.60E-01	5.88E-02
TCGA_97_8177_01A	3.02E-01	1.19E+00	8.77E-01	2.56E-01	1.22E+00	7.47E-01	1.36E+00	1.17E+00	4.84E-01
TCGA_97_8552_01A	4.24E-01	1.09E+00	7.37E-01	4.09E-01	7.27E-01	8.41E-01	1.80E+00	4.89E-01	3.23E-01
TCGA_97_A4M6_01A	2.46E-01	8.12E-01	1.14E+00	7.24E-01	9.30E-01	1.06E+00	1.38E+00	5.77E-01	2.05E-01
TCGA_99_8033_01A	2.20E-01	1.03E+00	1.16E+00	2.73E+00	7.16E-01	1.50E+00	4.69E-01	1.36E+00	0.00E+00
TCGA_J2_8192_01A	1.35E-01	2.40E+00	2.66E+00	1.09E+00	2.13E+00	1.97E+00	1.88E+00	1.41E+00	0.00E+00
