Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,2.63e-02,71.56%,104.25%,191.8%,73.21%,98.29,0.9172,3.4292,0.324,0.812,0.564,0.124
2*,0.82,0.81,YES,Most Stab Sigs,59.08%,102.14%,189.75%,68.89%,96.94,0.8467,3.16,0.269,0.751,0.639,0.21
3,0.52,0.1,NO,N/A,54.31%,96.5%,190.05%,66.27%,97.02,0.7969,3.1708,0.247,0.753,0.67,0.209
4,0.52,0.21,NO,N/A,47.62%,94.43%,189.25%,63.32%,96.87,0.7557,3.0548,0.227,0.748,0.698,0.212
5,0.41,-0.07,NO,N/A,44.84%,90.89%,184.95%,61.27%,95.95,0.7283,2.8812,0.214,0.717,0.715,0.246
6,0.39,-0.07,NO,N/A,41.75%,89.9%,186.25%,59.99%,97.02,0.7061,2.9928,0.202,0.755,0.733,0.201
7,0.36,-0.1,NO,N/A,39.65%,88.01%,181.45%,59.84%,94.61,0.687,2.8113,0.19,0.673,0.75,0.298
8,0.3,-0.19,NO,N/A,38.31%,86.18%,177.35%,56.45%,92.21,0.6708,2.6378,0.18,0.59,0.763,0.396
9,0.29,-0.23,NO,N/A,36.78%,85.28%,179.5%,56.74%,93.41,0.6549,2.6449,0.173,0.633,0.774,0.345
10,0.27,-0.28,NO,N/A,35.1%,84.81%,178.25%,55.51%,92.91,0.6375,2.704,0.165,0.619,0.787,0.361
