Samples	SBS1	SBS2	SBS5	SBS13	SBS19	SBS95
TCGA_05_4402_01A	6	30	42	54	0	0
TCGA_05_5715_01A	18	34	30	47	0	0
TCGA_38_4628_01A	17	0	63	0	0	58
TCGA_38_6178_01A	10	5	19	0	0	27
TCGA_44_2661_01A	4	0	30	0	11	0
TCGA_44_2665_01A	1	10	29	0	0	0
TCGA_44_3919_01A	2	0	36	10	0	0
TCGA_49_4501_01A	17	10	34	0	0	0
TCGA_49_4512_01A	10	0	35	0	0	0
TCGA_49_AAQV_01A	5	13	34	17	0	0
TCGA_50_6591_01A	11	0	46	0	0	0
TCGA_55_6986_01A	2	0	23	0	0	0
TCGA_55_7816_01A	2	0	0	0	0	0
TCGA_55_8087_01A	8	0	24	0	0	0
TCGA_55_8619_01A	19	0	6	0	0	0
TCGA_62_8394_01A	20	13	97	31	0	0
TCGA_62_8397_01A	8	0	22	0	0	0
TCGA_62_8402_01A	18	0	49	0	0	0
TCGA_62_A46U_01A	14	0	38	0	0	0
TCGA_62_A46Y_01A	13	0	26	0	0	0
TCGA_67_6215_01A	2	0	117	0	0	0
TCGA_67_6216_01A	4	6	19	5	0	0
TCGA_71_8520_01A	15	8	36	10	0	26
TCGA_78_7540_01A	16	0	9	0	8	0
TCGA_86_7953_01A	5	0	30	0	0	20
TCGA_86_8075_01A	17	0	31	0	0	0
TCGA_86_8278_01A	10	43	18	52	0	0
TCGA_86_8280_01A	5	0	44	0	0	0
TCGA_86_8668_01A	15	0	26	0	0	0
TCGA_86_8671_01A	8	0	28	0	0	0
TCGA_86_A4P7_01A	9	9	35	16	0	0
TCGA_91_8496_01A	9	0	21	0	8	0
TCGA_97_8177_01A	5	6	31	0	0	0
TCGA_97_8552_01A	4	0	47	0	0	0
TCGA_97_A4M6_01A	4	0	34	0	0	0
TCGA_99_8033_01A	9	0	79	0	0	102
TCGA_J2_8192_01A	15	0	64	0	0	0
