NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3.0	74.858	1.871	61.579	0.379	0.825	20000.0
2	4.0	99.81	2.121	71.03	0.691	0.698	40000.0
3	2.0	49.906	1.0	40.825	0.215	0.91	20000.0
4	2.0	49.906	1.225	50.01	0.28	0.861	20000.0
5	3.0	74.86	1.414	57.708	0.411	0.846	20000.0
6	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
7	2.0	49.905	1.414	49.992	0.346	0.862	20000.0
8	2.0	49.906	1.0	36.224	0.272	0.939	20000.0
9	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
10	1.0	24.953	0.707	26.929	0.108	0.964	20000.0
11	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
12	2.0	49.905	1.414	49.992	0.346	0.862	20000.0
13	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
14	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
15	4.0	99.81	2.236	70.709	0.691	0.7	20000.0
16	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
17	2.0	49.906	1.0	40.825	0.345	0.91	20000.0
18	2.0	49.905	1.225	41.024	0.272	0.912	20000.0
19	2.0	49.906	1.0	40.825	0.215	0.91	20000.0
20	4.0	99.81	2.345	77.179	0.691	0.678	20000.0
21	3.0	74.859	1.732	62.74	0.453	0.783	20000.0
22	2.0	49.906	1.225	49.994	0.238	0.896	20000.0
23	2.0	49.907	1.225	55.63	0.346	0.829	20000.0
24	3.0	74.859	1.732	62.74	0.453	0.783	20000.0
25	1.0	24.953	0.707	26.929	0.108	0.964	20000.0
26	4.0	99.81	2.345	77.179	0.691	0.678	20000.0
27	2.0	49.905	1.225	41.024	0.272	0.912	20000.0
28	1.0	24.953	0.707	26.929	0.108	0.964	20000.0
29	2.0	49.906	1.225	49.994	0.238	0.896	20000.0
30	3.0	74.859	1.581	60.22	0.453	0.795	20000.0
31	3.0	74.86	1.414	57.726	0.453	0.809	20000.0
32	2.0	49.906	1.225	46.66	0.346	0.884	20000.0
33	4.0	99.812	1.871	71.267	0.691	0.694	20000.0
34	2.0	49.906	1.225	46.66	0.215	0.884	20000.0
35	3.0	74.86	1.414	60.346	0.453	0.809	20000.0
36	4.0	99.81	2.0	70.711	0.691	0.698	20000.0
37	2.0	49.906	1.225	46.66	0.346	0.884	20000.0
38	3.0	74.86	1.581	64.544	0.518	0.754	20000.0
39	2.0	49.906	1.225	46.66	0.346	0.884	20000.0
40	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
41	2.0	49.906	1.225	50.01	0.28	0.861	20000.0
42	3.0	74.859	1.732	62.74	0.453	0.783	20000.0
43	3.0	74.86	1.414	57.726	0.453	0.809	20000.0
44	3.0	74.857	2.121	60.049	0.38	0.805	20000.0
45	2.0	49.904	1.414	42.671	0.215	0.92	20000.0
46	3.0	74.858	1.871	59.166	0.411	0.802	20000.0
47	4.0	99.812	1.871	71.267	0.691	0.694	20000.0
48	3.0	74.86	1.414	57.726	0.453	0.809	20000.0
49	4.0	99.81	2.121	71.03	0.691	0.698	20000.0
50	4.0	99.81	2.121	71.03	0.691	0.698	20000.0
51	1.0	24.953	0.707	26.929	0.108	0.964	20000.0
52	4.0	99.81	2.236	70.709	0.691	0.7	20000.0
53	2.0	49.906	1.0	36.224	0.272	0.939	20000.0
54	4.0	99.81	2.345	77.179	0.691	0.678	20000.0
55	2.0	49.906	1.0	40.825	0.215	0.91	20000.0
56	1.0	24.953	0.707	25.61	0.099	0.974	20000.0
57	2.0	49.906	1.0	36.224	0.272	0.939	20000.0
58	4.0	99.812	1.871	71.267	0.691	0.694	20000.0
59	2.0	49.905	1.414	44.715	0.131	0.892	20000.0
60	3.0	74.859	1.581	60.22	0.453	0.795	30000.0
61	3.0	74.859	1.871	67.774	0.518	0.738	30000.0
62	2.0	49.906	1.225	46.66	0.346	0.884	20000.0
63	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
64	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
65	2.0	49.906	1.414	51.22	0.238	0.864	20000.0
66	3.0	74.86	1.414	57.726	0.453	0.809	20000.0
67	3.0	74.858	1.871	61.579	0.379	0.825	20000.0
68	3.0	74.859	1.581	60.22	0.453	0.795	20000.0
69	1.0	24.953	0.707	28.863	0.173	0.956	20000.0
70	3.0	74.859	1.871	67.774	0.518	0.738	30000.0
71	3.0	74.859	1.732	62.74	0.453	0.783	20000.0
72	4.0	99.812	1.871	71.267	0.691	0.694	20000.0
73	4.0	99.81	2.0	70.711	0.691	0.698	20000.0
74	1.0	24.953	0.707	23.676	0.034	0.972	20000.0
75	3.0	74.859	1.581	60.22	0.453	0.795	20000.0
76	3.0	74.858	1.871	61.579	0.379	0.825	20000.0
77	1.0	24.952	0.707	20.016	0.095	0.987	20000.0
78	3.0	74.859	1.871	67.774	0.518	0.738	20000.0
79	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
80	2.0	49.905	1.225	41.024	0.272	0.912	20000.0
81	3.0	74.859	1.581	57.27	0.411	0.824	20000.0
82	3.0	74.858	1.871	61.579	0.379	0.825	20000.0
