NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	8.143	113.095	3.21	71.174	1.208	0.597	20000.0
2	8.878	118.569	2.744	72.703	1.255	0.59	20000.0
3	6.579	91.891	2.715	62.926	0.713	0.754	20000.0
4	8.097	112.713	2.794	70.547	1.198	0.616	20000.0
5	8.349	104.807	3.135	71.142	0.927	0.658	20000.0
6	5.821	86.227	2.085	58.391	0.823	0.739	20000.0
7	7.982	107.967	3.32	68.955	0.938	0.652	20000.0
8	9.131	116.617	2.963	76.546	1.105	0.575	20000.0
9	8.143	109.394	3.121	73.53	1.003	0.634	20000.0
10	6.717	94.751	2.208	63.981	0.888	0.704	20000.0
11	7.866	99.466	2.622	64.363	0.743	0.788	40000.0
12	8.786	117.838	3.121	71.17	1.254	0.597	30000.0
13	7.798	100.909	3.019	71.355	0.928	0.658	30000.0
14	8.556	114.351	2.785	74.071	1.116	0.588	20000.0
15	9.752	121.214	3.372	77.392	1.123	0.567	20000.0
16	8.143	113.095	3.014	71.283	1.219	0.599	20000.0
17	8.717	109.72	3.263	73.235	0.892	0.671	30000.0
18	8.28	104.424	2.927	71.636	0.947	0.659	20000.0
19	6.947	98.405	2.331	63.26	0.923	0.686	20000.0
20	8.005	104.433	2.788	69.047	0.827	0.714	20000.0
21	7.545	98.948	2.73	66.964	0.897	0.688	30000.0
22	7.407	103.739	2.603	69.29	0.934	0.67	40000.0
23	7.154	100.0	2.385	69.379	0.948	0.653	20000.0
24	8.971	119.281	3.67	78.25	1.282	0.538	20000.0
25	7.085	103.364	2.73	63.936	1.012	0.669	30000.0
26	8.212	107.964	3.365	72.477	0.954	0.649	20000.0
27	6.763	89.225	2.633	63.709	0.827	0.736	20000.0
28	6.42	96.478	2.229	59.952	0.973	0.681	20000.0
29	8.878	114.848	3.322	78.173	1.065	0.596	20000.0
30	7.753	110.244	2.783	70.831	1.225	0.599	20000.0
31	9.705	116.979	3.291	76.165	1.062	0.605	20000.0
32	7.269	98.941	3.071	69.941	0.806	0.696	20000.0
33	9.338	114.317	3.303	74.551	0.937	0.663	20000.0
34	8.488	111.86	3.017	75.3	1.052	0.586	20000.0
35	7.706	104.061	2.554	67.859	0.981	0.657	20000.0
36	8.854	108.7	3.24	70.986	0.856	0.711	20000.0
