MutationType	ID83A	ID83B
1:Del:C:0	1.1348088200975326e-05	9.676528320596844e-06
1:Del:C:1	0.06291083377390749	0.07779248498602524
1:Del:C:2	0.26836220439094327	0.15164377958103334
1:Del:C:3	1.1348088200975326e-05	9.676528320596844e-06
1:Del:C:4	2.480409076982485e-06	0.22187734073194407
1:Del:C:5	6.8414380691210895e-06	0.07782852104414814
1:Del:T:0	1.1348088200975326e-05	9.676528320596844e-06
1:Del:T:1	1.1348088200975326e-05	9.676528320596844e-06
1:Del:T:2	0.06917680156298502	0.001148318535938006
1:Del:T:3	0.0671142576767761	0.001904219014173432
1:Del:T:4	1.1348088200975326e-05	9.676528320596844e-06
1:Del:T:5	1.1348088200975326e-05	9.676528320596844e-06
1:Ins:C:0	0.04957123569835872	0.0883497077198339
1:Ins:C:1	1.1348088200975326e-05	9.676528320596844e-06
1:Ins:C:2	8.346238887563064e-06	0.05077434755283321
1:Ins:C:3	1.1348088200975326e-05	9.676528320596844e-06
1:Ins:C:4	1.1348088200975326e-05	9.676528320596844e-06
1:Ins:C:5	1.1348088200975326e-05	9.676528320596844e-06
1:Ins:T:0	0.062000277472125165	0.000761886128682435
1:Ins:T:1	7.718679198718275e-06	0.06803752431112116
1:Ins:T:2	0.06916383010382106	0.0007776698364032944
1:Ins:T:3	1.1348088200975326e-05	9.676528320596844e-06
1:Ins:T:4	1.1348088200975326e-05	9.676528320596844e-06
1:Ins:T:5	1.1348088200975326e-05	9.676528320596844e-06
2:Del:R:0	0.07239253141233348	5.807661364684017e-06
2:Del:R:1	1.1348088200975326e-05	9.676528320596844e-06
2:Del:R:2	1.1348088200975326e-05	9.676528320596844e-06
2:Del:R:3	1.1348088200975326e-05	9.676528320596844e-06
2:Del:R:4	1.1348088200975326e-05	9.676528320596844e-06
2:Del:R:5	1.1348088200975326e-05	9.676528320596844e-06
3:Del:R:0	1.1348088200975326e-05	9.676528320596844e-06
3:Del:R:1	1.1348088200975326e-05	9.676528320596844e-06
3:Del:R:2	1.1348088200975326e-05	9.676528320596844e-06
3:Del:R:3	1.1348088200975326e-05	9.676528320596844e-06
3:Del:R:4	1.1348088200975326e-05	9.676528320596844e-06
3:Del:R:5	1.1348088200975326e-05	9.676528320596844e-06
4:Del:R:0	1.1348088200975326e-05	9.676528320596844e-06
4:Del:R:1	1.1348088200975326e-05	9.676528320596844e-06
4:Del:R:2	1.1348088200975326e-05	9.676528320596844e-06
4:Del:R:3	1.1348088200975326e-05	9.676528320596844e-06
4:Del:R:4	1.1348088200975326e-05	9.676528320596844e-06
4:Del:R:5	1.1348088200975326e-05	9.676528320596844e-06
5:Del:R:0	0.24791420899182412	0.07539884830799944
5:Del:R:1	1.1348088200975326e-05	9.676528320596844e-06
5:Del:R:2	1.1348088200975326e-05	9.676528320596844e-06
5:Del:R:3	1.1348088200975326e-05	9.676528320596844e-06
5:Del:R:4	1.1348088200975326e-05	9.676528320596844e-06
5:Del:R:5	1.1348088200975326e-05	9.676528320596844e-06
2:Ins:R:0	1.1348088200975326e-05	9.676528320596844e-06
2:Ins:R:1	1.1348088200975326e-05	9.676528320596844e-06
2:Ins:R:2	1.1348088200975326e-05	9.676528320596844e-06
2:Ins:R:3	1.1348088200975326e-05	9.676528320596844e-06
2:Ins:R:4	1.1348088200975326e-05	9.676528320596844e-06
2:Ins:R:5	1.1348088200975326e-05	9.676528320596844e-06
3:Ins:R:0	1.1348088200975326e-05	9.676528320596844e-06
3:Ins:R:1	1.1348088200975326e-05	9.676528320596844e-06
3:Ins:R:2	1.1348088200975326e-05	9.676528320596844e-06
3:Ins:R:3	1.1348088200975326e-05	9.676528320596844e-06
3:Ins:R:4	1.1348088200975326e-05	9.676528320596844e-06
3:Ins:R:5	1.1348088200975326e-05	9.676528320596844e-06
4:Ins:R:0	1.1348088200975326e-05	9.676528320596844e-06
4:Ins:R:1	1.1348088200975326e-05	9.676528320596844e-06
4:Ins:R:2	1.1348088200975326e-05	9.676528320596844e-06
4:Ins:R:3	1.1348088200975326e-05	9.676528320596844e-06
4:Ins:R:4	1.1348088200975326e-05	9.676528320596844e-06
4:Ins:R:5	1.1348088200975326e-05	9.676528320596844e-06
5:Ins:R:0	1.1348088200975326e-05	9.676528320596844e-06
5:Ins:R:1	7.588770062787939e-06	0.06911673918919405
5:Ins:R:2	1.1348088200975326e-05	9.676528320596844e-06
5:Ins:R:3	1.1348088200975326e-05	9.676528320596844e-06
5:Ins:R:4	1.1348088200975326e-05	9.676528320596844e-06
5:Ins:R:5	1.1348088200975326e-05	9.676528320596844e-06
2:Del:M:1	1.1348088200975326e-05	9.676528320596844e-06
3:Del:M:1	1.1348088200975326e-05	9.676528320596844e-06
3:Del:M:2	1.1348088200975326e-05	9.676528320596844e-06
4:Del:M:1	1.1348088200975326e-05	9.676528320596844e-06
4:Del:M:2	1.1348088200975326e-05	9.676528320596844e-06
4:Del:M:3	1.1348088200975326e-05	9.676528320596844e-06
5:Del:M:1	0.030593822179335133	0.030921916710619824
5:Del:M:2	1.1348088200975326e-05	9.676528320596844e-06
5:Del:M:3	6.668522768044457e-06	0.08301257103298212
5:Del:M:4	1.1348088200975326e-05	9.676528320596844e-06
5:Del:M:5	1.1348088200975326e-05	9.676528320596844e-06
