MutationType	ID83A	ID83B
1:Del:C:0	6.05E-07	2.65E-07
1:Del:C:1	6.21E-03	7.94E-03
1:Del:C:2	1.18E-02	1.08E-02
1:Del:C:3	6.05E-07	2.65E-07
1:Del:C:4	5.86E-07	1.19E-02
1:Del:C:5	6.32E-07	7.18E-03
1:Del:T:0	6.05E-07	2.65E-07
1:Del:T:1	6.05E-07	2.65E-07
1:Del:T:2	7.43E-03	8.53E-04
1:Del:T:3	6.71E-03	1.37E-03
1:Del:T:4	6.05E-07	2.65E-07
1:Del:T:5	6.05E-07	2.65E-07
1:Ins:C:0	5.32E-03	7.82E-03
1:Ins:C:1	6.05E-07	2.65E-07
1:Ins:C:2	7.06E-07	5.26E-03
1:Ins:C:3	6.05E-07	2.65E-07
1:Ins:C:4	6.05E-07	2.65E-07
1:Ins:C:5	6.05E-07	2.65E-07
1:Ins:T:0	5.93E-03	5.32E-04
1:Ins:T:1	6.30E-07	7.52E-03
1:Ins:T:2	6.40E-03	7.72E-04
1:Ins:T:3	6.05E-07	2.65E-07
1:Ins:T:4	6.05E-07	2.65E-07
1:Ins:T:5	6.05E-07	2.65E-07
2:Del:R:0	7.24E-03	3.79E-07
2:Del:R:1	6.05E-07	2.65E-07
2:Del:R:2	6.05E-07	2.65E-07
2:Del:R:3	6.05E-07	2.65E-07
2:Del:R:4	6.05E-07	2.65E-07
2:Del:R:5	6.05E-07	2.65E-07
3:Del:R:0	6.05E-07	2.65E-07
3:Del:R:1	6.05E-07	2.65E-07
3:Del:R:2	6.05E-07	2.65E-07
3:Del:R:3	6.05E-07	2.65E-07
3:Del:R:4	6.05E-07	2.65E-07
3:Del:R:5	6.05E-07	2.65E-07
4:Del:R:0	6.05E-07	2.65E-07
4:Del:R:1	6.05E-07	2.65E-07
4:Del:R:2	6.05E-07	2.65E-07
4:Del:R:3	6.05E-07	2.65E-07
4:Del:R:4	6.05E-07	2.65E-07
4:Del:R:5	6.05E-07	2.65E-07
5:Del:R:0	1.32E-02	8.32E-03
5:Del:R:1	6.05E-07	2.65E-07
5:Del:R:2	6.05E-07	2.65E-07
5:Del:R:3	6.05E-07	2.65E-07
5:Del:R:4	6.05E-07	2.65E-07
5:Del:R:5	6.05E-07	2.65E-07
2:Ins:R:0	6.05E-07	2.65E-07
2:Ins:R:1	6.05E-07	2.65E-07
2:Ins:R:2	6.05E-07	2.65E-07
2:Ins:R:3	6.05E-07	2.65E-07
2:Ins:R:4	6.05E-07	2.65E-07
2:Ins:R:5	6.05E-07	2.65E-07
3:Ins:R:0	6.05E-07	2.65E-07
3:Ins:R:1	6.05E-07	2.65E-07
3:Ins:R:2	6.05E-07	2.65E-07
3:Ins:R:3	6.05E-07	2.65E-07
3:Ins:R:4	6.05E-07	2.65E-07
3:Ins:R:5	6.05E-07	2.65E-07
4:Ins:R:0	6.05E-07	2.65E-07
4:Ins:R:1	6.05E-07	2.65E-07
4:Ins:R:2	6.05E-07	2.65E-07
4:Ins:R:3	6.05E-07	2.65E-07
4:Ins:R:4	6.05E-07	2.65E-07
4:Ins:R:5	6.05E-07	2.65E-07
5:Ins:R:0	6.05E-07	2.65E-07
5:Ins:R:1	7.27E-07	6.55E-03
5:Ins:R:2	6.05E-07	2.65E-07
5:Ins:R:3	6.05E-07	2.65E-07
5:Ins:R:4	6.05E-07	2.65E-07
5:Ins:R:5	6.05E-07	2.65E-07
2:Del:M:1	6.05E-07	2.65E-07
3:Del:M:1	6.05E-07	2.65E-07
3:Del:M:2	6.05E-07	2.65E-07
4:Del:M:1	6.05E-07	2.65E-07
4:Del:M:2	6.05E-07	2.65E-07
4:Del:M:3	6.05E-07	2.65E-07
5:Del:M:1	6.17E-03	4.70E-03
5:Del:M:2	6.05E-07	2.65E-07
5:Del:M:3	6.12E-07	7.40E-03
5:Del:M:4	6.05E-07	2.65E-07
5:Del:M:5	6.05E-07	2.65E-07
