MutationType	ID83A
1:Del:C:0	0.00001034
1:Del:C:1	0.07029396
1:Del:C:2	0.21396905
1:Del:C:3	0.00001034
1:Del:C:4	0.10543907
1:Del:C:5	0.03687479
1:Del:T:0	0.00001034
1:Del:T:1	0.00001034
1:Del:T:2	0.03756392
1:Del:T:3	0.03687492
1:Del:T:4	0.00001034
1:Del:T:5	0.00001034
1:Ins:C:0	0.06788212
1:Ins:C:1	0.00001034
1:Ins:C:2	0.02412689
1:Ins:C:3	0.00001034
1:Ins:C:4	0.00001034
1:Ins:C:5	0.00001034
1:Ins:T:0	0.03308478
1:Ins:T:1	0.03239594
1:Ins:T:2	0.03687486
1:Ins:T:3	0.00001034
1:Ins:T:4	0.00001034
1:Ins:T:5	0.00001034
2:Del:R:0	0.03790851
2:Del:R:1	0.00001034
2:Del:R:2	0.00001034
2:Del:R:3	0.00001034
2:Del:R:4	0.00001034
2:Del:R:5	0.00001034
3:Del:R:0	0.00001034
3:Del:R:1	0.00001034
3:Del:R:2	0.00001034
3:Del:R:3	0.00001034
3:Del:R:4	0.00001034
3:Del:R:5	0.00001034
4:Del:R:0	0.00001034
4:Del:R:1	0.00001034
4:Del:R:2	0.00001034
4:Del:R:3	0.00001034
4:Del:R:4	0.00001034
4:Del:R:5	0.00001034
5:Del:R:0	0.16366338
5:Del:R:1	0.00001034
5:Del:R:2	0.00001034
5:Del:R:3	0.00001034
5:Del:R:4	0.00001034
5:Del:R:5	0.00001034
2:Ins:R:0	0.00001034
2:Ins:R:1	0.00001034
2:Ins:R:2	0.00001034
2:Ins:R:3	0.00001034
2:Ins:R:4	0.00001034
2:Ins:R:5	0.00001034
3:Ins:R:0	0.00001034
3:Ins:R:1	0.00001034
3:Ins:R:2	0.00001034
3:Ins:R:3	0.00001034
3:Ins:R:4	0.00001034
3:Ins:R:5	0.00001034
4:Ins:R:0	0.00001034
4:Ins:R:1	0.00001034
4:Ins:R:2	0.00001034
4:Ins:R:3	0.00001034
4:Ins:R:4	0.00001034
4:Ins:R:5	0.00001034
5:Ins:R:0	0.00001034
5:Ins:R:1	0.03274042
5:Ins:R:2	0.00001034
5:Ins:R:3	0.00001034
5:Ins:R:4	0.00001034
5:Ins:R:5	0.00001034
2:Del:M:1	0.00001034
3:Del:M:1	0.00001034
3:Del:M:2	0.00001034
4:Del:M:1	0.00001034
4:Del:M:2	0.00001034
4:Del:M:3	0.00001034
5:Del:M:1	0.03032834
5:Del:M:2	0.00001034
5:Del:M:3	0.03928652
5:Del:M:4	0.00001034
5:Del:M:5	0.00001034
