NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	53.143	48.765	11.136	36.416	0.404	0.796	20000.0
2	52.207	48.255	10.38	37.867	0.401	0.769	40000.0
3	56.813	52.476	10.603	38.2	0.433	0.765	20000.0
4	56.398	52.438	11.873	37.371	0.417	0.801	30000.0
5	57.341	53.315	10.417	37.323	0.443	0.784	20000.0
6	49.935	45.821	9.35	34.044	0.359	0.811	30000.0
7	54.54	50.473	10.297	38.254	0.392	0.759	20000.0
8	52.496	48.172	11.138	36.214	0.392	0.805	20000.0
9	55.666	51.08	9.389	36.199	0.425	0.769	20000.0
10	92.665	28.23	15.289	26.223	0.092	0.941	40000.0
11	85.465	34.214	14.977	32.519	0.128	0.922	30000.0
12	76.447	50.951	13.69	38.603	0.328	0.857	20000.0
13	52.952	49.234	9.754	36.812	0.393	0.773	20000.0
14	51.617	47.993	8.44	35.151	0.401	0.785	20000.0
15	55.557	50.98	9.989	36.589	0.409	0.77	20000.0
16	52.782	48.434	10.566	36.261	0.398	0.785	30000.0
17	55.096	50.557	11.764	37.485	0.433	0.787	20000.0
18	90.941	28.703	15.272	27.325	0.078	0.941	20000.0
19	55.122	51.153	10.249	36.625	0.414	0.792	30000.0
20	51.591	47.341	10.705	36.761	0.387	0.776	30000.0
21	53.469	49.065	9.334	37.799	0.431	0.736	30000.0
22	93.658	39.227	16.143	38.611	0.15	0.894	30000.0
23	53.007	49.238	11.3	37.125	0.406	0.818	20000.0
24	48.241	44.267	10.361	34.928	0.364	0.809	30000.0
25	54.007	49.558	9.717	35.415	0.393	0.79	20000.0
26	53.469	49.713	10.279	35.846	0.389	0.812	20000.0
27	53.341	49.596	10.195	37.253	0.402	0.773	40000.0
28	87.475	46.263	15.451	40.053	0.249	0.867	20000.0
29	94.177	41.858	16.559	40.538	0.159	0.881	20000.0
30	51.887	47.977	10.242	37.488	0.371	0.775	30000.0
31	56.234	52.093	11.599	39.25	0.436	0.767	30000.0
32	52.171	47.873	9.888	36.561	0.396	0.769	20000.0
33	84.155	50.018	14.369	40.626	0.297	0.83	40000.0
34	53.108	48.733	9.877	34.76	0.393	0.811	30000.0
35	52.893	48.533	10.074	35.547	0.387	0.794	20000.0
36	56.601	52.367	11.4	39.48	0.44	0.75	30000.0
37	50.799	46.614	9.058	34.682	0.363	0.795	30000.0
38	86.643	25.253	13.25	22.752	0.082	0.949	30000.0
39	49.646	45.556	9.247	33.286	0.351	0.832	40000.0
40	57.981	53.64	11.41	40.719	0.468	0.726	20000.0
41	53.081	48.859	11.215	37.771	0.404	0.786	20000.0
42	88.763	26.027	14.392	25.06	0.085	0.939	20000.0
43	57.898	50.094	10.434	38.236	0.417	0.767	40000.0
44	95.625	51.298	15.812	40.029	0.265	0.874	20000.0
45	54.334	49.858	9.548	36.67	0.403	0.761	30000.0
46	49.646	45.557	9.092	34.049	0.355	0.811	30000.0
47	57.118	52.951	11.971	39.814	0.442	0.763	20000.0
48	51.734	48.04	11.556	37.965	0.391	0.802	20000.0
49	83.71	21.795	12.811	20.407	0.081	0.947	30000.0
50	54.071	50.046	11.29	39.2	0.412	0.758	20000.0
51	54.416	49.934	10.237	35.871	0.401	0.794	40000.0
52	53.144	48.766	10.47	37.068	0.42	0.766	30000.0
53	72.471	50.981	12.466	39.722	0.348	0.795	30000.0
54	55.239	50.876	11.047	38.205	0.438	0.77	40000.0
55	55.86	51.688	11.584	39.85	0.449	0.755	30000.0
56	52.829	48.968	10.496	38.011	0.4	0.771	20000.0
57	50.946	46.749	10.599	35.572	0.398	0.807	40000.0
58	82.871	53.49	14.748	41.04	0.342	0.819	20000.0
59	54.468	50.548	11.074	37.0	0.401	0.804	20000.0
60	65.632	47.606	11.383	36.563	0.337	0.829	20000.0
61	56.071	51.869	10.915	39.575	0.455	0.746	30000.0
62	51.956	47.675	9.226	34.806	0.388	0.794	40000.0
63	55.955	51.346	11.267	38.223	0.434	0.756	20000.0
64	56.881	52.887	10.945	38.675	0.447	0.758	40000.0
65	96.799	40.183	16.534	39.337	0.155	0.89	30000.0
66	56.041	52.107	11.179	38.519	0.454	0.763	30000.0
67	46.436	42.611	8.183	32.655	0.325	0.819	40000.0
68	80.002	35.94	14.857	34.956	0.15	0.912	20000.0
69	56.204	52.074	10.175	38.289	0.432	0.756	20000.0
70	51.411	47.176	10.49	35.716	0.372	0.796	30000.0
71	63.308	51.522	10.552	36.295	0.377	0.82	40000.0
72	47.422	44.092	9.091	34.021	0.37	0.823	20000.0
73	50.537	46.988	12.022	37.295	0.397	0.809	30000.0
74	44.418	40.758	8.407	32.302	0.301	0.829	20000.0
75	52.712	48.368	10.376	34.686	0.375	0.824	20000.0
76	58.593	46.904	12.028	36.731	0.346	0.822	20000.0
77	53.251	49.108	10.034	37.875	0.401	0.755	30000.0
78	53.349	49.426	8.86	37.155	0.409	0.755	40000.0
79	51.772	47.507	10.047	35.771	0.381	0.79	40000.0
80	52.237	48.57	10.167	36.279	0.4	0.796	20000.0
81	53.574	49.161	9.577	35.932	0.389	0.782	20000.0
82	52.152	48.008	9.162	35.908	0.402	0.78	20000.0
83	52.421	48.103	9.211	34.814	0.38	0.797	40000.0
84	50.836	46.649	8.921	34.328	0.36	0.799	20000.0
85	48.712	44.695	9.543	34.727	0.363	0.803	20000.0
86	53.272	49.532	8.993	36.27	0.412	0.772	30000.0
87	48.133	44.169	8.605	34.34	0.334	0.794	20000.0
88	94.999	47.905	16.445	41.33	0.232	0.865	20000.0
89	87.441	38.47	14.835	34.692	0.16	0.908	30000.0
90	92.809	39.286	15.86	36.908	0.151	0.903	20000.0
91	59.715	50.76	11.881	38.105	0.403	0.784	20000.0
92	54.983	50.453	10.055	36.072	0.412	0.781	40000.0
93	69.537	50.274	14.224	40.492	0.354	0.814	20000.0
94	50.476	46.317	9.544	35.49	0.37	0.786	20000.0
95	54.238	50.264	10.196	38.245	0.399	0.755	30000.0
96	49.536	45.456	10.325	35.402	0.367	0.804	20000.0
97	83.066	32.43	14.566	31.14	0.11	0.937	30000.0
98	52.854	48.499	9.399	34.754	0.375	0.799	20000.0
99	55.191	51.119	10.854	37.212	0.417	0.799	20000.0
100	88.301	38.475	15.116	34.477	0.177	0.911	20000.0
