Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E
TCGA_44_A479_01A	3.93E-01	1.24E-01	3.66E-01	2.61E-01	5.84E-02
TCGA_49_AARE_01A	5.15E-01	6.10E-01	2.11E-01	2.69E-01	3.30E-01
TCGA_49_AARN_01A	1.70E-01	3.28E-01	1.68E-01	1.94E-01	2.46E-01
TCGA_49_AARO_01A	5.70E-01	3.87E-01	5.18E-01	3.97E-01	5.37E-02
TCGA_49_AARQ_01A	4.93E-01	4.67E-01	2.63E-01	4.56E-01	3.35E-01
TCGA_4B_A93V_01A	1.21E-01	6.42E-02	1.40E-01	8.80E-02	4.19E-02
TCGA_55_7913_01B	2.21E-01	1.29E-01	1.11E-01	1.83E-01	1.19E-01
TCGA_55_8508_01A	2.45E-01	2.84E-01	1.23E-01	2.62E-01	1.02E-01
TCGA_55_8514_01A	7.66E-02	7.04E-02	9.40E-02	1.00E-02	1.36E-01
TCGA_69_A59K_01A	3.14E-01	1.39E-01	3.44E-01	3.68E-01	9.11E-02
TCGA_86_7714_01A	4.29E-02	3.59E-02	2.73E-02	1.00E-02	0.00E+00
TCGA_99_8025_01A	2.44E-01	1.67E-01	2.70E-01	2.63E-01	1.35E-01
TCGA_99_8028_01A	2.85E-01	2.39E-01	2.38E-01	7.00E-02	3.83E-02
TCGA_99_AA5R_01A	8.45E-02	6.38E-02	8.59E-02	8.70E-02	5.57E-02
TCGA_L9_A5IP_01A	1.43E-01	1.84E-01	8.37E-02	1.18E-01	1.18E-01
TCGA_L9_A8F4_01A	4.30E-01	5.06E-02	5.13E-01	4.43E-01	1.68E-01
TCGA_NJ_A4YF_01A	2.14E-01	1.85E-01	2.95E-01	3.54E-01	2.88E-01
TCGA_S2_AA1A_01A	1.75E-01	1.10E-01	2.08E-01	1.66E-01	6.94E-02
