MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F
AC>CA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AC>CG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AC>CT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AC>GA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AC>GG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AC>GT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AC>TA	0.002942103154329061	0.024481331167602604	0.006530534317773024	1.1420930562539774e-05	0.003579710514617896	0.01616335414426885
AC>TG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AC>TT	0.002190600219545331	0.00041396399363293314	0.007851656408636245	0.012047255893431839	0.01197448550445415	0.014467555590877056
AT>CA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AT>CC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AT>CG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AT>GA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AT>GC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
AT>TA	0.0025462173460337567	0.005357248984545878	0.01280858778845414	0.0056051704823090135	0.020093490137558217	0.018798469147204743
CC>AA	0.8023270171880722	0.33613338144917065	0.45301000252366064	0.25510042777923353	0.21424878658260632	0.016385896398664078
CC>AG	0.018209392477096128	0.32954633585733745	0.020057255435858536	0.0031098504306876456	0.02505774700192519	0.043094106688769694
CC>AT	0.016991179351010223	0.005257339811785078	0.03242446749437708	0.3570486505399712	0.041479567853593	0.0019861691287191264
CC>GA	0.009874367118516397	0.022933239291104975	0.019785344894384035	0.010798470501883864	0.019493463378240043	0.02524996248841944
CC>GG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CC>GT	0.00227008754565972	0.008190397117082283	0.02464080334767914	0.0010850036808070574	0.004692926241701557	0.010750109519681245
CC>TA	0.00973605546407839	0.008260364564917713	0.018075067096750674	0.033839719670976605	0.01633864884511149	0.0072930999837891265
CC>TG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CC>TT	0.0029524958704484137	0.046402513116055005	0.024150493144890976	0.006868121870391176	0.019179022707051595	0.2917269500351085
CG>AT	0.001552530923706355	0.02013810278742122	0.009931239970761112	0.005462715017500841	0.02489031992244861	0.008567428251667177
CG>GC	8.596797067639273e-06	0.005041234058437946	8.87982231637259e-06	0.003918921285315946	1.2138889987345252e-05	0.08654645574752977
CG>GT	0.003431747186173948	0.006636254212138237	0.012340758325826253	0.025529102245388912	0.022811764823939196	0.006690804177817596
CG>TA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CG>TC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CG>TT	0.014282009040017545	0.010505632365302678	0.08557481530963945	0.05725798735796188	0.05227662308552796	0.023436957720605067
CT>AA	0.02581580344192775	0.0009485212091386418	0.03349864510624174	0.04068408477307587	0.12319577098851191	0.006395948517021514
CT>AC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CT>AG	0.005806041665323717	0.03688346282866015	0.016242608477077904	0.007115995778918471	0.059527783055751356	0.015686282247272695
CT>GA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CT>GC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CT>GG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CT>TA	0.005346164756198067	0.021757220480648473	0.004046278529466133	0.005564899505999036	0.0029519014938818792	0.09923350518809002
CT>TC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
CT>TG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
GC>AA	0.009284494217176888	0.04721373227603299	0.02581276779299085	0.02677384420500167	0.0705715919094817	0.06908285209441953
GC>AG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
GC>AT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
GC>CA	0.0037089901570254826	9.86377981462283e-06	0.006614853537584481	0.01608382863702502	0.010248435269110132	0.006529596489504002
GC>CG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
GC>TA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TA>AT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TA>CG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TA>CT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TA>GC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TA>GG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TA>GT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TC>AA	0.00673805672787143	0.01023347228838663	0.03607389062602656	0.013377392621097842	0.02047162054112967	0.010077514217545045
TC>AG	0.0029260159213275474	0.00891017331486637	0.019726546859365045	0.0011929293070849045	0.005589029723440005	0.014516848589335041
TC>AT	0.007237658857153804	0.0018293845929296282	0.01618034854694372	0.0023590921032166532	0.023160496788891923	0.015601956855039133
TC>CA	0.005206097550437823	0.01528231627745356	0.012264730277952189	0.004085395432493897	0.01623887949527493	0.005318090563207534
TC>CG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TC>CT	0.014227595239579761	0.0020029599220902387	0.013371983096066012	0.014478579665406919	0.009485775214266284	0.007102063417889894
TC>GA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TC>GG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TC>GT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TG>AA	0.002204670451933354	0.004837475827646994	0.010887291726918722	0.02898513221194143	0.08302880480869596	0.019431481657903954
TG>AC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TG>AT	0.0016409163080182364	0.004861307502417883	0.030138392474594232	0.00910838878805653	0.0151506695425434	0.1295481277189424
TG>CA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TG>CC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TG>CT	0.01261304691613581	0.012631824489223113	0.04246297007203147	0.044008016050290165	0.07018772076931484	0.027990776860623647
TG>GA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TG>GC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TG>GT	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TT>AA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TT>AC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TT>AG	0.0072134072679818926	0.0027037772214384857	0.0049151289690814795	0.007778065004740799	0.013284482288538584	0.001549596601421399
TT>CA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TT>CC	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TT>CG	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TT>GA	1.433306078070018e-05	1.194320900594903e-05	1.1473008125904016e-05	1.44302272292407e-05	1.556685756895604e-05	1.5560566962449228e-05
TT>GC	1.4333060680655763e-05	1.194320899116974e-05	1.1473008103166648e-05	1.4430227361117432e-05	1.5566857514386355e-05	1.556056693516439e-05
TT>GG	1.4333060680655763e-05	1.194320899116974e-05	1.1473008103166648e-05	1.4430227361117432e-05	1.5566857514386355e-05	1.556056693516439e-05
