Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_A479_01A	9	0.979	5.613	62.367%	1.806	28.919%	0.488	0.979
TCGA_49_AARE_01A	14	0.979	7.45	53.214%	1.896	24.079%	0.3735	0.979
TCGA_49_AARN_01A	8	0.943	4.839	60.488%	1.573	37.076%	0.42787	0.941
TCGA_49_AARO_01A	15	0.98	9.078	60.52%	2.623	28.122%	0.43393	0.981
TCGA_49_AARQ_01A	13	0.973	5.979	45.992%	1.526	23.271%	0.3125	0.972
TCGA_4B_A93V_01A	3	0.833	2.427	80.9%	0.98	56.58%	0.87277	0.826
TCGA_55_7913_01B	5	0.934	4.211	84.22%	1.398	42.151%	0.72794	0.934
TCGA_55_8508_01A	7	0.948	3.759	53.7%	1.156	32.062%	0.44097	0.945
TCGA_55_8514_01A	5	0.97	2.995	59.9%	0.875	33.072%	0.36846	0.971
TCGA_69_A59K_01A	9	0.961	5.267	58.522%	1.409	30.747%	0.4555	0.96
TCGA_86_7714_01A	1	0.983	0.781	78.1%	0.407	40.7%	0.49493	0.985
TCGA_99_8025_01A	7	0.921	4.455	63.643%	1.405	38.968%	0.61589	0.917
TCGA_99_8028_01A	7	0.981	4.899	69.986%	1.745	33.583%	0.44595	0.982
TCGA_99_AA5R_01A	2	0.719	2.159	107.95%	0.989	69.933%	1.33471	0.711
TCGA_L9_A5IP_01A	4	0.766	3.431	85.775%	1.317	65.85%	0.91394	0.752
TCGA_L9_A8F4_01A	13	0.981	6.057	46.592%	1.619	24.135%	0.32464	0.981
TCGA_NJ_A4YF_01A	9	0.926	6.049	67.211%	1.566	40.434%	0.52207	0.921
TCGA_S2_AA1A_01A	5	0.904	3.706	74.12%	1.193	45.091%	0.64827	0.9
