Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I
TCGA_44_A479_01A	3.63E-01	3.37E-01	9.61E-02	0.00E+00	2.24E-01	1.24E-01	2.90E-01	8.00E-02	5.00E-02
TCGA_49_AARE_01A	3.55E-01	0.00E+00	2.00E-02	5.89E-01	1.00E-02	4.11E-02	6.01E-01	3.25E-01	2.01E-01
TCGA_49_AARN_01A	1.45E-01	7.59E-02	5.00E-02	3.00E-01	2.00E-02	3.02E-01	1.39E-01	3.00E-02	1.06E-01
TCGA_49_AARO_01A	4.81E-01	2.72E-01	4.08E-01	2.80E-01	2.68E-01	2.39E-01	5.01E-01	3.02E-01	6.00E-02
TCGA_49_AARQ_01A	3.55E-01	5.37E-01	8.00E-02	3.75E-01	1.30E-01	2.93E-01	5.19E-01	1.82E-01	2.44E-01
TCGA_4B_A93V_01A	1.07E-01	5.37E-02	4.19E-02	4.19E-02	1.34E-01	6.82E-02	6.47E-02	6.62E-02	2.81E-02
TCGA_55_7913_01B	2.03E-01	5.70E-02	2.26E-01	3.00E-02	5.80E-02	8.95E-02	1.03E-01	3.43E-02	5.34E-02
TCGA_55_8508_01A	1.82E-01	0.00E+00	1.27E-01	2.53E-01	0.00E+00	7.00E-02	1.05E-01	2.85E-01	2.23E-02
TCGA_55_8514_01A	0.00E+00	0.00E+00	2.00E-02	3.59E-02	0.00E+00	5.09E-02	0.00E+00	3.15E-02	7.11E-02
TCGA_69_A59K_01A	2.17E-01	3.21E-01	3.24E-01	3.00E-02	2.55E-01	1.20E-01	2.23E-01	1.96E-01	3.00E-02
TCGA_86_7714_01A	3.02E-02	1.97E-02	1.00E-02	1.71E-02	0.00E+00	1.00E-02	1.00E-02	0.00E+00	0.00E+00
TCGA_99_8025_01A	1.90E-01	2.94E-01	1.20E-01	7.00E-02	2.32E-01	1.00E-01	1.52E-01	5.63E-02	6.61E-02
TCGA_99_8028_01A	2.48E-01	5.80E-02	7.00E-02	1.97E-01	1.81E-01	9.17E-02	1.16E-01	0.00E+00	0.00E+00
TCGA_99_AA5R_01A	8.06E-02	4.77E-02	7.44E-02	4.77E-02	5.39E-02	6.86E-02	4.38E-02	4.64E-02	4.42E-02
TCGA_L9_A5IP_01A	1.03E-01	4.11E-02	2.81E-02	1.54E-01	3.00E-02	7.48E-02	5.34E-02	1.82E-01	8.06E-02
TCGA_L9_A8F4_01A	3.14E-01	3.51E-01	4.23E-01	3.00E-02	4.06E-01	4.28E-01	2.33E-01	3.15E-02	5.14E-02
TCGA_NJ_A4YF_01A	1.62E-01	1.60E-01	6.08E-02	9.18E-02	1.92E-01	3.52E-01	2.34E-01	1.90E-01	2.11E-01
TCGA_S2_AA1A_01A	1.22E-01	6.61E-02	1.85E-01	6.56E-02	1.90E-01	9.49E-02	1.06E-01	7.52E-02	2.43E-02
