NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	1.675	27.814	0.868	21.98	0.167	0.959	50000.0
2	1.933	31.361	0.957	25.62	0.182	0.944	20000.0
3	2.744	37.169	1.325	31.316	0.23	0.916	30000.0
4	2.362	37.538	1.129	28.084	0.222	0.944	30000.0
5	2.37	36.196	1.251	31.796	0.254	0.914	30000.0
6	2.391	41.415	1.258	35.52	0.343	0.894	80000.0
7	1.88	26.832	0.959	22.728	0.133	0.963	20000.0
8	3.085	51.087	1.581	40.993	0.309	0.884	40000.0
9	2.035	35.664	1.012	26.677	0.292	0.917	40000.0
10	2.495	35.935	1.247	27.262	0.206	0.96	40000.0
11	2.74	46.549	1.376	37.914	0.27	0.891	30000.0
12	1.888	32.592	1.04	29.102	0.215	0.918	20000.0
13	1.929	28.476	0.98	22.184	0.193	0.956	20000.0
14	2.311	35.308	1.182	30.205	0.252	0.924	30000.0
15	2.259	36.87	1.031	28.736	0.255	0.919	30000.0
16	2.785	39.241	1.298	30.6	0.243	0.924	20000.0
17	2.297	36.024	1.199	29.484	0.203	0.944	20000.0
18	2.321	40.572	1.263	32.72	0.251	0.917	20000.0
19	2.79	40.94	1.412	32.669	0.258	0.934	20000.0
20	1.874	28.018	0.933	22.508	0.182	0.967	80000.0
21	2.184	35.028	1.049	28.307	0.23	0.94	20000.0
22	2.284	35.269	1.181	29.41	0.21	0.932	100000.0
23	1.845	30.311	0.895	23.793	0.21	0.952	50000.0
24	1.919	32.49	0.956	26.191	0.214	0.948	20000.0
25	2.853	39.184	1.389	33.927	0.259	0.913	40000.0
26	2.688	40.831	1.299	33.003	0.274	0.917	20000.0
27	2.664	42.116	1.337	34.48	0.298	0.898	210000.0
28	2.633	40.007	1.303	31.152	0.254	0.93	20000.0
29	2.081	36.068	1.09	27.234	0.252	0.918	120000.0
30	2.557	40.001	1.31	31.694	0.249	0.915	20000.0
31	2.03	30.001	1.022	24.506	0.165	0.952	30000.0
32	1.642	22.996	0.766	19.612	0.135	0.962	70000.0
33	2.16	30.878	1.138	26.001	0.192	0.945	30000.0
34	2.261	30.925	1.088	26.133	0.19	0.944	20000.0
35	3.163	49.49	1.525	38.117	0.308	0.895	20000.0
36	2.864	37.322	1.328	30.855	0.221	0.928	70000.0
37	2.358	38.519	1.227	32.761	0.298	0.901	160000.0
38	1.888	30.495	0.966	23.313	0.189	0.953	30000.0
39	3.2	51.071	1.58	38.272	0.372	0.881	40000.0
40	1.995	34.493	0.979	26.685	0.217	0.945	30000.0
41	1.841	28.189	0.93	22.395	0.182	0.952	40000.0
42	1.361	21.293	0.698	16.44	0.138	0.969	40000.0
43	2.214	37.56	1.112	27.919	0.256	0.931	40000.0
44	1.888	30.601	0.929	24.105	0.247	0.926	160000.0
45	2.933	49.431	1.422	38.056	0.33	0.88	20000.0
46	2.453	44.584	1.236	34.149	0.342	0.886	50000.0
47	1.846	32.199	0.964	26.731	0.197	0.947	20000.0
48	2.176	34.433	1.122	29.349	0.211	0.922	20000.0
49	3.102	53.587	1.433	39.365	0.352	0.892	30000.0
50	2.156	34.215	1.025	25.972	0.199	0.954	20000.0
51	2.785	37.916	1.29	30.282	0.239	0.924	20000.0
52	1.992	30.896	0.958	25.883	0.216	0.94	40000.0
53	1.926	29.676	0.844	22.204	0.193	0.959	30000.0
54	1.571	23.538	0.773	19.861	0.122	0.972	20000.0
55	3.167	53.511	1.542	39.034	0.39	0.872	200000.0
56	1.919	28.659	0.92	23.479	0.154	0.957	50000.0
57	2.083	35.137	1.063	28.32	0.222	0.926	30000.0
58	2.655	39.873	1.335	30.788	0.273	0.922	50000.0
59	3.032	42.834	1.442	35.683	0.284	0.896	30000.0
60	2.923	46.14	1.374	33.73	0.321	0.899	20000.0
61	2.566	34.792	1.204	28.85	0.185	0.948	30000.0
62	1.975	31.576	0.982	24.635	0.194	0.941	30000.0
63	1.973	32.932	1.046	26.739	0.166	0.951	20000.0
64	2.927	52.852	1.424	40.406	0.355	0.884	20000.0
65	1.687	23.606	0.86	18.55	0.156	0.963	50000.0
66	2.52	43.851	1.172	33.507	0.274	0.918	20000.0
67	2.94	49.068	1.413	35.988	0.331	0.884	30000.0
68	2.195	34.698	1.066	26.975	0.203	0.931	20000.0
69	2.176	30.28	1.025	25.18	0.197	0.947	20000.0
70	2.7	43.632	1.256	31.057	0.268	0.921	20000.0
71	2.352	35.364	1.085	26.339	0.216	0.939	20000.0
72	2.729	45.456	1.321	35.698	0.273	0.916	30000.0
73	1.838	33.784	1.041	26.941	0.216	0.924	30000.0
74	2.666	39.215	1.382	32.443	0.224	0.936	40000.0
75	2.379	36.337	1.19	29.209	0.213	0.935	20000.0
76	1.992	34.285	0.993	27.616	0.244	0.931	180000.0
77	1.937	30.738	0.969	24.386	0.225	0.92	140000.0
78	2.242	33.331	1.172	26.295	0.19	0.953	30000.0
79	1.772	29.596	0.858	23.356	0.196	0.958	30000.0
80	2.182	31.603	1.131	27.023	0.217	0.942	120000.0
81	2.233	37.89	1.077	29.794	0.268	0.929	30000.0
82	2.182	34.774	1.048	29.238	0.218	0.931	20000.0
83	3.184	52.464	1.491	37.653	0.357	0.888	30000.0
84	2.151	34.347	1.142	29.533	0.254	0.921	40000.0
85	2.122	32.656	1.104	25.598	0.243	0.916	20000.0
86	1.904	28.057	1.013	23.902	0.11	0.966	20000.0
87	2.581	38.4	1.184	29.337	0.228	0.929	30000.0
88	2.145	31.697	1.05	26.247	0.205	0.948	20000.0
89	1.607	25.353	0.857	20.517	0.154	0.959	100000.0
90	2.71	48.037	1.354	37.121	0.325	0.883	40000.0
91	3.08	54.663	1.414	40.259	0.384	0.872	20000.0
92	2.565	38.926	1.231	29.728	0.254	0.931	20000.0
93	2.15	34.802	1.011	27.188	0.242	0.936	40000.0
94	1.8	30.964	0.94	25.635	0.183	0.947	20000.0
95	2.658	44.118	1.288	33.939	0.29	0.911	30000.0
96	2.369	32.037	1.202	27.764	0.2	0.941	20000.0
97	2.4	40.834	1.138	30.737	0.283	0.911	30000.0
98	2.527	34.427	1.187	28.291	0.187	0.942	30000.0
99	2.501	36.838	1.278	33.356	0.267	0.913	110000.0
100	1.969	30.829	1.007	24.239	0.222	0.948	230000.0
