Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_A479_01A	9	0.97	4.037	44.856%	1.613	25.829%	0.6749	0.969
TCGA_49_AARE_01A	14	0.917	11.336	80.971%	4.384	55.677%	3.31042	0.916
TCGA_49_AARN_01A	8	0.746	8.757	109.462%	3.914	92.254%	5.77847	0.739
TCGA_49_AARO_01A	15	0.979	7.324	48.827%	2.683	28.765%	0.73817	0.979
TCGA_49_AARQ_01A	13	0.919	11.781	90.623%	4.371	66.657%	4.18777	0.919
TCGA_4B_A93V_01A	3	0.66	3.304	110.133%	1.679	96.937%	1.15548	0.65
TCGA_55_7913_01B	5	0.892	3.968	79.36%	1.659	50.021%	8.39136	0.89
TCGA_55_8508_01A	7	0.849	6.923	98.9%	2.824	78.324%	1.96493	0.845
TCGA_55_8514_01A	5	0.004	9.919	198.38%	4.518	170.764%	18.47676	-0.03
TCGA_69_A59K_01A	9	0.893	7.965	88.5%	3.253	70.986%	1.43263	0.892
TCGA_86_7714_01A	1	0.985	0.553	55.3%	0.304	30.4%	0.32348	0.986
TCGA_99_8025_01A	7	0.861	6.482	92.6%	2.745	76.133%	1.61118	0.858
TCGA_99_8028_01A	7	0.993	1.585	22.643%	0.613	11.797%	0.13852	0.993
TCGA_99_AA5R_01A	2	0.699	1.988	99.4%	1.119	79.125%	2.37569	0.692
TCGA_L9_A5IP_01A	4	0.543	5.405	135.125%	2.5	125.0%	2.89471	0.528
TCGA_L9_A8F4_01A	13	0.926	10.883	83.715%	4.196	62.55%	1.01246	0.925
TCGA_NJ_A4YF_01A	9	0.803	9.967	110.744%	4.196	108.34%	5.66642	0.8
TCGA_S2_AA1A_01A	5	0.807	4.791	95.82%	2.193	82.888%	1.21135	0.802
