Samples	ID83A	ID83B
TCGA_44_5645_01A	9.74E-02	9.74E-02
TCGA_44_A479_01A	5.41E-01	5.41E-01
TCGA_49_4510_01A	1.96E-01	1.96E-01
TCGA_49_AARE_01A	2.36E+00	2.36E+00
TCGA_49_AARN_01A	8.93E-01	8.93E-01
TCGA_49_AARO_01A	3.21E-01	3.21E-01
TCGA_49_AARQ_01A	4.90E-01	4.90E-01
TCGA_4B_A93V_01A	2.74E-01	2.74E-01
TCGA_50_8457_01A	3.07E-01	3.07E-01
TCGA_55_7910_01A	3.60E-01	3.61E-01
TCGA_55_7913_01B	4.83E-01	4.83E-01
TCGA_55_8508_01A	6.05E-01	6.05E-01
TCGA_55_8514_01A	5.60E-01	5.60E-01
TCGA_69_8253_01A	1.42E-01	1.42E-01
TCGA_69_A59K_01A	7.91E-01	7.91E-01
TCGA_86_7714_01A	4.05E-01	4.05E-01
TCGA_99_8025_01A	4.54E-01	4.54E-01
TCGA_99_8028_01A	4.98E-01	4.97E-01
TCGA_99_AA5R_01A	9.33E-02	9.33E-02
TCGA_L9_A5IP_01A	5.82E-01	5.82E-01
TCGA_L9_A8F4_01A	1.34E+00	1.34E+00
TCGA_NJ_A4YF_01A	8.28E-01	8.28E-01
TCGA_S2_AA1A_01A	9.27E-02	9.27E-02
