Samples	ID83A	ID83B	ID83C
TCGA_44_5645_01A	9.00E-02	9.44E-02	8.79E-02
TCGA_44_A479_01A	5.02E-01	5.00E-01	4.78E-01
TCGA_49_4510_01A	1.47E-01	1.57E-01	1.90E-01
TCGA_49_AARE_01A	2.18E+00	2.18E+00	1.97E+00
TCGA_49_AARN_01A	9.03E-01	6.83E-01	7.76E-01
TCGA_49_AARO_01A	3.13E-01	2.65E-01	2.62E-01
TCGA_49_AARQ_01A	3.87E-01	5.08E-01	4.09E-01
TCGA_4B_A93V_01A	3.34E-01	1.84E-01	2.89E-01
TCGA_50_8457_01A	2.27E-01	2.63E-01	3.12E-01
TCGA_55_7910_01A	3.57E-01	3.47E-01	2.34E-01
TCGA_55_7913_01B	4.76E-01	2.52E-01	4.73E-01
TCGA_55_8508_01A	4.69E-01	5.86E-01	4.73E-01
TCGA_55_8514_01A	5.60E-01	5.08E-01	4.30E-01
TCGA_69_8253_01A	1.21E-01	1.21E-01	1.43E-01
TCGA_69_A59K_01A	6.05E-01	7.99E-01	7.20E-01
TCGA_86_7714_01A	2.79E-01	2.40E-01	3.51E-01
TCGA_99_8025_01A	3.03E-01	4.91E-01	4.50E-01
TCGA_99_8028_01A	4.69E-01	5.08E-01	4.37E-01
TCGA_99_AA5R_01A	9.67E-02	8.94E-02	6.38E-02
TCGA_L9_A5IP_01A	2.47E-01	4.70E-01	4.22E-01
TCGA_L9_A8F4_01A	1.38E+00	1.23E+00	1.22E+00
TCGA_NJ_A4YF_01A	8.43E-01	6.96E-01	4.98E-01
TCGA_S2_AA1A_01A	8.22E-02	9.61E-02	8.99E-02
