NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	11.046	97.039	3.683	65.386	0.927	0.71	20000.0
2	11.607	109.536	3.683	68.563	1.166	0.652	20000.0
3	12.388	109.341	4.031	70.672	1.055	0.662	30000.0
4	12.177	109.798	3.826	69.819	1.12	0.66	20000.0
5	11.551	109.184	3.726	69.324	1.132	0.636	30000.0
6	11.629	110.155	3.888	70.652	1.107	0.65	20000.0
7	12.266	111.72	3.899	71.261	1.129	0.63	20000.0
8	10.745	105.599	3.634	70.058	1.051	0.657	30000.0
9	12.172	112.974	3.83	72.611	1.171	0.615	30000.0
10	12.334	112.934	3.993	73.684	1.146	0.608	30000.0
11	12.048	106.473	3.885	68.327	1.023	0.701	20000.0
12	11.963	107.796	3.758	69.896	1.08	0.656	20000.0
13	12.277	104.093	3.918	67.018	1.006	0.712	30000.0
14	11.659	95.533	3.664	64.089	0.927	0.731	50000.0
15	12.113	114.217	3.673	71.66	1.172	0.624	20000.0
16	12.025	110.351	3.838	70.367	1.152	0.639	20000.0
17	11.512	102.08	3.619	67.677	1.025	0.677	20000.0
18	12.497	114.321	4.03	72.222	1.17	0.632	30000.0
19	11.672	111.648	3.971	72.363	1.112	0.635	20000.0
20	11.955	105.1	4.08	68.862	1.011	0.684	30000.0
21	12.034	111.836	3.939	71.488	1.074	0.65	30000.0
22	12.692	115.177	3.853	72.522	1.179	0.635	40000.0
23	11.939	109.414	3.798	70.039	1.079	0.659	20000.0
24	11.142	96.889	3.576	65.109	0.932	0.724	30000.0
25	11.83	103.722	3.58	65.548	1.031	0.713	20000.0
26	12.098	107.836	3.854	69.017	1.055	0.68	20000.0
27	11.514	109.032	3.779	68.812	1.1	0.657	20000.0
28	12.31	112.759	3.905	71.716	1.188	0.634	20000.0
29	11.723	105.275	3.787	69.572	1.084	0.679	30000.0
30	11.984	109.964	4.062	70.754	1.073	0.653	30000.0
31	11.833	102.439	3.669	64.371	0.971	0.722	40000.0
32	12.107	110.142	3.823	69.094	1.106	0.658	20000.0
33	12.969	114.523	4.042	73.738	1.141	0.624	20000.0
34	11.415	110.167	3.745	69.888	1.138	0.65	20000.0
35	11.962	109.735	3.817	70.307	1.034	0.659	30000.0
36	11.591	110.452	3.653	71.041	1.125	0.628	30000.0
37	11.813	110.881	3.738	71.914	1.117	0.624	30000.0
38	11.179	105.126	3.671	67.382	1.112	0.682	40000.0
39	11.826	107.451	3.769	69.306	1.096	0.661	40000.0
40	11.356	102.169	3.626	65.399	0.938	0.709	20000.0
41	12.108	112.067	3.82	71.814	1.157	0.632	30000.0
42	12.413	114.452	3.86	71.496	1.183	0.626	40000.0
43	12.404	113.013	3.737	72.07	1.145	0.627	20000.0
44	12.048	111.112	3.814	70.694	1.077	0.652	20000.0
45	11.869	111.413	3.892	71.912	1.16	0.618	20000.0
46	12.097	112.796	3.929	70.944	1.181	0.639	30000.0
47	11.686	102.866	3.825	67.436	1.003	0.689	20000.0
48	13.362	121.632	4.175	75.842	1.293	0.577	30000.0
49	11.337	101.41	3.423	63.122	0.998	0.72	30000.0
50	12.425	115.904	3.892	74.356	1.143	0.605	40000.0
51	11.54	102.872	3.815	68.562	1.026	0.67	20000.0
52	12.586	112.231	3.985	71.627	1.063	0.646	30000.0
53	12.161	110.363	3.877	70.836	1.117	0.639	30000.0
54	12.012	103.998	4.026	68.062	1.032	0.685	20000.0
55	11.619	106.718	3.882	69.932	1.081	0.672	20000.0
56	12.001	107.693	3.862	69.717	1.069	0.657	20000.0
57	12.309	110.357	3.909	70.102	1.092	0.664	20000.0
58	12.062	113.005	4.154	73.827	1.166	0.605	50000.0
59	11.039	99.695	3.572	63.831	1.007	0.72	20000.0
60	12.628	114.296	4.004	73.036	1.131	0.634	20000.0
61	12.878	116.381	4.226	74.666	1.199	0.603	20000.0
62	11.685	110.773	3.865	70.065	1.233	0.637	20000.0
63	12.052	113.197	3.861	70.699	1.183	0.634	30000.0
64	11.834	110.644	3.705	71.077	1.072	0.631	40000.0
65	12.093	114.128	3.878	72.953	1.143	0.617	30000.0
66	11.026	101.616	3.474	64.5	0.954	0.7	30000.0
67	12.613	115.032	4.047	72.134	1.164	0.633	40000.0
68	11.989	107.922	3.824	70.018	1.138	0.665	20000.0
69	11.732	107.651	3.74	71.531	1.08	0.644	30000.0
70	12.171	107.951	3.78	69.388	1.06	0.676	20000.0
71	12.69	108.164	3.961	69.727	1.034	0.696	30000.0
72	12.63	112.515	3.863	72.069	1.124	0.636	20000.0
73	12.267	106.58	3.836	70.328	1.055	0.671	20000.0
74	11.664	106.885	3.682	67.53	1.039	0.691	30000.0
75	11.693	109.95	3.797	70.87	1.09	0.644	20000.0
76	12.429	115.832	3.819	71.882	1.209	0.617	40000.0
77	11.733	105.711	3.79	67.82	0.951	0.696	20000.0
78	12.467	108.013	3.928	70.163	1.085	0.673	30000.0
79	12.308	111.605	3.978	71.435	1.115	0.63	20000.0
80	12.348	111.708	4.081	70.158	1.124	0.649	20000.0
81	12.574	112.211	3.793	73.048	1.152	0.608	30000.0
82	11.711	110.129	3.778	70.248	1.105	0.65	40000.0
83	12.532	114.03	3.996	72.389	1.23	0.621	30000.0
84	11.913	108.978	3.764	69.003	1.109	0.658	30000.0
85	11.648	103.588	3.724	68.651	1.019	0.685	30000.0
86	11.907	113.273	3.586	71.093	1.145	0.647	30000.0
87	11.649	105.719	3.617	69.768	1.04	0.656	30000.0
88	11.182	104.67	3.65	67.966	1.046	0.672	20000.0
89	12.608	110.594	4.063	70.952	1.102	0.655	20000.0
90	13.564	117.908	4.252	75.991	1.204	0.603	30000.0
91	11.975	109.619	4.136	71.832	1.062	0.638	20000.0
92	12.743	117.102	4.168	73.421	1.191	0.61	20000.0
93	11.412	107.711	3.326	67.311	1.093	0.662	30000.0
94	12.066	106.287	3.516	65.928	1.116	0.678	20000.0
95	11.734	103.952	3.8	67.684	0.958	0.7	20000.0
96	12.204	106.912	3.866	68.668	1.037	0.68	20000.0
97	12.416	113.617	3.981	72.097	1.16	0.622	20000.0
98	10.802	99.871	3.483	64.472	0.9	0.727	20000.0
99	12.399	112.0	4.092	72.071	1.06	0.661	20000.0
100	11.685	110.293	3.801	69.861	1.227	0.645	20000.0
