MutationType	ID83A	ID83B	ID83C	ID83D
1:Del:C:0	2.39E-07	1.92E-07	2.69E-07	3.43E-07
1:Del:C:1	1.13E-02	1.04E-02	9.28E-03	1.00E-02
1:Del:C:2	4.39E-03	8.93E-03	6.77E-03	6.08E-03
1:Del:C:3	6.93E-03	4.91E-03	7.47E-03	5.89E-03
1:Del:C:4	3.99E-03	2.22E-03	3.33E-03	3.24E-03
1:Del:C:5	3.23E-03	1.61E-03	2.73E-03	3.98E-03
1:Del:T:0	2.39E-07	1.92E-07	2.69E-07	3.43E-07
1:Del:T:1	3.73E-03	6.00E-03	8.86E-03	5.83E-03
1:Del:T:2	1.88E-03	2.30E-03	3.22E-03	4.43E-03
1:Del:T:3	1.06E-03	3.46E-04	9.60E-04	1.01E-03
1:Del:T:4	2.39E-07	1.92E-07	2.69E-07	3.43E-07
1:Del:T:5	1.31E-03	8.34E-04	1.31E-03	1.71E-03
1:Ins:C:0	9.53E-04	9.88E-04	1.61E-03	1.44E-03
1:Ins:C:1	1.09E-03	1.12E-03	1.92E-03	1.54E-03
1:Ins:C:2	7.45E-04	3.89E-04	1.25E-03	1.81E-03
1:Ins:C:3	1.79E-03	5.04E-04	1.36E-03	2.17E-03
1:Ins:C:4	1.82E-03	1.22E-03	1.67E-03	2.20E-03
1:Ins:C:5	5.56E-04	1.12E-03	5.18E-04	3.77E-07
1:Ins:T:0	4.17E-03	2.00E-03	2.77E-03	3.77E-03
1:Ins:T:1	3.67E-03	5.26E-03	7.40E-03	5.48E-03
1:Ins:T:2	3.21E-03	3.98E-03	3.53E-03	3.81E-03
1:Ins:T:3	1.26E-03	9.74E-04	1.45E-03	1.33E-03
1:Ins:T:4	7.80E-04	1.04E-03	1.59E-03	1.61E-03
1:Ins:T:5	2.98E-03	2.48E-03	2.72E-03	2.81E-03
2:Del:R:0	2.13E-03	2.75E-03	6.74E-03	3.32E-03
2:Del:R:1	5.35E-04	9.23E-04	1.68E-03	9.02E-04
2:Del:R:2	2.39E-07	1.92E-07	2.69E-07	3.43E-07
2:Del:R:3	2.39E-07	1.92E-07	2.69E-07	3.43E-07
2:Del:R:4	2.39E-07	1.92E-07	2.69E-07	3.43E-07
2:Del:R:5	2.39E-07	1.92E-07	2.69E-07	3.43E-07
3:Del:R:0	9.73E-04	1.22E-03	2.93E-03	1.09E-03
3:Del:R:1	5.79E-04	5.01E-04	1.35E-03	1.36E-03
3:Del:R:2	2.39E-07	1.92E-07	2.69E-07	3.43E-07
3:Del:R:3	2.39E-07	1.92E-07	2.69E-07	3.43E-07
3:Del:R:4	2.39E-07	1.92E-07	2.69E-07	3.43E-07
3:Del:R:5	2.39E-07	1.92E-07	2.69E-07	3.43E-07
4:Del:R:0	1.06E-03	1.60E-03	2.52E-03	2.19E-03
4:Del:R:1	2.39E-07	1.92E-07	2.69E-07	3.43E-07
4:Del:R:2	2.39E-07	1.92E-07	2.69E-07	3.43E-07
4:Del:R:3	2.39E-07	1.92E-07	2.69E-07	3.43E-07
4:Del:R:4	2.39E-07	1.92E-07	2.69E-07	3.43E-07
4:Del:R:5	2.39E-07	1.92E-07	2.69E-07	3.43E-07
5:Del:R:0	5.66E-03	4.42E-03	5.37E-03	1.51E-02
5:Del:R:1	2.60E-04	9.28E-04	1.45E-03	6.02E-04
5:Del:R:2	2.39E-07	1.92E-07	2.69E-07	3.43E-07
5:Del:R:3	2.39E-07	1.92E-07	2.69E-07	3.43E-07
5:Del:R:4	2.39E-07	1.92E-07	2.69E-07	3.43E-07
5:Del:R:5	2.39E-07	1.92E-07	2.69E-07	3.43E-07
2:Ins:R:0	1.19E-03	9.70E-04	1.05E-03	2.00E-03
2:Ins:R:1	2.39E-07	1.92E-07	2.69E-07	3.43E-07
2:Ins:R:2	2.39E-07	1.92E-07	2.69E-07	3.43E-07
2:Ins:R:3	2.39E-07	1.92E-07	2.69E-07	3.43E-07
2:Ins:R:4	2.39E-07	1.92E-07	2.69E-07	3.43E-07
