Samples	ID83A	ID83B	ID83C	ID83D	ID83E
TCGA_44_5645_01A	6.89E-02	8.58E-02	7.14E-02	8.58E-02	6.71E-02
TCGA_44_A479_01A	3.59E-01	2.97E-01	4.09E-01	3.19E-01	4.57E-01
TCGA_49_4510_01A	6.86E-02	1.19E-01	1.27E-01	1.36E-01	1.89E-01
TCGA_49_AARE_01A	1.63E+00	2.45E+00	1.68E+00	1.25E+00	1.21E+00
TCGA_49_AARN_01A	7.73E-01	5.61E-01	5.78E-01	6.53E-01	4.76E-01
TCGA_49_AARO_01A	2.85E-01	2.52E-01	1.68E-01	2.27E-01	1.64E-01
TCGA_49_AARQ_01A	2.20E-01	4.20E-01	4.84E-01	2.86E-01	2.50E-01
TCGA_4B_A93V_01A	3.21E-01	1.51E-01	1.33E-01	2.62E-01	1.95E-01
TCGA_50_8457_01A	1.43E-01	1.57E-01	1.89E-01	2.37E-01	3.12E-01
TCGA_55_7910_01A	2.66E-01	2.59E-01	3.26E-01	3.39E-01	1.78E-01
TCGA_55_7913_01B	4.53E-01	3.47E-01	2.50E-01	3.54E-01	3.66E-01
TCGA_55_8508_01A	3.53E-01	4.62E-01	5.51E-01	3.30E-01	2.30E-01
TCGA_55_8514_01A	5.49E-01	4.64E-01	4.26E-01	4.41E-01	2.41E-01
TCGA_69_8253_01A	7.63E-02	1.23E-01	7.43E-02	7.19E-02	1.42E-01
TCGA_69_A59K_01A	3.66E-01	7.23E-01	7.81E-01	4.53E-01	5.01E-01
TCGA_86_7714_01A	1.52E-01	3.20E-01	1.04E-01	1.01E-01	3.64E-01
TCGA_99_8025_01A	1.93E-01	4.10E-01	4.64E-01	1.82E-01	3.22E-01
TCGA_99_8028_01A	3.55E-01	4.60E-01	4.67E-01	3.59E-01	2.64E-01
TCGA_99_AA5R_01A	9.29E-02	3.43E-02	8.98E-02	2.00E-02	0.00E+00
TCGA_L9_A5IP_01A	1.04E-01	5.10E-01	5.33E-01	2.71E-01	9.36E-02
TCGA_L9_A8F4_01A	8.20E-01	6.61E-01	5.14E-01	1.21E+00	4.20E-01
TCGA_NJ_A4YF_01A	6.77E-01	2.74E-01	6.08E-01	2.10E-01	6.34E-02
TCGA_S2_AA1A_01A	6.71E-02	9.22E-02	6.71E-02	7.97E-02	5.45E-02
