Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_5645_01A	2	0.229	3.686	184.3%	1.386	98.005%	2.77908	0.181
TCGA_44_A479_01A	14	0.892	11.017	78.693%	2.561	46.757%	0.62332	0.884
TCGA_49_4510_01A	4	0.502	5.467	136.675%	2.139	87.324%	1.73127	0.479
TCGA_49_AARE_01A	63	0.968	22.318	35.425%	4.715	25.095%	0.20373	0.963
TCGA_49_AARN_01A	25	0.935	15.929	63.716%	3.327	38.417%	0.43197	0.929
TCGA_49_AARO_01A	8	0.845	6.917	86.462%	1.703	53.854%	0.67603	0.832
TCGA_49_AARQ_01A	12	0.923	8.722	72.683%	1.934	39.478%	0.5915	0.917
TCGA_4B_A93V_01A	8	0.872	6.703	83.788%	1.806	52.135%	0.61164	0.865
TCGA_50_8457_01A	7	0.76	7.76	110.857%	1.99	66.333%	1.14377	0.742
TCGA_55_7910_01A	9	0.801	8.21	91.222%	2.2	61.017%	0.82702	0.784
TCGA_55_7913_01B	14	0.888	9.654	68.957%	2.368	46.44%	0.60927	0.877
TCGA_55_8508_01A	15	0.945	9.726	64.84%	2.261	33.705%	0.55915	0.942
TCGA_55_8514_01A	15	0.914	10.553	70.353%	2.303	41.363%	0.62044	0.905
TCGA_69_8253_01A	3	0.572	3.864	128.8%	1.43	82.561%	2.23986	0.55
TCGA_69_A59K_01A	19	0.909	12.658	66.621%	2.803	41.785%	0.6412	0.898
TCGA_86_7714_01A	9	0.848	7.915	87.944%	2.183	52.946%	0.75097	0.838
TCGA_99_8025_01A	12	0.929	10.308	85.9%	2.435	41.76%	0.73966	0.928
TCGA_99_8028_01A	12	0.8	12.562	104.683%	2.995	61.135%	0.94672	0.783
TCGA_99_AA5R_01A	2	0.934	1.764	88.2%	0.693	49.002%	0.60287	0.937
TCGA_L9_A5IP_01A	14	0.943	9.68	69.143%	2.081	34.683%	0.53931	0.94
TCGA_L9_A8F4_01A	32	0.939	14.337	44.803%	3.365	35.083%	0.23155	0.93
TCGA_NJ_A4YF_01A	21	0.971	12.849	61.186%	3.444	31.309%	0.38964	0.972
TCGA_S2_AA1A_01A	2	0.371	3.44	172.0%	1.313	92.843%	2.47898	0.341
