Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
TCGA_44_5645_01A	4.77E-02	5.91E-02	6.95E-02	4.64E-02	6.01E-02	9.59E-02
TCGA_44_A479_01A	3.14E-01	3.98E-01	3.84E-01	3.06E-01	3.96E-01	4.04E-01
TCGA_49_4510_01A	7.66E-02	1.14E-01	9.93E-02	1.04E-01	1.94E-01	1.58E-01
TCGA_49_AARE_01A	1.75E+00	2.32E+00	1.39E+00	1.20E+00	7.66E-01	2.09E+00
TCGA_49_AARN_01A	6.04E-01	2.79E-01	4.96E-01	5.12E-01	4.21E-01	7.88E-01
TCGA_49_AARO_01A	2.78E-01	1.79E-01	1.77E-01	1.52E-01	1.42E-01	2.80E-01
TCGA_49_AARQ_01A	1.93E-01	3.62E-01	5.03E-01	2.56E-01	2.13E-01	3.48E-01
TCGA_4B_A93V_01A	3.17E-01	1.03E-01	1.59E-01	2.40E-01	1.57E-01	2.79E-01
TCGA_50_8457_01A	1.04E-01	1.29E-01	1.67E-01	1.25E-01	3.22E-01	2.64E-01
TCGA_55_7910_01A	2.42E-01	3.13E-01	2.41E-01	2.98E-01	5.49E-02	2.90E-01
TCGA_55_7913_01B	4.28E-01	2.54E-01	2.08E-01	3.56E-01	3.18E-01	3.67E-01
TCGA_55_8508_01A	4.62E-01	4.31E-01	6.14E-01	3.27E-01	2.72E-01	2.06E-01
TCGA_55_8514_01A	4.77E-01	4.06E-01	4.46E-01	4.02E-01	2.34E-01	4.63E-01
TCGA_69_8253_01A	6.47E-02	8.82E-02	7.16E-02	6.96E-02	1.43E-01	1.20E-01
TCGA_69_A59K_01A	3.50E-01	7.94E-01	7.41E-01	3.52E-01	3.88E-01	3.41E-01
TCGA_86_7714_01A	1.12E-01	1.88E-01	8.84E-02	7.16E-02	3.41E-01	2.80E-01
TCGA_99_8025_01A	1.53E-01	3.45E-01	4.84E-01	1.19E-01	2.97E-01	2.64E-01
TCGA_99_8028_01A	2.15E-01	5.11E-01	4.01E-01	3.38E-01	1.87E-01	2.90E-01
TCGA_99_AA5R_01A	8.89E-02	2.23E-02	8.40E-02	2.00E-02	2.23E-02	2.23E-02
TCGA_L9_A5IP_01A	1.72E-01	5.46E-01	5.98E-01	3.40E-01	1.31E-01	3.67E-01
TCGA_L9_A8F4_01A	8.28E-01	4.15E-01	5.14E-01	1.21E+00	4.32E-01	4.68E-01
TCGA_NJ_A4YF_01A	6.72E-01	3.43E-01	4.67E-01	2.12E-01	2.47E-01	1.80E-01
TCGA_S2_AA1A_01A	4.47E-02	8.86E-02	6.26E-02	7.97E-02	3.89E-02	8.34E-02
