MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
1:Del:C:0	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
1:Del:C:1	1.30E-02	1.10E-02	1.42E-02	8.85E-03	4.64E-03	8.91E-03
1:Del:C:2	1.20E-02	5.56E-03	3.05E-03	9.12E-03	5.10E-03	1.04E-02
1:Del:C:3	3.98E-03	1.00E-02	7.67E-03	5.86E-03	3.97E-03	9.46E-03
1:Del:C:4	1.86E-03	4.24E-03	5.49E-03	4.34E-03	2.54E-03	3.76E-03
1:Del:C:5	9.26E-04	2.36E-03	3.42E-03	3.04E-03	6.49E-03	5.48E-03
1:Del:T:0	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
1:Del:T:1	7.24E-03	3.95E-03	5.03E-03	9.75E-03	3.55E-03	9.35E-03
1:Del:T:2	2.79E-03	3.87E-03	1.80E-03	1.88E-03	5.43E-03	4.51E-03
1:Del:T:3	3.13E-04	1.97E-03	1.30E-03	4.99E-04	7.91E-04	1.31E-03
1:Del:T:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
1:Del:T:5	9.05E-04	1.94E-03	8.72E-04	1.31E-03	1.94E-03	2.83E-03
1:Ins:C:0	1.21E-03	1.73E-03	1.58E-03	1.35E-03	1.05E-03	1.71E-03
1:Ins:C:1	1.24E-03	1.38E-03	9.30E-04	3.24E-03	1.59E-03	1.74E-03
1:Ins:C:2	3.09E-04	2.11E-03	7.20E-04	1.07E-03	1.96E-03	3.31E-03
1:Ins:C:3	5.23E-04	8.99E-04	2.01E-03	6.85E-04	3.72E-03	2.75E-03
1:Ins:C:4	1.36E-03	2.33E-03	2.42E-03	1.51E-03	2.43E-03	2.67E-03
1:Ins:C:5	1.67E-03	2.45E-04	5.30E-04	4.79E-04	6.54E-04	1.07E-04
1:Ins:T:0	2.63E-03	5.20E-03	4.44E-03	3.85E-03	3.61E-03	3.39E-03
1:Ins:T:1	4.18E-03	4.38E-03	5.90E-03	4.76E-03	4.59E-03	1.16E-02
1:Ins:T:2	5.10E-03	6.67E-03	2.58E-03	2.87E-03	5.68E-03	4.77E-03
1:Ins:T:3	1.53E-03	1.85E-03	9.13E-04	7.96E-04	1.16E-03	1.48E-03
1:Ins:T:4	1.54E-03	1.91E-03	9.41E-04	6.91E-04	8.82E-04	2.03E-03
1:Ins:T:5	2.99E-03	6.25E-03	3.90E-03	1.97E-03	3.29E-03	3.35E-03
2:Del:R:0	2.24E-03	2.01E-03	1.42E-03	7.51E-03	3.58E-03	1.74E-03
2:Del:R:1	3.38E-04	5.56E-04	5.37E-04	2.64E-03	2.71E-04	4.65E-04
2:Del:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Del:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Del:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Del:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Del:R:0	1.01E-03	5.85E-04	9.25E-04	3.81E-03	1.16E-03	7.27E-04
3:Del:R:1	9.73E-04	5.17E-04	6.71E-04	1.04E-03	2.28E-03	1.87E-03
3:Del:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Del:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Del:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Del:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Del:R:0	1.44E-03	2.20E-03	1.04E-03	3.81E-03	2.02E-03	3.52E-03
4:Del:R:1	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Del:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Del:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Del:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Del:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Del:R:0	3.50E-03	6.57E-03	7.76E-03	4.52E-03	1.86E-02	9.75E-03
5:Del:R:1	5.90E-04	3.71E-04	3.23E-04	2.61E-03	5.98E-04	3.24E-04
5:Del:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Del:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Del:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Del:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Ins:R:0	1.08E-03	1.75E-03	2.87E-03	1.08E-03	2.44E-03	1.81E-03
2:Ins:R:1	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Ins:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Ins:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Ins:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Ins:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Ins:R:0	1.22E-03	3.42E-03	1.35E-03	2.91E-03	8.37E-04	2.61E-03
3:Ins:R:1	9.82E-04	1.77E-03	2.37E-03	1.23E-03	3.94E-03	1.71E-03
3:Ins:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Ins:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Ins:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
3:Ins:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Ins:R:0	9.38E-04	1.17E-03	1.44E-03	1.54E-03	1.27E-03	1.14E-03
4:Ins:R:1	4.46E-04	5.56E-04	3.85E-04	2.59E-03	9.48E-04	2.97E-04
4:Ins:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Ins:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Ins:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Ins:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Ins:R:0	5.28E-03	5.60E-03	2.51E-03	4.92E-03	7.40E-03	7.16E-03
5:Ins:R:1	1.32E-03	2.59E-03	4.48E-03	2.59E-03	3.20E-03	6.51E-03
5:Ins:R:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Ins:R:3	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Ins:R:4	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
5:Ins:R:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
2:Del:M:1	2.74E-03	1.08E-02	5.72E-03	8.72E-03	3.94E-03	6.07E-03
3:Del:M:1	4.69E-04	8.45E-04	1.42E-03	4.72E-04	2.34E-03	1.77E-03
3:Del:M:2	3.85E-04	1.85E-03	8.86E-04	7.10E-04	1.25E-03	9.31E-04
4:Del:M:1	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Del:M:2	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
4:Del:M:3	5.98E-04	1.28E-03	1.70E-03	8.62E-04	7.94E-04	2.21E-03
5:Del:M:1	2.04E-03	2.97E-03	4.02E-03	4.24E-03	1.01E-02	8.17E-03
5:Del:M:2	9.02E-04	2.09E-03	1.19E-03	2.57E-03	2.22E-03	1.18E-03
5:Del:M:3	1.10E-03	2.62E-03	1.70E-03	2.64E-03	5.86E-03	4.30E-03
5:Del:M:4	8.32E-04	1.18E-03	5.50E-04	3.92E-04	5.96E-04	7.39E-04
5:Del:M:5	2.39E-07	3.38E-07	2.38E-07	2.35E-07	3.34E-07	5.26E-07
