Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_44_5645_01A	0	0	0	0	0	0	0	2
TCGA_44_A479_01A	3	0	0	0	4	0	7	0
TCGA_49_4510_01A	0	0	0	0	4	0	0	0
TCGA_49_AARE_01A	9	0	39	15	0	0	0	0
TCGA_49_AARN_01A	6	4	0	0	2	1	0	12
TCGA_49_AARO_01A	3	0	0	2	0	0	0	3
TCGA_49_AARQ_01A	0	7	0	1	0	0	0	4
TCGA_4B_A93V_01A	3	0	0	0	0	1	0	4
TCGA_50_8457_01A	0	0	0	0	6	0	1	0
TCGA_55_7910_01A	1	0	0	0	0	1	6	1
TCGA_55_7913_01B	6	0	0	3	3	2	0	0
TCGA_55_8508_01A	2	8	0	0	1	0	4	0
TCGA_55_8514_01A	3	4	1	2	0	1	0	4
TCGA_69_8253_01A	0	0	0	0	3	0	0	0
TCGA_69_A59K_01A	0	6	0	6	3	0	4	0
TCGA_86_7714_01A	0	0	1	0	8	0	0	0
TCGA_99_8025_01A	0	9	0	0	3	0	0	0
TCGA_99_8028_01A	0	0	0	5	0	0	7	0
TCGA_99_AA5R_01A	1	1	0	0	0	0	0	0
TCGA_L9_A5IP_01A	0	8	0	4	0	0	2	0
TCGA_L9_A8F4_01A	2	1	0	0	0	29	0	0
TCGA_NJ_A4YF_01A	16	5	0	0	0	0	0	0
TCGA_S2_AA1A_01A	0	0	0	2	0	0	0	0
