Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
TCGA_44_5645_01A	2.43E-02	7.30E-02	1.41E-02	2.81E-02	4.93E-02	9.47E-02	2.23E-02	6.22E-02	4.04E-02
TCGA_44_A479_01A	2.34E-01	2.29E-01	2.91E-01	1.08E-01	8.77E-02	2.78E-01	4.86E-01	3.59E-01	1.86E-01
TCGA_49_4510_01A	8.94E-02	7.48E-02	5.73E-02	3.00E-02	7.44E-02	1.06E-01	6.92E-02	1.64E-01	1.89E-01
TCGA_49_AARE_01A	1.29E+00	9.11E-01	2.66E+00	3.22E-01	1.80E+00	1.37E+00	5.53E-01	4.01E-01	6.21E-01
TCGA_49_AARN_01A	4.81E-01	4.81E-01	3.92E-01	8.09E-02	3.41E-01	7.99E-01	2.92E-01	4.07E-01	2.43E-01
TCGA_49_AARO_01A	2.33E-01	1.18E-01	6.97E-02	5.03E-02	1.85E-01	2.66E-01	4.45E-02	7.07E-02	1.51E-01
TCGA_49_AARQ_01A	5.00E-02	4.27E-01	2.67E-01	1.81E-01	3.58E-01	3.22E-01	3.13E-01	2.57E-01	6.44E-02
TCGA_4B_A93V_01A	2.74E-01	9.52E-02	1.02E-01	5.03E-02	6.87E-02	3.02E-01	5.63E-02	1.48E-01	1.70E-01
TCGA_50_8457_01A	0.00E+00	9.98E-02	1.20E-01	1.37E-01	1.36E-01	1.15E-01	1.64E-01	3.19E-01	2.73E-01
TCGA_55_7910_01A	2.07E-01	1.16E-01	6.42E-02	2.27E-01	9.25E-02	2.87E-01	3.46E-01	1.00E-02	4.08E-02
TCGA_55_7913_01B	4.48E-01	1.82E-01	1.71E-01	3.10E-01	2.82E-01	2.47E-01	1.12E-01	2.38E-01	4.30E-01
TCGA_55_8508_01A	2.95E-01	5.68E-01	4.13E-01	1.25E-01	9.95E-02	6.44E-02	5.52E-01	1.66E-01	2.40E-01
TCGA_55_8514_01A	3.53E-01	2.92E-01	2.97E-01	2.09E-01	4.18E-01	4.73E-01	2.62E-01	1.43E-01	2.53E-01
TCGA_69_8253_01A	4.52E-02	5.22E-02	8.24E-02	3.00E-02	6.72E-02	8.47E-02	7.39E-02	1.40E-01	1.05E-01
TCGA_69_A59K_01A	1.40E-01	5.76E-01	6.36E-01	2.14E-01	6.11E-01	1.11E-01	6.81E-01	4.64E-01	3.82E-01
TCGA_86_7714_01A	2.00E-02	5.45E-02	1.28E-01	0.00E+00	1.23E-01	5.00E-02	0.00E+00	3.87E-01	3.92E-01
TCGA_99_8025_01A	5.00E-02	4.71E-01	2.88E-01	6.00E-02	3.24E-01	1.64E-01	2.41E-01	2.95E-01	1.71E-01
TCGA_99_8028_01A	5.95E-02	2.72E-01	3.44E-01	1.87E-01	4.41E-01	2.15E-01	4.63E-01	4.61E-02	2.32E-01
TCGA_99_AA5R_01A	9.21E-02	8.53E-02	4.38E-02	0.00E+00	0.00E+00	2.23E-02	3.43E-02	0.00E+00	2.00E-02
TCGA_L9_A5IP_01A	0.00E+00	5.52E-01	1.48E-01	7.00E-02	5.02E-01	3.69E-01	3.48E-01	1.56E-01	1.52E-01
TCGA_L9_A8F4_01A	3.88E-01	1.09E-01	0.00E+00	7.91E-01	5.77E-02	4.55E-01	2.51E-01	5.73E-02	2.13E-01
TCGA_NJ_A4YF_01A	7.73E-01	5.53E-01	6.03E-01	1.55E-01	1.39E-01	1.28E-01	2.73E-01	0.00E+00	1.16E-01
TCGA_S2_AA1A_01A	1.41E-02	1.41E-02	3.94E-02	5.66E-02	8.66E-02	4.64E-02	3.26E-02	2.81E-02	5.14E-02
