Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1*,1.0,1.0,YES,Most Stab Sigs,55.15%,106.8%,188.4%,68.62%,105.43,1.3197,3.3399,0.349,0.86,0.624,0.089
2,0.32,0.26,NO,N/A,51.08%,98.46%,187.1%,57.3%,102.32,1.2125,3.1932,0.301,0.846,0.678,0.105
3,0.3,0.03,NO,N/A,46.89%,89.75%,188.5%,54.24%,101.96,1.0841,3.141,0.235,0.851,0.75,0.096
4,0.26,-0.15,NO,N/A,42.25%,86.21%,185.3%,49.18%,98.64,0.9916,2.985,0.207,0.787,0.779,0.162
5,0.26,-0.22,NO,N/A,37.24%,83.79%,184.3%,46.76%,98.0,0.9117,2.7791,0.187,0.771,0.801,0.181
6,0.19,-0.18,NO,N/A,35.35%,79.92%,171.75%,44.89%,94.82,0.8325,2.6025,0.167,0.669,0.823,0.299
7,0.2,-0.2,NO,N/A,33.75%,76.34%,157.3%,45.32%,88.47,0.7744,2.1992,0.151,0.496,0.841,0.485
8,0.18,-0.23,NO,N/A,31.85%,70.53%,154.05%,42.21%,90.39,0.7388,1.9497,0.14,0.496,0.853,0.483
9,0.18,-0.16,NO,N/A,29.16%,65.31%,145.3%,41.31%,85.33,0.6911,2.0995,0.127,0.432,0.866,0.554
10,0.14,-0.23,NO,N/A,29.12%,64.51%,139.4%,41.05%,85.04,0.6704,2.0466,0.12,0.449,0.874,0.53
