MutationType	ID83A
1:Del:C:0	1.14E-12
1:Del:C:1	2.13E-03
1:Del:C:2	1.55E-03
1:Del:C:3	1.39E-03
1:Del:C:4	9.39E-04
1:Del:C:5	6.16E-04
1:Del:T:0	1.13E-12
1:Del:T:1	1.19E-03
1:Del:T:2	6.94E-04
1:Del:T:3	3.06E-04
1:Del:T:4	1.14E-12
1:Del:T:5	3.98E-04
1:Ins:C:0	4.60E-04
1:Ins:C:1	4.84E-04
1:Ins:C:2	2.87E-04
1:Ins:C:3	3.81E-04
1:Ins:C:4	4.98E-04
1:Ins:C:5	2.97E-04
1:Ins:T:0	9.74E-04
1:Ins:T:1	1.12E-03
1:Ins:T:2	8.89E-04
1:Ins:T:3	4.55E-04
1:Ins:T:4	4.45E-04
1:Ins:T:5	7.76E-04
2:Del:R:0	6.26E-04
2:Del:R:1	3.08E-04
2:Del:R:2	1.14E-12
2:Del:R:3	1.14E-12
2:Del:R:4	1.13E-12
2:Del:R:5	1.14E-12
3:Del:R:0	4.15E-04
3:Del:R:1	2.59E-04
3:Del:R:2	1.14E-12
3:Del:R:3	1.14E-12
3:Del:R:4	1.14E-12
3:Del:R:5	1.14E-12
4:Del:R:0	5.27E-04
4:Del:R:1	1.14E-12
4:Del:R:2	1.13E-12
4:Del:R:3	1.14E-12
4:Del:R:4	1.14E-12
4:Del:R:5	1.14E-12
5:Del:R:0	1.58E-03
5:Del:R:1	2.97E-04
5:Del:R:2	1.14E-12
5:Del:R:3	1.14E-12
5:Del:R:4	1.14E-12
5:Del:R:5	1.14E-12
2:Ins:R:0	3.66E-04
2:Ins:R:1	1.14E-12
2:Ins:R:2	1.14E-12
2:Ins:R:3	1.13E-12
2:Ins:R:4	1.14E-12
2:Ins:R:5	1.14E-12
3:Ins:R:0	5.09E-04
3:Ins:R:1	4.36E-04
3:Ins:R:2	1.13E-12
3:Ins:R:3	1.14E-12
3:Ins:R:4	1.14E-12
3:Ins:R:5	1.14E-12
4:Ins:R:0	3.30E-04
4:Ins:R:1	3.15E-04
4:Ins:R:2	1.14E-12
4:Ins:R:3	1.14E-12
4:Ins:R:4	1.14E-12
4:Ins:R:5	1.14E-12
5:Ins:R:0	8.66E-04
5:Ins:R:1	5.84E-04
5:Ins:R:2	1.14E-12
5:Ins:R:3	1.14E-12
5:Ins:R:4	1.14E-12
5:Ins:R:5	1.13E-12
2:Del:M:1	1.06E-03
3:Del:M:1	2.70E-04
3:Del:M:2	2.51E-04
4:Del:M:1	1.14E-12
4:Del:M:2	1.13E-12
4:Del:M:3	3.10E-04
5:Del:M:1	9.18E-04
5:Del:M:2	4.49E-04
5:Del:M:3	4.02E-04
5:Del:M:4	3.08E-04
5:Del:M:5	1.13E-12
