Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA_44_5645_01A	0	0	0	0	0	0	0	41	0	0
TCGA_44_A479_01A	85	0	83	0	0	32	146	0	0	0
TCGA_49_4510_01A	0	0	0	0	53	0	1	0	0	0
TCGA_49_AARE_01A	278	228	214	17	560	3	39	0	59	0
TCGA_49_AARN_01A	0	0	5	907	0	0	0	1	0	7
TCGA_49_AARO_01A	416	0	250	0	0	0	0	0	0	0
TCGA_49_AARQ_01A	384	194	0	2	0	128	0	29	0	86
TCGA_4B_A93V_01A	0	0	37	7	0	0	51	63	0	0
TCGA_50_8457_01A	0	0	17	0	0	12	0	36	0	0
TCGA_55_7910_01A	0	0	46	0	0	0	178	60	45	0
TCGA_55_7913_01B	29	0	44	0	257	61	0	0	2	0
TCGA_55_8508_01A	0	0	0	5	0	1	0	8	0	192
TCGA_55_8514_01A	0	0	0	0	0	0	0	0	322	0
TCGA_69_8253_01A	0	0	0	10	0	9	0	0	0	160
TCGA_69_A59K_01A	340	0	0	0	0	34	107	53	12	26
TCGA_86_7714_01A	0	0	0	0	40	0	0	45	0	0
TCGA_99_8025_01A	0	0	7	0	0	548	0	0	0	0
TCGA_99_8028_01A	0	0	458	0	0	0	0	40	0	15
TCGA_99_AA5R_01A	0	16	24	0	0	0	0	0	16	0
TCGA_L9_A5IP_01A	0	0	0	5	0	0	318	0	0	0
TCGA_L9_A8F4_01A	301	318	0	30	51	40	0	175	0	0
TCGA_NJ_A4YF_01A	114	499	15	0	0	0	0	0	90	0
TCGA_S2_AA1A_01A	0	111	0	0	0	0	0	0	0	29
