NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	214.16	69.271	34.103	56.434	0.5	0.687	20000.0
2	214.786	69.962	32.621	56.501	0.515	0.678	20000.0
3	208.745	68.917	32.28	55.167	0.517	0.692	40000.0
4	216.431	70.604	33.6	57.329	0.526	0.672	20000.0
5	214.65	70.222	33.167	56.729	0.53	0.674	20000.0
6	218.82	69.877	33.606	56.708	0.521	0.676	20000.0
7	209.023	67.589	32.092	55.304	0.494	0.698	20000.0
8	215.12	68.957	32.9	55.5	0.497	0.695	20000.0
9	211.649	68.739	31.763	55.105	0.504	0.7	20000.0
10	224.681	71.195	35.225	57.758	0.52	0.675	20000.0
11	217.091	69.271	33.619	56.235	0.499	0.689	20000.0
12	210.104	68.916	33.166	55.865	0.526	0.687	20000.0
13	215.215	70.159	33.273	56.325	0.517	0.679	30000.0
14	219.844	71.459	34.077	57.432	0.538	0.668	20000.0
15	203.345	65.968	31.159	54.109	0.478	0.709	30000.0
16	209.967	69.639	32.422	56.494	0.529	0.675	20000.0
17	218.359	70.611	33.865	57.211	0.53	0.673	20000.0
18	210.868	67.829	32.549	55.109	0.492	0.703	20000.0
19	213.933	68.219	32.962	55.884	0.499	0.689	20000.0
20	211.471	67.727	32.819	55.501	0.505	0.695	20000.0
21	208.248	68.626	31.422	55.18	0.502	0.689	20000.0
22	212.514	69.451	32.568	56.819	0.523	0.673	30000.0
23	207.02	67.705	31.854	55.06	0.49	0.698	40000.0
24	216.064	70.045	32.937	56.329	0.513	0.683	20000.0
25	213.741	69.016	33.292	56.137	0.511	0.686	20000.0
26	211.405	68.277	32.0	54.875	0.501	0.698	20000.0
27	214.193	69.657	33.989	57.028	0.514	0.679	20000.0
28	211.899	67.861	32.813	55.292	0.482	0.695	30000.0
29	217.398	69.437	33.716	56.182	0.505	0.692	20000.0
30	213.695	68.63	32.964	55.223	0.506	0.699	20000.0
31	220.339	70.645	34.163	56.999	0.517	0.68	20000.0
32	216.215	69.309	33.759	56.923	0.508	0.676	20000.0
33	218.233	70.282	33.546	56.547	0.532	0.683	20000.0
34	207.391	67.732	31.772	55.129	0.507	0.688	20000.0
35	213.14	68.93	33.006	56.294	0.515	0.684	20000.0
36	210.492	68.008	32.52	55.472	0.505	0.699	20000.0
37	208.962	68.974	32.321	55.784	0.511	0.685	20000.0
38	218.416	69.267	33.795	56.189	0.508	0.689	20000.0
39	210.395	69.44	32.234	56.383	0.515	0.676	30000.0
40	215.997	69.874	33.24	56.369	0.505	0.684	20000.0
41	211.555	68.32	32.738	55.666	0.508	0.693	20000.0
42	216.025	69.021	32.734	55.6	0.504	0.693	20000.0
43	214.232	68.531	32.752	55.858	0.503	0.691	20000.0
44	215.141	69.307	32.184	55.74	0.499	0.691	40000.0
45	220.798	70.066	33.507	56.331	0.506	0.681	20000.0
46	215.283	69.268	32.753	56.253	0.524	0.681	20000.0
47	215.109	69.93	33.159	56.628	0.524	0.678	20000.0
48	217.645	70.106	34.024	56.888	0.528	0.68	20000.0
49	209.315	66.822	32.195	54.705	0.488	0.703	20000.0
50	210.944	68.982	32.794	56.428	0.51	0.683	40000.0
51	213.814	69.635	32.859	56.582	0.519	0.677	20000.0
52	209.859	66.787	32.092	54.577	0.485	0.702	20000.0
53	213.207	68.557	33.253	56.04	0.508	0.688	20000.0
54	215.115	69.144	32.657	55.855	0.521	0.683	20000.0
55	211.688	68.4	32.417	55.512	0.521	0.686	20000.0
56	215.996	70.989	33.543	56.489	0.528	0.684	20000.0
57	213.951	69.666	32.77	55.952	0.514	0.687	20000.0
58	220.203	69.807	33.36	55.809	0.517	0.696	20000.0
59	208.846	68.149	31.946	55.035	0.503	0.695	20000.0
60	215.158	68.894	33.7	56.418	0.502	0.686	20000.0
61	215.186	70.126	33.052	57.083	0.522	0.672	40000.0
62	212.687	68.564	32.853	55.7	0.5	0.691	20000.0
63	211.025	67.511	32.511	54.83	0.487	0.704	30000.0
64	215.342	68.978	33.138	56.309	0.517	0.681	20000.0
65	214.486	69.719	33.256	55.994	0.534	0.688	20000.0
66	216.1	68.511	33.033	55.331	0.509	0.692	30000.0
67	216.198	69.549	33.758	56.431	0.522	0.679	20000.0
68	215.505	69.887	33.314	56.289	0.513	0.681	20000.0
69	211.061	70.313	33.168	57.126	0.538	0.67	20000.0
70	212.848	69.269	32.383	55.553	0.506	0.686	20000.0
71	214.243	69.264	32.66	56.013	0.511	0.687	20000.0
72	211.508	68.952	32.953	56.631	0.514	0.679	20000.0
73	212.37	68.963	32.299	55.459	0.505	0.69	40000.0
74	208.326	67.84	31.621	55.24	0.494	0.696	30000.0
75	216.496	69.249	33.11	55.678	0.511	0.688	20000.0
76	211.756	68.499	32.27	55.158	0.503	0.696	20000.0
77	207.72	68.116	32.019	55.038	0.512	0.699	20000.0
78	205.721	67.35	31.597	54.246	0.506	0.702	20000.0
79	218.376	69.622	33.542	56.449	0.51	0.685	20000.0
80	219.809	71.7	33.803	57.287	0.551	0.664	20000.0
81	215.493	69.46	33.254	55.978	0.513	0.689	20000.0
82	216.336	70.176	33.189	56.704	0.52	0.675	40000.0
83	216.271	69.599	33.346	56.428	0.517	0.684	20000.0
84	214.405	70.069	33.458	56.204	0.521	0.684	20000.0
85	214.803	69.735	33.397	57.077	0.528	0.673	30000.0
86	210.277	69.068	32.416	56.08	0.518	0.679	40000.0
87	210.787	68.86	32.353	55.747	0.499	0.686	20000.0
88	216.462	68.713	33.594	55.913	0.506	0.691	30000.0
89	218.286	70.524	33.525	57.235	0.519	0.674	20000.0
90	208.641	67.801	32.049	54.898	0.498	0.701	30000.0
91	215.43	69.078	32.681	54.92	0.493	0.702	20000.0
92	210.449	67.732	32.155	55.043	0.508	0.694	20000.0
93	210.994	66.749	32.808	54.734	0.484	0.707	30000.0
94	218.379	68.717	33.653	55.931	0.494	0.696	20000.0
95	211.045	69.74	32.387	55.972	0.521	0.682	20000.0
96	211.607	68.599	32.46	55.287	0.503	0.691	20000.0
97	211.667	68.468	33.294	55.787	0.504	0.695	30000.0
98	212.613	68.062	32.44	54.875	0.482	0.702	20000.0
99	210.761	68.956	32.829	56.395	0.51	0.683	20000.0
100	214.572	68.906	33.377	55.438	0.524	0.691	20000.0
