Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_5645_01A	41	0.336	57.932	141.298%	9.597	98.463%	1.6231	0.061
TCGA_44_A479_01A	346	0.941	138.447	40.014%	21.085	35.015%	0.18284	0.915
TCGA_49_4510_01A	54	0.6	56.844	105.267%	7.872	83.916%	1.00064	0.333
TCGA_49_AARE_01A	1398	0.979	304.772	21.801%	47.3	21.127%	0.05165	0.967
TCGA_49_AARN_01A	920	0.677	659.82	71.72%	118.516	76.314%	0.45322	0.451
TCGA_49_AARO_01A	666	0.943	250.115	37.555%	41.619	35.022%	0.13394	0.924
TCGA_49_AARQ_01A	823	0.97	227.323	27.621%	33.275	24.872%	0.08359	0.953
TCGA_4B_A93V_01A	158	0.897	75.535	47.807%	10.808	44.724%	0.25839	0.81
TCGA_50_8457_01A	65	0.745	52.643	80.989%	7.43	68.111%	0.57555	0.567
TCGA_55_7910_01A	329	0.932	131.245	39.892%	18.265	36.334%	0.17813	0.875
TCGA_55_7913_01B	393	0.936	152.23	38.735%	20.95	35.498%	0.14908	0.88
TCGA_55_8508_01A	206	0.866	109.637	53.222%	16.208	50.949%	0.27356	0.754
TCGA_55_8514_01A	322	0.907	151.549	47.065%	22.572	42.207%	0.24104	0.845
TCGA_69_8253_01A	179	0.873	100.906	56.372%	14.086	49.041%	0.29914	0.777
TCGA_69_A59K_01A	572	0.96	198.479	34.699%	28.573	29.312%	0.11832	0.944
TCGA_86_7714_01A	85	0.691	73.345	86.288%	10.55	75.166%	0.57373	0.465
TCGA_99_8025_01A	555	0.835	280.399	50.522%	50.242	55.541%	0.22404	0.714
TCGA_99_8028_01A	513	0.923	215.39	41.986%	33.473	38.695%	0.16793	0.877
TCGA_99_AA5R_01A	56	0.782	49.19	87.839%	6.25	62.5%	0.73909	0.653
TCGA_L9_A5IP_01A	323	0.937	133.431	41.31%	18.637	35.139%	0.21421	0.896
TCGA_L9_A8F4_01A	915	0.962	269.627	29.467%	37.137	27.512%	0.08363	0.928
TCGA_NJ_A4YF_01A	718	0.954	236.344	32.917%	36.753	30.681%	0.10403	0.929
TCGA_S2_AA1A_01A	140	0.859	88.905	63.504%	13.529	51.654%	0.39339	0.795
