Samples	SBS96A	SBS96B	SBS96C
TCGA_44_5645_01A	0	40	1
TCGA_44_A479_01A	277	64	5
TCGA_49_4510_01A	20	33	1
TCGA_49_AARE_01A	979	358	61
TCGA_49_AARN_01A	0	0	920
TCGA_49_AARO_01A	643	21	2
TCGA_49_AARQ_01A	529	273	21
TCGA_4B_A93V_01A	87	59	12
TCGA_50_8457_01A	13	52	0
TCGA_55_7910_01A	239	90	0
TCGA_55_7913_01B	146	234	13
TCGA_55_8508_01A	51	151	4
TCGA_55_8514_01A	181	141	0
TCGA_69_8253_01A	54	110	15
TCGA_69_A59K_01A	394	178	0
TCGA_86_7714_01A	11	74	0
TCGA_99_8025_01A	0	502	53
TCGA_99_8028_01A	510	0	3
TCGA_99_AA5R_01A	54	0	2
TCGA_L9_A5IP_01A	248	58	17
TCGA_L9_A8F4_01A	587	270	58
TCGA_NJ_A4YF_01A	626	81	11
TCGA_S2_AA1A_01A	102	38	0
