Samples	SBS96A	SBS96B	SBS96C
TCGA_44_5645_01A	1.80E-01	1.04E+00	1.01E+00
TCGA_44_A479_01A	3.82E+00	4.15E+00	1.01E+00
TCGA_49_4510_01A	1.58E+00	1.95E+00	9.45E-01
TCGA_49_AARE_01A	1.12E+01	1.11E+01	2.09E+00
TCGA_49_AARN_01A	0.00E+00	0.00E+00	0.00E+00
TCGA_49_AARO_01A	5.09E+00	5.06E+00	7.78E-01
TCGA_49_AARQ_01A	8.92E+00	8.97E+00	1.31E+00
TCGA_4B_A93V_01A	3.06E+00	3.07E+00	7.97E-01
TCGA_50_8457_01A	1.33E+00	1.39E+00	6.01E-01
TCGA_55_7910_01A	4.18E+00	4.20E+00	1.06E-01
TCGA_55_7913_01B	5.76E+00	6.11E+00	1.93E+00
TCGA_55_8508_01A	3.50E+00	3.85E+00	1.55E+00
TCGA_55_8514_01A	6.71E+00	6.84E+00	5.50E-01
TCGA_69_8253_01A	3.65E+00	3.96E+00	1.05E+00
TCGA_69_A59K_01A	6.73E+00	6.72E+00	1.40E-01
TCGA_86_7714_01A	2.08E+00	2.20E+00	6.21E-01
TCGA_99_8025_01A	7.39E+00	8.46E+00	2.31E+00
TCGA_99_8028_01A	4.61E+00	4.62E+00	1.03E-01
TCGA_99_AA5R_01A	1.08E+00	1.04E+00	4.10E-01
TCGA_L9_A5IP_01A	5.22E+00	5.31E+00	6.26E-01
TCGA_L9_A8F4_01A	1.09E+01	1.15E+01	2.31E+00
TCGA_NJ_A4YF_01A	7.60E+00	7.72E+00	9.95E-01
TCGA_S2_AA1A_01A	2.60E+00	2.66E+00	4.63E-01
