Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA_44_5645_01A	6.00E-01	0.00E+00	1.66E+00	1.83E+00	7.86E-01
TCGA_44_A479_01A	7.92E+00	8.53E+00	3.79E+00	4.51E+00	1.01E+00
TCGA_49_4510_01A	1.70E+00	1.23E+00	1.76E+00	2.04E+00	6.45E-01
TCGA_49_AARE_01A	2.85E+01	2.49E+01	1.05E+01	2.14E+01	1.69E+00
TCGA_49_AARN_01A	0.00E+00	8.69E-01	1.05E+00	2.30E-01	1.36E+00
TCGA_49_AARO_01A	2.22E+01	2.12E+01	3.89E+00	1.03E+01	6.82E-01
TCGA_49_AARQ_01A	1.91E+01	1.56E+01	9.32E+00	1.34E+01	9.12E-01
TCGA_4B_A93V_01A	3.71E+00	4.24E+00	2.77E+00	3.81E+00	5.28E-01
TCGA_50_8457_01A	9.37E-01	1.45E+00	1.85E+00	1.68E+00	5.19E-01
TCGA_55_7910_01A	7.73E+00	6.69E+00	3.41E+00	7.85E+00	0.00E+00
TCGA_55_7913_01B	7.79E+00	6.96E+00	6.60E+00	7.77E+00	1.45E+00
TCGA_55_8508_01A	3.88E+00	2.73E+00	5.34E+00	6.18E+00	1.30E+00
TCGA_55_8514_01A	1.05E+01	7.50E+00	6.35E+00	1.00E+01	4.49E-01
TCGA_69_8253_01A	4.37E+00	3.13E+00	3.92E+00	5.17E+00	9.57E-01
TCGA_69_A59K_01A	1.42E+01	1.16E+01	5.57E+00	8.44E+00	0.00E+00
TCGA_86_7714_01A	1.94E+00	2.26E+00	2.61E+00	2.92E+00	2.18E-01
TCGA_99_8025_01A	5.96E+00	5.09E+00	9.22E+00	5.03E+00	1.31E+00
TCGA_99_8028_01A	1.06E+01	1.05E+01	1.97E+00	6.20E+00	0.00E+00
TCGA_99_AA5R_01A	2.08E+00	1.96E+00	2.34E-01	1.43E+00	2.94E-01
TCGA_L9_A5IP_01A	1.06E+01	1.08E+01	3.96E+00	9.71E+00	2.78E-01
TCGA_L9_A8F4_01A	2.65E+01	1.89E+01	1.05E+01	2.20E+01	2.11E+00
TCGA_NJ_A4YF_01A	1.96E+01	1.68E+01	4.71E+00	1.15E+01	8.13E-01
TCGA_S2_AA1A_01A	4.61E+00	3.06E+00	1.85E+00	4.53E+00	3.90E-01
