Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA_44_5645_01A	0	0	0	0	0	0	41
TCGA_44_A479_01A	171	35	88	0	52	0	0
TCGA_49_4510_01A	10	10	0	0	12	0	22
TCGA_49_AARE_01A	461	179	0	633	90	35	0
TCGA_49_AARN_01A	10	0	2	0	0	908	0
TCGA_49_AARO_01A	288	111	267	0	0	0	0
TCGA_49_AARQ_01A	0	343	309	16	139	9	7
TCGA_4B_A93V_01A	76	0	0	0	0	11	71
TCGA_50_8457_01A	14	0	0	0	14	0	37
TCGA_55_7910_01A	153	0	71	0	0	0	105
TCGA_55_7913_01B	116	0	0	98	140	2	37
TCGA_55_8508_01A	0	0	0	117	19	8	62
TCGA_55_8514_01A	0	0	155	108	5	0	54
TCGA_69_8253_01A	0	0	0	122	23	15	19
TCGA_69_A59K_01A	0	0	472	0	38	10	52
TCGA_86_7714_01A	11	0	0	0	0	2	72
TCGA_99_8025_01A	4	18	0	0	532	1	0
TCGA_99_8028_01A	483	0	0	0	0	0	30
TCGA_99_AA5R_01A	15	7	33	1	0	0	0
TCGA_L9_A5IP_01A	199	0	24	58	30	12	0
TCGA_L9_A8F4_01A	0	677	0	0	42	29	167
TCGA_NJ_A4YF_01A	0	420	238	60	0	0	0
TCGA_S2_AA1A_01A	0	54	0	86	0	0	0
