Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,1.06e-01,40.15%,47.06%,141.3%,42.21%,98.46,0.3531,1.6231,0.152,0.664,0.753,0.061
2*,0.95,0.91,YES,4.75e-01,26.78%,39.93%,137.74%,35.4%,96.81,0.3292,1.5687,0.13,0.648,0.787,0.071
3,0.84,0.69,YES,Most Stab Sigs,23.65%,36.67%,132.28%,32.69%,92.69,0.2904,1.4059,0.114,0.58,0.816,0.184
4,0.51,-0.23,NO,N/A,22.46%,35.48%,133.24%,31.63%,92.57,0.2826,1.4198,0.11,0.585,0.822,0.163
5,0.37,-0.2,NO,N/A,21.01%,34.84%,127.15%,29.2%,87.69,0.2688,1.2829,0.101,0.512,0.836,0.279
6,0.32,-0.14,NO,N/A,20.18%,33.99%,118.75%,28.46%,81.72,0.254,1.0961,0.093,0.417,0.85,0.34
7,0.26,-0.15,NO,N/A,18.93%,33.88%,113.03%,28.06%,80.38,0.2456,1.007,0.087,0.381,0.859,0.336
8,0.23,-0.12,NO,N/A,18.21%,32.08%,106.78%,26.51%,80.72,0.2368,0.9219,0.083,0.381,0.867,0.342
9,0.21,-0.14,NO,N/A,17.21%,28.32%,107.97%,24.77%,79.46,0.2267,0.9132,0.079,0.368,0.874,0.369
10,0.19,-0.13,NO,N/A,17.47%,26.74%,104.26%,23.82%,75.32,0.2083,0.8274,0.069,0.329,0.89,0.437
