Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_5645_01A	41	0.682	47.656	116.234%	7.147	73.327%	1.00642	0.59
TCGA_44_A479_01A	346	0.928	165.464	47.822%	22.391	37.184%	0.26512	0.889
TCGA_49_4510_01A	54	0.608	56.008	103.719%	7.525	80.217%	0.89497	0.278
TCGA_49_AARE_01A	1398	0.951	463.86	33.18%	69.631	31.101%	0.10771	0.916
TCGA_49_AARN_01A	920	0.945	373.854	40.636%	65.186	41.974%	0.1536	0.933
TCGA_49_AARO_01A	666	0.956	214.701	32.237%	34.847	29.324%	0.11064	0.935
TCGA_49_AARQ_01A	823	0.952	280.027	34.025%	41.468	30.996%	0.12961	0.92
TCGA_4B_A93V_01A	158	0.878	82.976	52.516%	11.602	48.009%	0.27596	0.769
TCGA_50_8457_01A	65	0.782	51.733	79.589%	6.835	62.656%	0.58953	0.624
TCGA_55_7910_01A	329	0.935	136.529	41.498%	18.128	36.062%	0.18926	0.883
TCGA_55_7913_01B	393	0.889	194.713	49.545%	27.688	46.915%	0.23491	0.791
TCGA_55_8508_01A	206	0.864	108.991	52.908%	16.169	50.827%	0.29418	0.748
TCGA_55_8514_01A	322	0.896	158.894	49.346%	23.838	44.575%	0.26928	0.826
TCGA_69_8253_01A	179	0.834	107.833	60.242%	16.039	55.841%	0.3509	0.707
TCGA_69_A59K_01A	572	0.961	189.545	33.137%	26.895	27.591%	0.12123	0.939
TCGA_86_7714_01A	85	0.704	71.475	84.088%	10.011	71.325%	0.59478	0.443
TCGA_99_8025_01A	555	0.876	244.844	44.116%	44.057	48.703%	0.29057	0.788
TCGA_99_8028_01A	513	0.938	200.373	39.059%	30.301	35.028%	0.1468	0.901
TCGA_99_AA5R_01A	56	0.799	46.204	82.507%	6.09	60.9%	0.66189	0.688
TCGA_L9_A5IP_01A	323	0.912	155.174	48.041%	21.872	41.239%	0.2618	0.855
TCGA_L9_A8F4_01A	915	0.94	322.596	35.256%	46.674	34.577%	0.11908	0.884
TCGA_NJ_A4YF_01A	718	0.95	266.613	37.133%	37.549	31.345%	0.12988	0.919
TCGA_S2_AA1A_01A	140	0.85	95.355	68.111%	13.784	52.628%	0.42608	0.778
