Samples	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H	DBS78I	DBS78J
TCGA_38_4625_01A	1.91E-01	1.25E-01	7.99E-02	4.72E-02	6.09E-02	9.69E-02	8.15E-02	1.40E-01	4.24E-02	1.40E-01
TCGA_38_4626_01A	7.66E-02	4.19E-02	6.34E-02	3.33E-02	4.69E-02	9.14E-02	3.79E-02	5.48E-02	4.98E-02	5.45E-02
TCGA_38_4631_01A	2.02E-01	4.73E-02	1.52E-01	2.52E-01	8.56E-02	2.28E-01	2.09E-01	9.53E-02	1.31E-01	9.00E-02
TCGA_38_7271_01A	1.00E-02	1.00E-02	3.86E-02	3.86E-02	2.19E-02	3.78E-02	2.88E-02	3.38E-02	3.27E-02	2.39E-02
TCGA_44_2655_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_2657_01A	1.40E-01	7.02E-02	3.73E-02	2.81E-02	1.21E-01	3.94E-02	6.68E-02	4.93E-02	2.81E-02	3.15E-02
TCGA_44_2659_01A	2.08E-01	2.03E-01	1.89E-01	7.92E-02	1.27E-01	1.27E-01	1.09E-01	8.21E-02	2.03E-01	9.39E-02
TCGA_44_3396_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_3917_01A	1.18E-01	1.11E-01	8.47E-02	5.32E-02	4.38E-02	2.43E-02	3.71E-02	3.39E-02	1.20E-01	1.01E-01
TCGA_44_3918_01A	4.39E-01	2.64E-01	2.48E-01	9.73E-02	7.79E-02	1.15E-01	3.34E-01	3.85E-01	7.74E-02	1.90E-01
TCGA_44_4112_01A	0.00E+00	2.56E-02	4.09E-02	1.97E-02	2.56E-02	3.14E-02	2.88E-02	3.27E-02	1.97E-02	4.35E-02
TCGA_44_5644_01A	1.93E-01	7.83E-02	2.60E-01	2.35E-01	4.47E-02	1.89E-01	1.55E-01	3.11E-01	2.13E-01	1.20E-01
TCGA_44_6145_01A	1.22E-01	2.19E-02	4.42E-02	6.57E-02	4.29E-02	1.08E-01	3.67E-02	6.42E-02	6.04E-02	6.67E-02
TCGA_44_6147_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6774_01A	1.38E-01	1.50E-01	4.64E-02	4.90E-02	2.23E-02	7.23E-02	1.02E-01	7.53E-02	4.72E-02	7.06E-02
TCGA_44_6776_01A	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCGA_44_6779_01A	6.83E-02	1.41E-02	5.87E-02	3.89E-02	3.12E-02	4.79E-02	3.39E-02	3.93E-02	4.50E-02	4.18E-02
TCGA_44_7661_01A	7.98E-02	5.51E-02	9.69E-02	4.38E-02	5.75E-02	5.56E-02	4.64E-02	4.33E-02	6.94E-02	6.57E-02
TCGA_44_7667_01A	1.17E-01	1.87E-01	1.62E-01	8.54E-02	1.70E-01	8.55E-02	1.87E-01	1.04E-01	8.54E-02	1.08E-01
