MutationType	DBS78A
AC>CA	0.004238933100596114
AC>CG	1.4506480047202786e-05
AC>CT	0.002775650130624854
AC>GA	0.00210130097289948
AC>GG	1.4506479828924057e-05
AC>GT	1.450647991077858e-05
AC>TA	0.003450004003379945
AC>TG	1.4506480238196672e-05
AC>TT	0.0024066506704548372
AT>CA	1.4506479546980699e-05
AT>CC	1.4506479865303844e-05
AT>CG	1.4506480392810771e-05
AT>GA	0.0013632637647424417
AT>GC	1.4506480010822997e-05
AT>TA	1.4506479901683633e-05
CC>AA	0.4893294221162796
CC>AG	0.05715914539992809
CC>AT	0.06623203497380019
CC>GA	0.018846306120976805
CC>GG	0.0061602654960006475
CC>GT	0.003717205233715504
CC>TA	0.01119903960963711
CC>TG	0.006503781876526773
CC>TT	0.02247265980578959
CG>AT	0.0027120171728165585
CG>GC	0.0012360236389849888
CG>GT	0.00523141335695982
CG>TA	1.4506480238196672e-05
CG>TC	0.010079364308621734
CG>TT	0.027460550907999277
CT>AA	0.02496670715510845
CT>AC	0.001375991732293187
CT>AG	0.005282369464121075
CT>GA	0.0013759875229607133
CT>GC	1.4506479865303844e-05
CT>GG	0.0013505467736831633
CT>TA	0.011657089560758322
CT>TC	1.4506479892588686e-05
CT>TG	0.0036917366716079413
GC>AA	0.027600533813238144
GC>AG	0.006440205080934902
GC>AT	0.0035772589290809266
GC>CA	0.007623545628739521
GC>CG	1.4506480447380454e-05
GC>TA	0.0012996471637325157
TA>AT	0.0013887183680708405
TA>CG	1.4506479928968474e-05
TA>CT	0.0012614761873464887
TA>GC	1.450647972887964e-05
TA>GG	1.4506480047202786e-05
TA>GT	0.002559291999787092
TC>AA	0.023554225908592342
TC>AG	0.004887896119325888
TC>AT	0.005231417943405176
TC>CA	0.005256799063645303
TC>CG	1.450648024729162e-05
TC>CT	0.006656520977321634
TC>GA	0.0013123773854385944
TC>GG	0.0013250971085653873
TC>GT	0.0012105778199475025
TG>AA	0.01071549254702404
TG>AC	0.0012741995501801284
TG>AT	0.02226910731755197
TG>CA	0.0013123696154616483
TG>CC	1.4506479756164481e-05
TG>CT	0.04481660323217511
TG>GA	0.003577251267788597
TG>GC	1.4506480074487626e-05
TG>GT	0.007445408314233646
TT>AA	0.005587691434975568
TT>AC	0.0025338855238169343
TT>AG	0.0010324274153481383
TT>CA	0.002419365304458552
TT>CC	1.4506480101772468e-05
TT>CG	1.4506480038107839e-05
TT>GA	0.001121499821283578
TT>GC	1.4506482284559751e-05
TT>GG	1.450648186619219e-05
