NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	6.953	117.538	2.63	70.595	1.664	0.663	20000.0
2	6.924	117.835	2.582	69.272	1.675	0.667	20000.0
3	7.074	120.866	2.648	72.203	1.754	0.641	20000.0
4	7.545	125.567	2.801	74.674	1.743	0.622	20000.0
5	6.82	116.822	2.535	69.033	1.665	0.669	20000.0
6	7.437	123.528	2.697	73.12	1.762	0.639	20000.0
7	7.1	121.747	2.778	72.693	1.703	0.633	20000.0
8	7.368	124.387	2.735	73.941	1.705	0.629	20000.0
9	6.839	116.857	2.539	69.013	1.686	0.669	20000.0
10	7.334	123.144	2.728	72.391	1.752	0.64	20000.0
11	6.906	119.792	2.645	71.51	1.755	0.642	20000.0
12	7.241	125.76	2.814	74.633	1.866	0.603	20000.0
13	7.195	120.378	2.737	71.719	1.712	0.65	20000.0
14	7.157	121.725	2.752	72.474	1.704	0.637	20000.0
15	6.754	115.398	2.53	68.514	1.661	0.678	20000.0
16	7.004	118.4	2.662	71.324	1.721	0.653	30000.0
17	7.203	122.847	2.743	72.927	1.734	0.629	20000.0
18	7.05	120.185	2.684	72.465	1.721	0.641	20000.0
19	7.032	120.129	2.751	72.317	1.721	0.635	20000.0
20	7.315	123.516	2.774	73.609	1.744	0.627	30000.0
21	7.069	120.153	2.612	71.535	1.743	0.649	20000.0
22	6.945	118.418	2.602	71.242	1.701	0.66	20000.0
23	7.457	124.436	2.737	73.515	1.788	0.626	30000.0
24	7.215	119.39	2.671	70.725	1.653	0.669	20000.0
25	6.843	115.656	2.584	70.225	1.608	0.671	30000.0
26	6.895	117.075	2.596	70.193	1.661	0.667	20000.0
27	7.283	123.264	2.756	73.278	1.729	0.63	20000.0
28	6.906	119.367	2.648	71.083	1.71	0.648	20000.0
29	7.237	121.152	2.773	72.577	1.696	0.646	30000.0
30	7.476	124.825	2.781	73.929	1.796	0.63	20000.0
31	6.956	119.108	2.637	71.22	1.72	0.646	20000.0
32	7.407	125.406	2.714	73.837	1.828	0.624	20000.0
33	7.297	124.285	2.624	72.963	1.784	0.628	20000.0
34	7.085	120.887	2.624	71.332	1.726	0.646	20000.0
35	6.917	117.864	2.544	70.863	1.668	0.666	20000.0
36	7.355	123.996	2.748	74.031	1.814	0.619	30000.0
37	7.042	119.807	2.674	71.86	1.722	0.645	30000.0
38	6.912	115.762	2.577	69.43	1.689	0.679	20000.0
39	6.66	115.659	2.505	69.617	1.663	0.668	40000.0
40	6.9	117.063	2.577	69.47	1.669	0.678	20000.0
41	7.071	121.703	2.673	72.443	1.783	0.633	20000.0
42	6.929	117.249	2.601	70.252	1.697	0.659	20000.0
43	7.064	121.776	2.663	72.431	1.776	0.63	40000.0
44	7.246	121.718	2.653	71.158	1.709	0.658	20000.0
45	7.303	123.468	2.773	73.723	1.775	0.625	30000.0
46	7.056	120.971	2.661	72.129	1.713	0.646	40000.0
47	7.255	123.762	2.765	72.911	1.76	0.632	20000.0
48	6.878	118.875	2.631	71.834	1.735	0.648	30000.0
49	6.932	118.815	2.669	71.169	1.711	0.649	20000.0
50	7.178	121.685	2.68	72.911	1.708	0.637	40000.0
51	7.03	119.865	2.712	71.941	1.709	0.648	20000.0
52	6.7	114.147	2.594	69.414	1.617	0.679	20000.0
53	6.985	118.321	2.659	71.174	1.73	0.65	20000.0
54	7.263	121.634	2.751	72.504	1.711	0.638	30000.0
55	7.175	122.058	2.701	72.261	1.756	0.632	20000.0
56	7.311	121.682	2.715	72.363	1.692	0.648	20000.0
57	7.208	120.841	2.675	72.5	1.675	0.646	20000.0
58	7.23	121.964	2.672	72.175	1.716	0.64	20000.0
59	7.358	121.882	2.745	72.454	1.712	0.651	20000.0
60	6.893	118.448	2.614	69.763	1.728	0.655	20000.0
61	6.861	117.658	2.548	69.321	1.783	0.663	20000.0
62	7.116	120.199	2.667	72.612	1.728	0.64	20000.0
63	7.217	121.535	2.782	72.933	1.738	0.638	20000.0
64	7.211	122.027	2.775	73.272	1.73	0.635	20000.0
65	6.995	120.994	2.562	71.23	1.718	0.648	30000.0
66	7.128	119.664	2.69	71.715	1.704	0.653	20000.0
67	6.943	119.849	2.658	71.8	1.756	0.637	20000.0
68	7.056	119.635	2.733	71.737	1.707	0.653	20000.0
69	6.805	118.023	2.668	71.188	1.713	0.648	20000.0
70	7.019	120.642	2.608	71.281	1.705	0.647	20000.0
71	6.967	118.176	2.617	70.85	1.705	0.659	20000.0
72	7.349	125.164	2.682	73.842	1.759	0.625	20000.0
73	7.313	123.366	2.73	73.442	1.786	0.633	20000.0
74	7.406	126.123	2.79	75.105	1.775	0.615	40000.0
75	7.004	118.782	2.641	70.56	1.674	0.663	30000.0
76	7.469	125.974	2.796	74.346	1.839	0.614	20000.0
77	6.928	118.801	2.637	70.278	1.725	0.652	20000.0
78	7.08	119.446	2.645	71.572	1.727	0.652	20000.0
79	7.269	122.399	2.766	73.038	1.747	0.638	20000.0
80	7.253	121.294	2.706	72.657	1.714	0.642	20000.0
81	7.134	121.124	2.725	72.295	1.755	0.638	40000.0
82	7.692	128.302	2.891	75.295	1.838	0.605	20000.0
83	6.675	112.13	2.565	67.577	1.622	0.69	20000.0
84	7.31	123.33	2.735	72.869	1.75	0.634	20000.0
85	6.972	118.893	2.591	70.483	1.694	0.654	20000.0
86	7.122	119.984	2.632	70.963	1.649	0.656	20000.0
87	6.757	117.082	2.57	70.093	1.686	0.66	20000.0
88	7.193	119.641	2.716	72.214	1.721	0.651	20000.0
89	7.336	123.552	2.812	73.816	1.739	0.628	20000.0
90	7.271	123.014	2.682	72.756	1.735	0.64	20000.0
91	6.915	120.704	2.549	70.815	1.784	0.637	20000.0
92	6.889	115.397	2.579	68.249	1.677	0.684	20000.0
93	7.127	120.628	2.715	72.492	1.691	0.643	20000.0
94	7.184	122.771	2.731	72.916	1.814	0.622	30000.0
95	6.969	121.261	2.704	72.171	1.814	0.624	20000.0
96	7.021	116.457	2.682	69.082	1.68	0.68	20000.0
97	7.257	123.378	2.742	72.948	1.768	0.634	20000.0
98	7.072	121.475	2.68	72.026	1.728	0.64	20000.0
99	7.211	122.584	2.709	73.009	1.718	0.641	20000.0
100	7.311	123.751	2.774	73.539	1.818	0.624	20000.0
