Samples	DBS78A	DBS78B
TCGA_38_4625_01A	3.38E-01	3.38E-01
TCGA_38_4626_01A	1.21E-01	1.21E-01
TCGA_38_4631_01A	4.58E-01	4.58E-01
TCGA_38_7271_01A	4.65E-02	4.65E-02
TCGA_44_2655_01A	2.00E-02	2.00E-02
TCGA_44_2657_01A	2.27E-01	2.27E-01
TCGA_44_2659_01A	4.54E-01	4.54E-01
TCGA_44_3396_01A	1.00E-02	1.00E-02
TCGA_44_3917_01A	2.12E-01	2.12E-01
TCGA_44_3918_01A	6.44E-01	6.49E-01
TCGA_44_4112_01A	4.69E-02	4.69E-02
TCGA_44_5644_01A	4.95E-01	4.95E-01
TCGA_44_6145_01A	2.31E-01	2.31E-01
TCGA_44_6147_01A	2.00E-02	2.00E-02
TCGA_44_6774_01A	2.53E-01	2.53E-01
TCGA_44_6776_01A	3.00E-02	3.00E-02
TCGA_44_6779_01A	9.20E-02	9.20E-02
TCGA_44_7661_01A	1.28E-01	1.28E-01
TCGA_44_7667_01A	3.06E-01	3.06E-01
TCGA_44_7670_01A	4.44E-01	4.44E-01
TCGA_44_7672_01A	1.28E-01	1.28E-01
TCGA_44_8117_01A	4.89E-01	4.89E-01
TCGA_44_A4SU_01A	8.78E-02	8.78E-02
TCGA_49_4487_01A	1.71E-01	1.71E-01
TCGA_49_4488_01A	9.14E-02	9.14E-02
TCGA_49_4505_01A	8.64E-02	8.64E-02
TCGA_49_4506_01A	1.98E-01	1.98E-01
TCGA_49_4507_01A	2.04E-01	2.04E-01
TCGA_49_6744_01A	2.36E-01	2.36E-01
TCGA_49_6761_01A	9.07E-02	9.07E-02
TCGA_49_6767_01A	1.54E-01	1.55E-01
TCGA_50_5051_01A	2.00E-02	2.00E-02
TCGA_50_5941_01A	2.94E-01	2.94E-01
TCGA_50_5942_01A	9.33E-02	9.33E-02
TCGA_50_6590_01A	4.44E-01	4.44E-01
TCGA_50_6592_01A	2.28E-01	2.27E-01
TCGA_50_6593_01A	2.24E-01	2.24E-01
TCGA_53_7624_01A	3.95E-01	3.95E-01
TCGA_53_7813_01A	1.23E-01	1.23E-01
TCGA_55_6970_01A	8.10E-02	8.10E-02
TCGA_55_6979_01A	2.00E-02	2.00E-02
TCGA_55_6985_01A	3.56E-01	3.57E-01
TCGA_55_7281_01A	1.72E-01	1.72E-01
TCGA_55_7573_01A	4.98E-02	4.98E-02
TCGA_55_7574_01A	4.00E-02	4.00E-02
TCGA_55_7725_01A	4.61E-02	4.61E-02
TCGA_55_7728_01A	8.74E-02	8.83E-02
TCGA_55_7911_01A	1.68E-01	1.68E-01
TCGA_55_7914_01A	1.49E-01	1.49E-01
TCGA_55_7995_01A	1.09E-01	1.09E-01
TCGA_55_8096_01A	2.43E-01	2.43E-01
TCGA_55_8203_01A	2.42E-01	2.43E-01
TCGA_55_8208_01A	1.52E-01	1.53E-01
TCGA_55_8299_01A	1.75E-01	1.76E-01
TCGA_55_8506_01A	4.18E-01	4.18E-01
TCGA_55_8510_01A	2.41E-01	2.41E-01
TCGA_55_8511_01A	3.36E-01	3.37E-01
TCGA_55_8616_01A	5.44E-01	5.44E-01
TCGA_55_A48X_01A	5.77E-01	5.76E-01
TCGA_55_A492_01A	1.38E-01	1.38E-01
TCGA_55_A493_01A	2.85E-01	2.85E-01
TCGA_55_A494_01A	2.01E-01	2.00E-01
TCGA_62_A46O_01A	3.87E-01	3.87E-01
TCGA_62_A46R_01A	4.98E-02	4.98E-02
TCGA_64_1679_01A	2.27E-01	2.27E-01
TCGA_64_5781_01A	3.57E-01	3.58E-01
TCGA_67_3770_01A	1.31E-01	1.31E-01
TCGA_67_3774_01A	1.00E-02	1.00E-02
TCGA_67_6217_01A	1.33E-01	1.33E-01
TCGA_69_7973_01A	2.59E-01	2.59E-01
TCGA_69_7974_01A	3.56E-01	3.56E-01
TCGA_69_7979_01A	7.57E-01	7.57E-01
TCGA_69_7980_01A	5.82E-01	5.82E-01
TCGA_73_4662_01A	2.00E-02	2.00E-02
TCGA_73_4666_01A	2.37E-01	2.37E-01
TCGA_73_4670_01A	1.12E-01	1.12E-01
TCGA_73_7498_01A	5.03E-02	5.03E-02
TCGA_78_7145_01A	1.16E-01	1.16E-01
TCGA_78_7146_01A	1.86E-01	1.86E-01
TCGA_78_7147_01A	9.08E-02	9.08E-02
TCGA_78_7153_01A	4.69E-02	4.69E-02
TCGA_78_7158_01A	1.34E-01	1.36E-01
TCGA_78_7159_01A	2.88E-01	2.88E-01
TCGA_78_7161_01A	1.07E-01	1.07E-01
TCGA_78_7220_01A	3.58E-01	3.58E-01
TCGA_83_5908_01A	1.24E-01	1.24E-01
TCGA_86_6851_01A	3.86E-01	3.87E-01
