MutationType	DBS78A	DBS78B	DBS78C	DBS78D	DBS78E	DBS78F	DBS78G	DBS78H
AC>CA	8.700598243990498e-05	0.0017085246039285095	0.01676288697089491	0.004896704701909584	0.012742612014616413	0.013243826226254782	0.014734111660538111	0.004057607833949249
AC>CG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AC>CT	0.0003160984688724966	0.0017850481141289266	0.00723804667504794	0.006400547914945491	0.004795210386859594	0.004443657339083984	0.010056507488485166	0.01113036753023664
AC>GA	0.00021866175700893108	0.005167781525017574	0.0061237398856508205	0.0008338664974962739	0.005921875301207251	0.004505683532693183	0.0024063780030186875	0.004710743606337644
AC>GG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AC>GT	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AC>TA	5.781462307368201e-06	0.005330528829750847	0.007768271648755416	0.003900861307303103	0.004310574425874165	0.012928979534896143	0.00627154782436321	0.014758292598625928
AC>TG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AC>TT	3.5947931980047085e-05	0.006525305188617096	0.007742646671675004	0.002757165894231548	0.002269136427632361	0.007935970515727604	0.002708864046752524	0.004044759015695831
AT>CA	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AT>CC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AT>CG	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AT>GA	0.00018216148427882217	0.0013756955420330995	0.0015660738119072449	0.0007689976902611306	0.0022911745657950176	0.002331495466782485	0.004094614565974836	0.00819914414399534
AT>GC	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
AT>TA	1.288298231884255e-05	1.0699288168325438e-05	1.7932587747964136e-05	2.1400928981165636e-05	1.3346198304589052e-05	1.818362077472102e-05	1.4473851290404128e-05	1.9234287466929346e-05
CC>AA	0.9803433853387833	0.01099186082677761	0.028093546290983797	3.806762362408965e-05	0.054935116337972406	0.002461033287044989	0.05833962927431118	0.002274966270685531
CC>AG	9.824415437052489e-07	0.023917571165527823	0.0010238631891404336	0.5861108031555159	8.137215942441246e-06	0.0024438577550592385	0.001927967935143704	0.0012693390588834035
CC>AT	0.0012204173354665312	0.634209257363259	0.007348780312254106	0.006460639551129532	0.0015448953819327815	0.002967783847431141	0.0009618573633549012	0.006879716512247611
CC>GA	0.0005678938249724417	0.017032035984161097	0.06382663706347796	0.025092466687378905	0.01877511413203367	0.03261948859646065	0.06085694485063735	0.055337197006490445
CC>GG	0.00023339383766369793	0.0034711193508549882	0.025245403110587362	0.01354810674002465	0.012502403968619973	0.01151624784362582	0.007635665959805351	0.0176079066238664
CC>GT	0.00019064958626643146	0.0024935852328572673	0.010880957199894965	0.0048995381393655175	0.005728832632463394	0.010012752508765743	0.008964435013019738	0.012892670046803688
CC>TA	8.521436587898279e-05	0.023336770581931034	0.025594401554374344	0.022441261528346104	0.013640300837427049	0.0361490087062468	0.021917665083554142	0.02377107125572067
CC>TG	0.0005787102308210024	0.0037771906793049935	0.02401881012452094	0.007422819305415942	0.009548506010984852	0.022858870412198373	0.027560315177858	0.014007571696558615
CC>TT	2.1340925877838235e-06	0.021966465418777493	0.1907050719371103	0.020653621233436253	0.023885546579257264	0.01878800688300778	0.022052348433308108	0.018495673911252106
